#,Date-Time (MDT),Ch: 1 - Temperature   (Â°C ),Host Connected,End of File
,2022-02-25 14:09,-3.433333333,Logged, 
,2022-02-25 14:12,, ,Logged
,2022-02-25 14:12,-3.522222222, , 
,2022-02-25 14:15,-1.716666667, , 
,2022-02-25 14:18,-4.033333333, , 
,2022-02-25 14:21,-7.638888889, , 
,2022-02-25 14:24,-4.205555556, , 
,2022-02-25 14:27,-2.277777778, , 
,2022-02-25 14:30,-3.05, , 
,2022-02-25 14:33,-0.216666667, , 
,2022-02-25 14:36,0.255555556, , 
,2022-02-25 14:39,0.083333333, , 
,2022-02-25 14:42,-1.461111111, , 
,2022-02-25 14:45,-3.994444444, , 
,2022-02-25 14:48,-4.977777778, , 
,2022-02-25 14:51,-3.561111111, , 
,2022-02-25 14:54,-3.905555556, , 
,2022-02-25 14:57,-4.166666667, , 
,2022-02-25 15:00,-6.694444444, , 
,2022-02-25 15:03,-7.855555556, , 
,2022-02-25 15:06,-5.066666667, , 
,2022-02-25 15:09,-2.577777778, , 
,2022-02-25 15:12,-3.561111111, , 
,2022-02-25 15:15,-5.366666667, , 
,2022-02-25 15:18,-4.722222222, , 
,2022-02-25 15:21,-4.677777778, , 
,2022-02-25 15:24,-2.833333333, , 
,2022-02-25 15:27,-1.461111111, , 
,2022-02-25 15:30,-5.966666667, , 
,2022-02-25 15:33,-6.95, , 
,2022-02-25 15:36,-4.422222222, , 
,2022-02-25 15:39,, ,Logged
,2022-02-25 15:39,-6.994444444, , 
,2022-02-25 15:42,-8.283333333, , 
,2022-02-25 15:45,-6.994444444, , 
,2022-02-25 15:47,, ,Logged
,2022-02-25 15:48,-6.011111111, , 
,2022-02-25 15:51,-6.266666667, , 
,2022-02-25 15:54,-7.255555556, , 
,2022-02-25 15:57,-6.483333333, , 
,2022-02-25 16:00,-7.855555556, , 
,2022-02-25 16:03,-7.594444444, , 
,2022-02-25 16:06,-7.166666667, , 
,2022-02-25 16:09,-8.238888889, , 
,2022-02-25 16:12,-7.983333333, , 
,2022-02-25 16:15,-8.494444444, , 
,2022-02-25 16:18,-8.238888889, , 
,2022-02-25 16:21,-8.455555556, , 
,2022-02-25 16:24,-8.455555556, , 
,2022-02-25 16:27,-9.572222222, , 
,2022-02-25 16:30,-7.594444444, , 
,2022-02-25 16:33,-7.255555556, , 
,2022-02-25 16:36,-7.894444444, , 
,2022-02-25 16:39,-7.983333333, , 
,2022-02-25 16:42,-7.122222222, , 
,2022-02-25 16:45,-7.938888889, , 
,2022-02-25 16:48,-8.194444444, , 
,2022-02-25 16:51,-7.983333333, , 
,2022-02-25 16:54,-8.494444444, , 
,2022-02-25 16:57,-8.194444444, , 
,2022-02-25 17:00,-6.95, , 
,2022-02-25 17:03,-7.855555556, , 
,2022-02-25 17:06,-7.811111111, , 
,2022-02-25 17:09,-8.883333333, , 
,2022-02-25 17:12,-10.08333333, , 
,2022-02-25 17:15,-10.47222222, , 
,2022-02-25 17:18,-10.38333333, , 
,2022-02-25 17:21,-11.97222222, , 
,2022-02-25 17:24,-12.57222222, , 
,2022-02-25 17:27,-12.4, , 
,2022-02-25 17:30,-12.35555556, , 
,2022-02-25 17:33,-12.96111111, , 
,2022-02-25 17:36,-14.03333333, , 
,2022-02-25 17:39,-14.97777778, , 
,2022-02-25 17:42,-15.10555556, , 
,2022-02-25 17:45,-14.58888889, , 
,2022-02-25 17:48,-14.07222222, , 
,2022-02-25 17:51,-12.96111111, , 
,2022-02-25 17:54,-13.17222222, , 
,2022-02-25 17:57,-13.56111111, , 
,2022-02-25 18:00,-14.28888889, , 
,2022-02-25 18:03,-14.16111111, , 
,2022-02-25 18:06,-14.50555556, , 
,2022-02-25 18:09,-13.12777778, , 
,2022-02-25 18:12,-14.11666667, , 
,2022-02-25 18:15,-13.47222222, , 
,2022-02-25 18:18,-13.21666667, , 
,2022-02-25 18:21,-14.03333333, , 
,2022-02-25 18:24,-13.68888889, , 
