#,Date-Time (MDT),Ch: 1 - Temperature   (Â°C ),Host Connected,End of File
,2022-02-18 15:13,-2.061111111,Logged, 
,2022-02-18 15:16,-1.377777778, , 
,2022-02-18 15:19,-2.233333333, , 
,2022-02-18 15:20,, ,Logged
,2022-02-18 15:22,-3.177777778, , 
,2022-02-18 15:25,-3.305555556, , 
,2022-02-18 15:28,-4.205555556, , 
,2022-02-18 15:31,-3.261111111, , 
,2022-02-18 15:34,-1.116666667, , 
,2022-02-18 15:37,0.255555556, , 
,2022-02-18 15:40,1.672222222, , 
,2022-02-18 15:43,0.811111111, , 
,2022-02-18 15:46,1.027777778, , 
,2022-02-18 15:49,-0.905555556, , 
,2022-02-18 15:52,-3.177777778, , 
,2022-02-18 15:55,-4.077777778, , 
,2022-02-18 15:58,-3.861111111, , 
,2022-02-18 16:01,-4.722222222, , 
,2022-02-18 16:04,-4.033333333, , 
,2022-02-18 16:07,-1.161111111, , 
,2022-02-18 16:10,-0.172222222, , 
,2022-02-18 16:13,-1.85, , 
,2022-02-18 16:16,-3.305555556, , 
,2022-02-18 16:19,-5.022222222, , 
,2022-02-18 16:22,-4.505555556, , 
,2022-02-18 16:25,-3.35, , 
,2022-02-18 16:28,-4.333333333, , 
,2022-02-18 16:31,-4.977777778, , 
,2022-02-18 16:34,-5.494444444, , 
,2022-02-18 16:37,-7.122222222, , 
,2022-02-18 16:40,-8.111111111, , 
,2022-02-18 16:43,-7.683333333, , 
,2022-02-18 16:46,-7.122222222, , 
,2022-02-18 16:49,-6.483333333, , 
,2022-02-18 16:52,-4.766666667, , 
,2022-02-18 16:55,-4.122222222, , 
,2022-02-18 16:58,-4.722222222, , 
,2022-02-18 17:01,-4.505555556, , 
,2022-02-18 17:04,-4.466666667, , 
,2022-02-18 17:07,-5.877777778, , 
,2022-02-18 17:10,-7.038888889, , 
,2022-02-18 17:13,-6.95, , 
,2022-02-18 17:16,-7.638888889, , 
,2022-02-18 17:19,-7.122222222, , 
,2022-02-18 17:22,-8.883333333, , 
,2022-02-18 17:25,-8.838888889, , 
,2022-02-18 17:28,-8.366666667, , 
,2022-02-18 17:31,-8.838888889, , 
,2022-02-18 17:34,-10.17222222, , 
,2022-02-18 17:37,-9.311111111, , 
,2022-02-18 17:40,-8.494444444, , 
,2022-02-18 17:43,-7.894444444, , 
,2022-02-18 17:46,-9.438888889, , 
,2022-02-18 17:49,-9.138888889, , 
,2022-02-18 17:52,-8.538888889, , 
,2022-02-18 17:55,-8.455555556, , 
,2022-02-18 17:58,-10.98333333, , 
,2022-02-18 18:01,-9.955555556, , 
,2022-02-18 18:04,-8.966666667, , 
,2022-02-18 18:07,-9.1, , 
,2022-02-18 18:10,-8.8, , 
,2022-02-18 18:13,-8.366666667, , 
,2022-02-18 18:16,-8.755555556, , 
,2022-02-18 18:19,-8.883333333, , 
,2022-02-18 18:22,-9.1, , 
,2022-02-18 18:25,-9.572222222, , 
,2022-02-18 18:28,-9.1, , 
,2022-02-18 18:31,-9.311111111, , 
,2022-02-18 18:34,-8.666666667, , 
,2022-02-18 18:37,-6.65, , 
,2022-02-18 18:40,-5.838888889, , 
