#,Date-Time (MDT),Ch: 1 - Temperature   (Â°C ),Host Connected,End of File
,2022-02-16 14:21,0.383333333,Logged, 
,2022-02-16 14:24,0.766666667, , 
,2022-02-16 14:27,1.327777778, , 
,2022-02-16 14:30,1.627777778, , 
,2022-02-16 14:33,1.627777778, , 
,2022-02-16 14:36,1.627777778, , 
,2022-02-16 14:39,1.372222222, , 
,2022-02-16 14:42,1.027777778, , 
,2022-02-16 14:45,0.9, , 
,2022-02-16 14:48,1.283333333, , 
,2022-02-16 14:51,1.538888889, , 
,2022-02-16 14:54,0.811111111, , 
,2022-02-16 14:57,0.6, , 
,2022-02-16 15:00,0.727777778, , 
,2022-02-16 15:03,0.727777778, , 
,2022-02-16 15:06,0.211111111, , 
,2022-02-16 15:09,-0.133333333, , 
,2022-02-16 15:12,-0.605555556, , 
,2022-02-16 15:15,-1.205555556, , 
,2022-02-16 15:18,-1.461111111, , 
,2022-02-16 15:21,-1.505555556, , 
,2022-02-16 15:24,-1.244444444, , 
,2022-02-16 15:27,-0.861111111, , 
,2022-02-16 15:30,-0.944444444, , 
,2022-02-16 15:33,-1.377777778, , 
,2022-02-16 15:36,-1.716666667, , 
,2022-02-16 15:39,-1.677777778, , 
,2022-02-16 15:42,-1.977777778, , 
,2022-02-16 15:45,-2.15, , 
,2022-02-16 15:48,-2.061111111, , 
,2022-02-16 15:51,-1.716666667, , 
,2022-02-16 15:54,-1.544444444, , 
,2022-02-16 15:57,-1.85, , 
,2022-02-16 16:00,-2.061111111, , 
,2022-02-16 16:03,-2.233333333, , 
,2022-02-16 16:06,-2.105555556, , 
,2022-02-16 16:09,-2.277777778, , 
,2022-02-16 16:12,-2.361111111, , 
,2022-02-16 16:15,-2.105555556, , 
,2022-02-16 16:18,-1.588888889, , 
,2022-02-16 16:21,-1.161111111, , 
,2022-02-16 16:24,-1.288888889, , 
,2022-02-16 16:27,-1.333333333, , 
,2022-02-16 16:30,-1.333333333, , 
,2022-02-16 16:33,-1.461111111, , 
,2022-02-16 16:36,-1.544444444, , 
,2022-02-16 16:39,-1.761111111, , 
,2022-02-16 16:42,-1.933333333, , 
,2022-02-16 16:45,-2.061111111, , 
,2022-02-16 16:48,-2.105555556, , 
,2022-02-16 16:51,-2.277777778, , 
,2022-02-16 16:54,-2.45, , 
,2022-02-16 16:57,-2.488888889, , 
,2022-02-16 17:00,-2.488888889, , 
,2022-02-16 17:03,-2.45, , 
,2022-02-16 17:06,-2.361111111, , 
,2022-02-16 17:09,-2.361111111, , 
,2022-02-16 17:12,-2.45, , 
,2022-02-16 17:15,-2.533333333, , 
,2022-02-16 17:18,-2.705555556, , 
,2022-02-16 17:21,-2.833333333, , 
,2022-02-16 17:24,-3.05, , 
,2022-02-16 17:27,-3.05, , 
,2022-02-16 17:30,-3.05, , 
,2022-02-16 17:33,-3.05, , 
,2022-02-16 17:36,-2.961111111, , 
,2022-02-16 17:39,-3.005555556, , 
,2022-02-16 17:42,-3.005555556, , 
,2022-02-16 17:45,-3.05, , 
,2022-02-16 17:48,-3.05, , 
,2022-02-16 17:51,-3.088888889, , 
,2022-02-16 17:54,-3.133333333, , 
,2022-02-16 17:57,-3.088888889, , 
,2022-02-16 18:00,-3.005555556, , 
,2022-02-16 18:03,-3.088888889, , 
,2022-02-16 18:06,-3.35, , 
,2022-02-16 18:09,-3.477777778, , 
,2022-02-16 18:12,-3.561111111, , 
,2022-02-16 18:15,-3.65, , 
,2022-02-16 18:18,-3.777777778, , 
,2022-02-16 18:21,-3.777777778, , 
,2022-02-16 18:24,-3.65, , 
,2022-02-16 18:27,-3.733333333, , 
,2022-02-16 18:30,-3.777777778, , 
,2022-02-16 18:33,-3.861111111, , 
,2022-02-16 18:36,-3.905555556, , 
,2022-02-16 18:39,-3.994444444, , 
,2022-02-16 18:42,-4.033333333, , 
,2022-02-16 18:45,-4.077777778, , 
,2022-02-16 18:48,-4.166666667, , 
,2022-02-16 18:51,-4.25, , 
,2022-02-16 18:54,-4.333333333, , 
