#,Date-Time (MDT),Ch: 1 - Temperature   (Â°C ),Host Connected,End of File
,2022-02-25 13:41,-5.105555556,Logged, 
,2022-02-25 13:44,-3.861111111, , 
,2022-02-25 13:45,, ,Logged
,2022-02-25 13:46,, ,Logged
,2022-02-25 13:47,-6.094444444, , 
,2022-02-25 13:50,-1.977777778, , 
,2022-02-25 13:53,-0.988888889, , 
,2022-02-25 13:56,-3.605555556, , 
,2022-02-25 13:59,-3.133333333, , 
,2022-02-25 14:02,-5.922222222, , 
,2022-02-25 14:05,-5.538888889, , 
,2022-02-25 14:08,-4.122222222, , 
,2022-02-25 14:11,-3.05, , 
,2022-02-25 14:14,-4.594444444, , 
,2022-02-25 14:17,-4.894444444, , 
,2022-02-25 14:20,-5.066666667, , 
,2022-02-25 14:23,-3.005555556, , 
,2022-02-25 14:26,-0.044444444, , 
,2022-02-25 14:29,-2.75, , 
,2022-02-25 14:32,-3.305555556, , 
,2022-02-25 14:35,-0.772222222, , 
,2022-02-25 14:38,0.938888889, , 
,2022-02-25 14:41,0.855555556, , 
,2022-02-25 14:44,-0.944444444, , 
,2022-02-25 14:47,0, , 
,2022-02-25 14:50,0.811111111, , 
,2022-02-25 14:53,-2.75, , 
,2022-02-25 14:56,-4.205555556, , 
,2022-02-25 14:59,-4.766666667, , 
,2022-02-25 15:02,-5.711111111, , 
,2022-02-25 15:05,-5.711111111, , 
,2022-02-25 15:08,-5.75, , 
,2022-02-25 15:11,-4.333333333, , 
,2022-02-25 15:14,-5.877777778, , 
,2022-02-25 15:17,-6.222222222, , 
,2022-02-25 15:20,-3.994444444, , 
,2022-02-25 15:23,-3.65, , 
,2022-02-25 15:26,-6.05, , 
,2022-02-25 15:29,-5.666666667, , 
,2022-02-25 15:32,-4.077777778, , 
,2022-02-25 15:35,-2.105555556, , 
,2022-02-25 15:38,-1.288888889, , 
,2022-02-25 15:41,-3.95, , 
,2022-02-25 15:44,-5.405555556, , 
,2022-02-25 15:47,-3.05, , 
,2022-02-25 15:50,-3.433333333, , 
,2022-02-25 15:53,-6.311111111, , 
,2022-02-25 15:56,-5.066666667, , 
,2022-02-25 15:59,-5.75, , 
,2022-02-25 16:02,-7.083333333, , 
,2022-02-25 16:05,-5.75, , 
,2022-02-25 16:08,-4.633333333, , 
,2022-02-25 16:11,-4.466666667, , 
,2022-02-25 16:14,-6.011111111, , 
,2022-02-25 16:17,-4.85, , 
,2022-02-25 16:20,-4.594444444, , 
,2022-02-25 16:23,-5.966666667, , 
,2022-02-25 16:26,-6.994444444, , 
,2022-02-25 16:29,-6.822222222, , 
,2022-02-25 16:32,-7.422222222, , 
,2022-02-25 16:35,-8.027777778, , 
,2022-02-25 16:38,-7.555555556, , 
,2022-02-25 16:41,-8.327777778, , 
,2022-02-25 16:44,-8.883333333, , 
,2022-02-25 16:47,-9.355555556, , 
,2022-02-25 16:50,-8.455555556, , 
,2022-02-25 16:53,-7.938888889, , 
,2022-02-25 16:56,-7.983333333, , 
,2022-02-25 16:59,-7.938888889, , 
,2022-02-25 17:02,-7.855555556, , 
,2022-02-25 17:05,-7.211111111, , 
,2022-02-25 17:08,-7.338888889, , 
,2022-02-25 17:11,-8.155555556, , 
,2022-02-25 17:14,-9.783333333, , 
,2022-02-25 17:17,-10.42777778, , 
,2022-02-25 17:20,-11.02777778, , 
,2022-02-25 17:23,-11.24444444, , 
,2022-02-25 17:26,-11.58333333, , 
,2022-02-25 17:29,-11.97222222, , 
,2022-02-25 17:32,-12.18888889, , 
,2022-02-25 17:35,-11.75555556, , 
,2022-02-25 17:38,-11.54444444, , 
,2022-02-25 17:41,-12.74444444, , 
,2022-02-25 17:44,-13.51666667, , 
,2022-02-25 17:47,-14.16111111, , 
,2022-02-25 17:50,-14.88888889, , 
,2022-02-25 17:53,-14.58888889, , 
,2022-02-25 17:56,-14.54444444, , 
,2022-02-25 17:59,-15.14444444, , 
,2022-02-25 18:02,-15.18888889, , 
,2022-02-25 18:05,-15.06111111, , 
,2022-02-25 18:08,-15.66111111, , 
,2022-02-25 18:11,-15.91666667, , 
,2022-02-25 18:14,-16.00555556, , 
,2022-02-25 18:17,-16.13333333, , 
,2022-02-25 18:20,-16.77777778, , 
,2022-02-25 18:23,-16.73333333, , 
,2022-02-25 18:26,-16.86111111, , 
,2022-02-25 18:29,-17.28888889, , 
,2022-02-25 18:32,-16.60555556, , 
,2022-02-25 18:35,-16.77777778, , 
,2022-02-25 18:38,-17.20555556, , 
,2022-02-25 18:41,-17.46111111, , 
,2022-02-25 18:44,-17.93333333, , 
,2022-02-25 18:47,-17.16111111, , 
,2022-02-25 18:50,-17.12222222, , 
,2022-02-25 18:53,-17.33333333, , 
,2022-02-25 18:56,-16.56111111, , 
