#,Date-Time (MDT),Ch: 1 - Temperature   (Â°C ),Host Connected,End of File
,2022-02-18 14:36,-2.316666667,Logged, 
,2022-02-18 14:39,-2.533333333, , 
,2022-02-18 14:42,-2.15, , 
,2022-02-18 14:45,-2.622222222, , 
,2022-02-18 14:48,-2.016666667, , 
,2022-02-18 14:51,-1.85, , 
,2022-02-18 14:54,-1.633333333, , 
,2022-02-18 14:57,-0.944444444, , 
,2022-02-18 15:00,-0.605555556, , 
,2022-02-18 15:03,-1.116666667, , 
,2022-02-18 15:06,-1.761111111, , 
,2022-02-18 15:09,-2.15, , 
,2022-02-18 15:12,-1.244444444, , 
,2022-02-18 15:15,-1.761111111, , 
,2022-02-18 15:18,-3.177777778, , 
,2022-02-18 15:21,-3.133333333, , 
,2022-02-18 15:24,-3.65, , 
,2022-02-18 15:27,-2.577777778, , 
,2022-02-18 15:30,-1.205555556, , 
,2022-02-18 15:33,-1.544444444, , 
,2022-02-18 15:36,-1.933333333, , 
,2022-02-18 15:39,-1.461111111, , 
,2022-02-18 15:42,-3.133333333, , 
,2022-02-18 15:45,-3.088888889, , 
,2022-02-18 15:48,-1.805555556, , 
,2022-02-18 15:51,-2.622222222, , 
,2022-02-18 15:54,-1.588888889, , 
,2022-02-18 15:57,-1.288888889, , 
,2022-02-18 16:00,1.2, , 
,2022-02-18 16:03,1.111111111, , 
,2022-02-18 16:06,-0.944444444, , 
,2022-02-18 16:09,-1.461111111, , 
,2022-02-18 16:12,-1.761111111, , 
,2022-02-18 16:15,-1.244444444, , 
,2022-02-18 16:18,-1.333333333, , 
,2022-02-18 16:21,-3.133333333, , 
,2022-02-18 16:24,-2.833333333, , 
,2022-02-18 16:27,-1.677777778, , 
,2022-02-18 16:30,-1.544444444, , 
,2022-02-18 16:33,-1.85, , 
,2022-02-18 16:36,-3.822222222, , 
,2022-02-18 16:39,-4.722222222, , 
,2022-02-18 16:42,-4.766666667, , 
,2022-02-18 16:45,-5.022222222, , 
,2022-02-18 16:48,-4.205555556, , 
,2022-02-18 16:51,-5.322222222, , 
,2022-02-18 16:54,-5.577777778, , 
,2022-02-18 16:57,-5.577777778, , 
,2022-02-18 17:00,-4.977777778, , 
,2022-02-18 17:03,-4.805555556, , 
,2022-02-18 17:06,-5.494444444, , 
,2022-02-18 17:09,-7.255555556, , 
,2022-02-18 17:12,-7.894444444, , 
,2022-02-18 17:15,-8.538888889, , 
,2022-02-18 17:18,-8.711111111, , 
,2022-02-18 17:21,-9.055555556, , 
,2022-02-18 17:24,-8.666666667, , 
,2022-02-18 17:27,-8.155555556, , 
,2022-02-18 17:30,-9.311111111, , 
,2022-02-18 17:33,-9.827777778, , 
,2022-02-18 17:36,-9.183333333, , 
,2022-02-18 17:39,-9.438888889, , 
,2022-02-18 17:42,-9.827777778, , 
,2022-02-18 17:45,-10.38333333, , 
,2022-02-18 17:48,-9.527777778, , 
,2022-02-18 17:51,-10.34444444, , 
,2022-02-18 17:54,-10.85555556, , 
,2022-02-18 17:57,-11.5, , 
,2022-02-18 18:00,-11.41666667, , 
,2022-02-18 18:03,-12.05555556, , 
,2022-02-18 18:06,-11.71666667, , 
,2022-02-18 18:09,-11.11666667, , 
,2022-02-18 18:12,-10.64444444, , 
,2022-02-18 18:15,-11.41666667, , 
,2022-02-18 18:18,-10.42777778, , 
,2022-02-18 18:21,-10.17222222, , 
,2022-02-18 18:24,-10.51111111, , 
,2022-02-18 18:27,-11.32777778, , 
,2022-02-18 18:30,-11.45555556, , 
,2022-02-18 18:33,-10.08333333, , 
,2022-02-18 18:36,-8.966666667, , 
,2022-02-18 18:39,-9.911111111, , 
,2022-02-18 18:42,-11.67222222, , 
,2022-02-18 18:45,-10.64444444, , 
,2022-02-18 18:48,-8.155555556, , 
,2022-02-18 18:51,-8.155555556, , 
,2022-02-18 18:54,-10, , 
,2022-02-18 18:57,-10.64444444, , 
,2022-02-18 19:00,-10, , 
,2022-02-18 19:03,-9.827777778, , 
,2022-02-18 19:06,-10.25555556, , 
,2022-02-18 19:09,-9.138888889, , 
,2022-02-18 19:12,-9.4, , 
,2022-02-18 19:15,-10.64444444, , 
,2022-02-18 19:18,-11.24444444, , 
,2022-02-18 19:21,-11.54444444, , 
,2022-02-18 19:24,-9.611111111, , 
,2022-02-18 19:27,-11.37222222, , 
,2022-02-18 19:30,-10.51111111, , 
,2022-02-18 19:33,-10.94444444, , 
