#,Date-Time (MDT),Ch: 1 - Temperature   (Â°C ),Host Connected,End of File
,2022-02-18 13:11,-4.205555556,Logged, 
,2022-02-18 13:14,-2.961111111, , 
,2022-02-18 13:17,-0.861111111, , 
,2022-02-18 13:20,0.938888889, , 
,2022-02-18 13:23,-0.561111111, , 
,2022-02-18 13:26,1.111111111, , 
,2022-02-18 13:29,0.383333333, , 
,2022-02-18 13:32,-1.888888889, , 
,2022-02-18 13:35,-4.333333333, , 
,2022-02-18 13:38,-4.977777778, , 
,2022-02-18 13:41,-3.777777778, , 
,2022-02-18 13:44,-2.15, , 
,2022-02-18 13:47,-2.016666667, , 
,2022-02-18 13:50,-1.033333333, , 
,2022-02-18 13:53,-1.805555556, , 
,2022-02-18 13:56,-3.05, , 
,2022-02-18 13:59,-3.35, , 
,2022-02-18 14:02,-2.277777778, , 
,2022-02-18 14:05,-0.688888889, , 
,2022-02-18 14:08,-0.644444444, , 
,2022-02-18 14:11,-0.472222222, , 
,2022-02-18 14:14,-3.222222222, , 
,2022-02-18 14:17,-3.133333333, , 
,2022-02-18 14:20,-2.105555556, , 
,2022-02-18 14:23,-1.077777778, , 
,2022-02-18 14:26,-0.516666667, , 
,2022-02-18 14:29,-0.644444444, , 
,2022-02-18 14:32,-1.888888889, , 
,2022-02-18 14:35,-1.588888889, , 
,2022-02-18 14:38,-0.905555556, , 
,2022-02-18 14:41,-0.516666667, , 
,2022-02-18 14:44,-1.85, , 
,2022-02-18 14:47,-1.716666667, , 
,2022-02-18 14:50,-2.15, , 
,2022-02-18 14:53,-3.433333333, , 
,2022-02-18 14:56,-3.35, , 
,2022-02-18 14:59,-1.761111111, , 
,2022-02-18 15:02,-0.561111111, , 
,2022-02-18 15:05,-3.65, , 
,2022-02-18 15:08,-3.95, , 
,2022-02-18 15:11,-3.133333333, , 
,2022-02-18 15:14,-1.888888889, , 
,2022-02-18 15:17,-1.205555556, , 
,2022-02-18 15:20,-0.261111111, , 
,2022-02-18 15:23,0.038888889, , 
,2022-02-18 15:26,-1.333333333, , 
,2022-02-18 15:29,-1.505555556, , 
,2022-02-18 15:32,-1.716666667, , 
,2022-02-18 15:35,-1.244444444, , 
,2022-02-18 15:38,-2.233333333, , 
,2022-02-18 15:41,-1.805555556, , 
,2022-02-18 15:44,-0.133333333, , 
,2022-02-18 15:47,0.983333333, , 
,2022-02-18 15:50,0.9, , 
,2022-02-18 15:53,0.727777778, , 
,2022-02-18 15:56,-0.516666667, , 
,2022-02-18 15:59,-0.861111111, , 
,2022-02-18 16:02,-0.861111111, , 
,2022-02-18 16:05,-2.15, , 
,2022-02-18 16:08,-0.905555556, , 
