#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File,EOF,"Temp, (*F)"
,2/14/2022 9:33,-5.322222222,Logged, , ,22.42
,2/14/2022 9:36,-4.977777778, , , ,23.04
,2/14/2022 9:39,-4.466666667, , , ,23.96
,2/14/2022 9:42,-4.422222222, , , ,24.04
,2/14/2022 9:45,-5.494444444, , , ,22.11
,2/14/2022 9:48,-3.694444444, , , ,25.35
,2/14/2022 9:51,-4.677777778, , , ,23.58
,2/14/2022 9:54,-5.922222222, , , ,21.34
,2/14/2022 9:57,-6.05, , , ,21.11
,2/14/2022 10:00,-5.322222222, , , ,22.42
,2/14/2022 10:03,-6.694444444, , , ,19.95
,2/14/2022 10:06,-5.622222222, , , ,21.88
,2/14/2022 10:09,-6.522222222, , , ,20.26
,2/14/2022 10:12,-6.738888889, , , ,19.87
,2/14/2022 10:15,-6.994444444, , , ,19.41
,2/14/2022 10:18,-6.483333333, , , ,20.33
,2/14/2022 10:21,-5.794444444, , , ,21.57
,2/14/2022 10:24,-6.05, , , ,21.11
,2/14/2022 10:27,-5.622222222, , , ,21.88
,2/14/2022 10:30,-6.483333333, , , ,20.33
,2/14/2022 10:33,-6.05, , , ,21.11
,2/14/2022 10:36,-5.922222222, , , ,21.34
,2/14/2022 10:39,-5.711111111, , , ,21.72
,2/14/2022 10:42,-5.277777778, , , ,22.5
,2/14/2022 10:45,-4.894444444, , , ,23.19
,2/14/2022 10:48,-4.938888889, , , ,23.11
,2/14/2022 10:51,-5.494444444, , , ,22.11
,2/14/2022 10:54,-5.022222222, , , ,22.96
,2/14/2022 10:57,-5.066666667, , , ,22.88
,2/14/2022 11:00,-4.55, , , ,23.81
,2/14/2022 11:03,-4.594444444, , , ,23.73
,2/14/2022 11:06,-4.333333333, , , ,24.2
,2/14/2022 11:09,-4.55, , , ,23.81
,2/14/2022 11:12,-4.505555556, , , ,23.89
,2/14/2022 11:15,-4.377777778, , , ,24.12
,2/14/2022 11:18,-3.905555556, , , ,24.97
,2/14/2022 11:21,-3.694444444, , , ,25.35
,2/14/2022 11:24,-3.088888889, , , ,26.44
,2/14/2022 11:27,-3.522222222, , , ,25.66
,2/14/2022 11:30,-3.305555556, , , ,26.05
,2/14/2022 11:33,-3.822222222, , , ,25.12
,2/14/2022 11:36,-3.305555556, , , ,26.05
,2/14/2022 11:39,-3.861111111, , , ,25.05
,2/14/2022 11:42,-2.922222222, , , ,26.74
,2/14/2022 11:45,-2.488888889, , , ,27.52
,2/14/2022 11:48,-3.305555556, , , ,26.05
,2/14/2022 11:51,-2.661111111, , , ,27.21
,2/14/2022 11:54,-2.105555556, , , ,28.21
,2/14/2022 11:57,-1.505555556, , , ,29.29
,2/14/2022 12:00,-1.761111111, , , ,28.83
,2/14/2022 12:03,-1.333333333, , , ,29.6
,2/14/2022 12:06,-1.333333333, , , ,29.6
,2/14/2022 12:09,-1.633333333, , , ,29.06
,2/14/2022 12:12,-1.244444444, , , ,29.76
,2/14/2022 12:15,-1.205555556, , , ,29.83
,2/14/2022 12:18,-0.988888889, , , ,30.22
,2/14/2022 12:21,-0.688888889, , , ,30.76
,2/14/2022 12:24,-0.644444444, , , ,30.84
,2/14/2022 12:27,0.383333333, , , ,32.69
,2/14/2022 12:30,-0.216666667, , , ,31.61
,2/14/2022 12:33,-0.172222222, , , ,31.69
,2/14/2022 12:36,-0.088888889, , , ,31.84
,2/14/2022 12:39,1.027777778, , , ,33.85
,2/14/2022 12:42,0.466666667, , , ,32.84
,2/14/2022 12:45,0.427777778, , , ,32.77
,2/14/2022 12:48,0.466666667, , , ,32.84
,2/14/2022 12:51,0.727777778, , , ,33.31
,2/14/2022 12:54,1.072222222, , , ,33.93
,2/14/2022 12:57,1.111111111, , , ,34
,2/14/2022 13:00,1.711111111, , , ,35.08
,2/14/2022 13:03,3, , , ,37.4
,2/14/2022 13:06,2.011111111, , , ,35.62
,2/14/2022 13:09,2.872222222, , , ,37.17
,2/14/2022 13:12,2.527777778, , , ,36.55
,2/14/2022 13:15,3.044444444, , , ,37.48
,2/14/2022 13:18,3, , , ,37.4
,2/14/2022 13:21,2.011111111, , , ,35.62
,2/14/2022 13:24,1.711111111, , , ,35.08
,2/14/2022 13:27,2.616666667, , , ,36.71
,2/14/2022 13:30,2.572222222, , , ,36.63
