#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File,EOF,"Temp, (*F)"
,2/17/2022 15:02,2.355555556, , ,,36.24
,2/17/2022 15:05,0.338888889, , ,,32.61
,2/17/2022 15:08,0.166666667, , ,,32.3
,2/17/2022 15:11,3.216666667, , ,,37.79
,2/17/2022 15:14,3.644444444, , ,,38.56
,2/17/2022 15:17,1.972222222, , ,,35.55
,2/17/2022 15:20,2.744444444, , ,,36.94
,2/17/2022 15:23,4.161111111, , ,,39.49
,2/17/2022 15:26,2.311111111, , ,,36.16
,2/17/2022 15:29,2.527777778, , ,,36.55
,2/17/2022 15:32,1.844444444, , ,,35.32
,2/17/2022 15:35,-0.644444444, , ,,30.84
,2/17/2022 15:38,-1.244444444, , ,,29.76
,2/17/2022 15:41,-1.244444444, , ,,29.76
,2/17/2022 15:44,-0.044444444, , ,,31.92
,2/17/2022 15:47,-1.077777778, , ,,30.06
,2/17/2022 15:50,-0.861111111, , ,,30.45
,2/17/2022 15:53,-0.733333333, , ,,30.68
,2/17/2022 15:56,-1.288888889, , ,,29.68
,2/17/2022 15:59,-1.761111111, , ,,28.83
,2/17/2022 16:02,-1.677777778, , ,,28.98
,2/17/2022 16:05,-1.977777778, , ,,28.44
,2/17/2022 16:08,-2.15, , ,,28.13
,2/17/2022 16:11,-2.233333333, , ,,27.98
,2/17/2022 16:14,-2.405555556, , ,,27.67
,2/17/2022 16:17,-2.233333333, , ,,27.98
,2/17/2022 16:20,-2.577777778, , ,,27.36
,2/17/2022 16:23,-2.488888889, , ,,27.52
,2/17/2022 16:26,-2.488888889, , ,,27.52
,2/17/2022 16:29,-2.661111111, , ,,27.21
,2/17/2022 16:32,-3.005555556, , ,,26.59
,2/17/2022 16:35,-3.177777778, , ,,26.28
,2/17/2022 16:38,-3.005555556, , ,,26.59
,2/17/2022 16:41,-3.222222222, , ,,26.2
,2/17/2022 16:44,-3.177777778, , ,,26.28
,2/17/2022 16:47,-3.305555556, , ,,26.05
,2/17/2022 16:50,-3.477777778, , ,,25.74
,2/17/2022 16:53,-3.694444444, , ,,25.35
,2/17/2022 16:56,-3.605555556, , ,,25.51
,2/17/2022 16:59,-3.694444444, , ,,25.35
,2/17/2022 17:02,-3.822222222, , ,,25.12
,2/17/2022 17:05,-3.694444444, , ,,25.35
,2/17/2022 17:08,-3.994444444, , ,,24.81
,2/17/2022 17:11,-3.994444444, , ,,24.81
,2/17/2022 17:14,-3.95, , ,,24.89
,2/17/2022 17:17,-4.033333333, , ,,24.74
,2/17/2022 17:20,-3.994444444, , ,,24.81
,2/17/2022 17:23,-4.077777778, , ,,24.66
,2/17/2022 17:26,-4.205555556, , ,,24.43
,2/17/2022 17:29,-4.422222222, , ,,24.04
,2/17/2022 17:32,-4.333333333, , ,,24.2
,2/17/2022 17:35,-4.294444444, , ,,24.27
,2/17/2022 17:38,-4.466666667, , ,,23.96
,2/17/2022 17:41,-4.333333333, , ,,24.2
,2/17/2022 17:44,-4.505555556, , ,,23.89
,2/17/2022 17:47,-4.594444444, , ,,23.73
,2/17/2022 17:50,-4.55, , ,,23.81
,2/17/2022 17:53,-4.505555556, , ,,23.89
,2/17/2022 17:56,-4.422222222, , ,,24.04
,2/17/2022 17:59,-4.85, , ,,23.27
,2/17/2022 18:02,-4.85, , ,,23.27
,2/17/2022 18:05,-4.633333333, , ,,23.66
,2/17/2022 18:08,-4.766666667, , ,,23.42
,2/17/2022 18:11,-4.977777778, , ,,23.04
,2/17/2022 18:14,-4.677777778, , ,,23.58
,2/17/2022 18:17,-4.894444444, , ,,23.19
,2/17/2022 18:20,-5.15, , ,,22.73
,2/17/2022 18:23,-5.494444444, , ,,22.11
,2/17/2022 18:26,-5.877777778, , ,,21.42
,2/17/2022 18:29,-6.094444444, , ,,21.03
,2/17/2022 18:32,-6.522222222, , ,,20.26
,2/17/2022 18:35,-6.522222222, , ,,20.26
,2/17/2022 18:38,-6.783333333, , ,,19.79
,2/17/2022 18:41,-7.466666667, , ,,18.56
,2/17/2022 18:44,-7.722222222, , ,,18.1
,2/17/2022 18:47,-7.594444444, , ,,18.33
,2/17/2022 18:50,-7.811111111, , ,,17.94
