#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,02-16-2022 14:21:09,0.38,,
2,02-16-2022 14:24:09,0.77,,
3,02-16-2022 14:27:09,1.33,,
4,02-16-2022 14:30:09,1.63,,
5,02-16-2022 14:33:09,1.63,,
6,02-16-2022 14:36:09,1.63,,
7,02-16-2022 14:39:09,1.37,,
8,02-16-2022 14:42:09,1.03,,
9,02-16-2022 14:45:09,0.90,,
10,02-16-2022 14:48:09,1.28,,
11,02-16-2022 14:51:09,1.54,,
12,02-16-2022 14:54:09,0.81,,
13,02-16-2022 14:57:09,0.60,,
14,02-16-2022 15:00:09,0.73,,
15,02-16-2022 15:03:09,0.73,,
16,02-16-2022 15:06:09,0.21,,
17,02-16-2022 15:09:09,-0.13,,
18,02-16-2022 15:12:09,-0.60,,
19,02-16-2022 15:15:09,-1.20,,
20,02-16-2022 15:18:09,-1.46,,
21,02-16-2022 15:21:09,-1.50,,
22,02-16-2022 15:24:09,-1.25,,
23,02-16-2022 15:27:09,-0.86,,
24,02-16-2022 15:30:09,-0.95,,
25,02-16-2022 15:33:09,-1.38,,
26,02-16-2022 15:36:09,-1.72,,
27,02-16-2022 15:39:09,-1.68,,
28,02-16-2022 15:42:09,-1.98,,
29,02-16-2022 15:45:09,-2.15,,
30,02-16-2022 15:48:09,-2.06,,
31,02-16-2022 15:51:09,-1.72,,
32,02-16-2022 15:54:09,-1.55,,
33,02-16-2022 15:57:09,-1.85,,
34,02-16-2022 16:00:09,-2.06,,
35,02-16-2022 16:03:09,-2.23,,
36,02-16-2022 16:06:09,-2.10,,
37,02-16-2022 16:09:09,-2.28,,
38,02-16-2022 16:12:09,-2.36,,
39,02-16-2022 16:15:09,-2.10,,
40,02-16-2022 16:18:09,-1.59,,
41,02-16-2022 16:21:09,-1.16,,
42,02-16-2022 16:24:09,-1.29,,
43,02-16-2022 16:27:09,-1.33,,
44,02-16-2022 16:30:09,-1.33,,
45,02-16-2022 16:33:09,-1.46,,
46,02-16-2022 16:36:09,-1.55,,
47,02-16-2022 16:39:09,-1.76,,
48,02-16-2022 16:42:09,-1.93,,
49,02-16-2022 16:45:09,-2.06,,
50,02-16-2022 16:48:09,-2.10,,
51,02-16-2022 16:51:09,-2.28,,
52,02-16-2022 16:54:09,-2.45,,
53,02-16-2022 16:57:09,-2.49,,
54,02-16-2022 17:00:09,-2.49,,
55,02-16-2022 17:03:09,-2.45,,
56,02-16-2022 17:06:09,-2.36,,
57,02-16-2022 17:09:09,-2.36,,
58,02-16-2022 17:12:09,-2.45,,
59,02-16-2022 17:15:09,-2.53,,
60,02-16-2022 17:18:09,-2.71,,
61,02-16-2022 17:21:09,-2.83,,
62,02-16-2022 17:24:09,-3.05,,
63,02-16-2022 17:27:09,-3.05,,
64,02-16-2022 17:30:09,-3.05,,
65,02-16-2022 17:33:09,-3.05,,
66,02-16-2022 17:36:09,-2.96,,
67,02-16-2022 17:39:09,-3.01,,
68,02-16-2022 17:42:09,-3.01,,
69,02-16-2022 17:45:09,-3.05,,
70,02-16-2022 17:48:09,-3.05,,
71,02-16-2022 17:51:09,-3.09,,
72,02-16-2022 17:54:09,-3.13,,
73,02-16-2022 17:57:09,-3.09,,
74,02-16-2022 18:00:09,-3.01,,
75,02-16-2022 18:03:09,-3.09,,
76,02-16-2022 18:06:09,-3.35,,
77,02-16-2022 18:09:09,-3.48,,
78,02-16-2022 18:12:09,-3.56,,
79,02-16-2022 18:15:09,-3.65,,
80,02-16-2022 18:18:09,-3.78,,
81,02-16-2022 18:21:09,-3.78,,
82,02-16-2022 18:24:09,-3.65,,
83,02-16-2022 18:27:09,-3.74,,
84,02-16-2022 18:30:09,-3.78,,
85,02-16-2022 18:33:09,-3.86,,
86,02-16-2022 18:36:09,-3.91,,
87,02-16-2022 18:39:09,-3.99,,
88,02-16-2022 18:42:09,-4.04,,
89,02-16-2022 18:45:09,-4.08,,
90,02-16-2022 18:48:09,-4.16,,
91,02-16-2022 18:51:09,-4.25,,
92,02-16-2022 18:54:09,-4.34,,
93,02-16-2022 18:57:09,-5.45,,
94,02-16-2022 19:00:09,-5.62,,
95,02-16-2022 19:03:09,-5.02,,
96,02-16-2022 19:06:09,-5.28,,
97,02-16-2022 19:09:09,-5.75,,
98,02-16-2022 19:12:09,-5.79,,
99,02-16-2022 19:15:09,-6.65,,
100,02-16-2022 19:18:09,-6.39,,
101,02-16-2022 19:21:09,-6.95,,
102,02-16-2022 19:24:09,-7.42,,
103,02-16-2022 19:27:09,-7.04,,
104,02-16-2022 19:30:09,-6.39,,
105,02-16-2022 19:33:09,-6.27,,
106,02-16-2022 19:36:09,-6.18,,
107,02-16-2022 19:39:09,-6.09,,
108,02-16-2022 19:42:09,-6.05,,
109,02-16-2022 19:45:09,-5.97,,
110,02-16-2022 19:48:09,-6.09,,
111,02-16-2022 19:51:09,-6.05,,
112,02-16-2022 19:54:09,-6.05,,
113,02-16-2022 19:57:09,-6.18,,
114,02-16-2022 20:00:09,-6.27,,
115,02-16-2022 20:03:09,-6.27,,
116,02-16-2022 20:06:09,-5.92,,
117,02-16-2022 20:09:09,-5.67,,
118,02-16-2022 20:12:09,-5.49,,
119,02-16-2022 20:15:09,-5.58,,
120,02-16-2022 20:18:09,-5.54,,
121,02-16-2022 20:21:09,-6.18,,
122,02-16-2022 20:24:09,-6.39,,
123,02-16-2022 20:27:09,-6.48,,
124,02-16-2022 20:30:09,-6.78,,
125,02-16-2022 20:33:09,-6.22,,
126,02-16-2022 20:36:09,-6.22,,
127,02-16-2022 20:39:09,-6.01,,
128,02-16-2022 20:42:09,-5.88,,
129,02-16-2022 20:45:09,-5.84,,
130,02-16-2022 20:48:09,-5.54,,
131,02-16-2022 20:51:09,-5.45,,
132,02-16-2022 20:54:09,-5.49,,
133,02-16-2022 20:57:09,-5.45,,
134,02-16-2022 21:00:09,-5.37,,
135,02-16-2022 21:03:09,-5.37,,
136,02-16-2022 21:06:09,-5.11,,
137,02-16-2022 21:09:09,-4.98,,
138,02-16-2022 21:12:09,-4.64,,
139,02-16-2022 21:15:09,-4.55,,
140,02-16-2022 21:18:09,-4.64,,
141,02-16-2022 21:21:09,-4.55,,
142,02-16-2022 21:24:09,-4.59,,
143,02-16-2022 21:27:09,-4.55,,
144,02-16-2022 21:30:09,-4.46,,
145,02-16-2022 21:33:09,-4.55,,
146,02-16-2022 21:36:09,-4.59,,
147,02-16-2022 21:39:09,-4.51,,
148,02-16-2022 21:42:09,-4.38,,
149,02-16-2022 21:45:09,-4.64,,
150,02-16-2022 21:48:09,-4.76,,
151,02-16-2022 21:51:09,-4.68,,
152,02-16-2022 21:54:09,-4.72,,
153,02-16-2022 21:57:09,-4.59,,
154,02-16-2022 22:00:09,-4.55,,
