#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,02-25-2022 13:41:22,-5.11,,
2,02-25-2022 13:44:22,-3.86,,
3,02-25-2022 13:45:20,,Logged,
4,02-25-2022 13:46:29,,Logged,
5,02-25-2022 13:47:22,-6.09,,
6,02-25-2022 13:50:22,-1.98,,
7,02-25-2022 13:53:22,-0.99,,
8,02-25-2022 13:56:22,-3.61,,
9,02-25-2022 13:59:22,-3.13,,
10,02-25-2022 14:02:22,-5.92,,
11,02-25-2022 14:05:22,-5.54,,
12,02-25-2022 14:08:22,-4.12,,
13,02-25-2022 14:11:22,-3.05,,
14,02-25-2022 14:14:22,-4.59,,
15,02-25-2022 14:17:22,-4.89,,
16,02-25-2022 14:20:22,-5.07,,
17,02-25-2022 14:23:22,-3.01,,
18,02-25-2022 14:26:22,-0.05,,
19,02-25-2022 14:29:22,-2.75,,
20,02-25-2022 14:32:22,-3.31,,
21,02-25-2022 14:35:22,-0.77,,
22,02-25-2022 14:38:22,0.94,,
23,02-25-2022 14:41:22,0.86,,
24,02-25-2022 14:44:22,-0.95,,
25,02-25-2022 14:47:22,0.00,,
26,02-25-2022 14:50:22,0.81,,
27,02-25-2022 14:53:22,-2.75,,
28,02-25-2022 14:56:22,-4.21,,
29,02-25-2022 14:59:22,-4.76,,
30,02-25-2022 15:02:22,-5.71,,
31,02-25-2022 15:05:22,-5.71,,
32,02-25-2022 15:08:22,-5.75,,
33,02-25-2022 15:11:22,-4.34,,
34,02-25-2022 15:14:22,-5.88,,
35,02-25-2022 15:17:22,-6.22,,
36,02-25-2022 15:20:22,-3.99,,
37,02-25-2022 15:23:22,-3.65,,
38,02-25-2022 15:26:22,-6.05,,
39,02-25-2022 15:29:22,-5.67,,
40,02-25-2022 15:32:22,-4.08,,
41,02-25-2022 15:35:22,-2.10,,
42,02-25-2022 15:38:22,-1.29,,
43,02-25-2022 15:41:22,-3.95,,
44,02-25-2022 15:44:22,-5.41,,
45,02-25-2022 15:47:22,-3.05,,
46,02-25-2022 15:50:22,-3.43,,
47,02-25-2022 15:53:22,-6.31,,
48,02-25-2022 15:56:22,-5.07,,
49,02-25-2022 15:59:22,-5.75,,
50,02-25-2022 16:02:22,-7.08,,
51,02-25-2022 16:05:22,-5.75,,
52,02-25-2022 16:08:22,-4.64,,
53,02-25-2022 16:11:22,-4.46,,
54,02-25-2022 16:14:22,-6.01,,
55,02-25-2022 16:17:22,-4.85,,
56,02-25-2022 16:20:22,-4.59,,
57,02-25-2022 16:23:22,-5.97,,
58,02-25-2022 16:26:22,-7.00,,
59,02-25-2022 16:29:22,-6.82,,
60,02-25-2022 16:32:22,-7.42,,
61,02-25-2022 16:35:22,-8.03,,
62,02-25-2022 16:38:22,-7.55,,
63,02-25-2022 16:41:22,-8.33,,
64,02-25-2022 16:44:22,-8.88,,
65,02-25-2022 16:47:22,-9.36,,
66,02-25-2022 16:50:22,-8.45,,
67,02-25-2022 16:53:22,-7.94,,
68,02-25-2022 16:56:22,-7.98,,
69,02-25-2022 16:59:22,-7.94,,
70,02-25-2022 17:02:22,-7.85,,
71,02-25-2022 17:05:22,-7.21,,
72,02-25-2022 17:08:22,-7.34,,
73,02-25-2022 17:11:22,-8.15,,
74,02-25-2022 17:14:22,-9.78,,
75,02-25-2022 17:17:22,-10.43,,
76,02-25-2022 17:20:22,-11.03,,
77,02-25-2022 17:23:22,-11.24,,
78,02-25-2022 17:26:22,-11.59,,
79,02-25-2022 17:29:22,-11.97,,
80,02-25-2022 17:32:22,-12.19,,
81,02-25-2022 17:35:22,-11.76,,
82,02-25-2022 17:38:22,-11.54,,
83,02-25-2022 17:41:22,-12.74,,
84,02-25-2022 17:44:22,-13.52,,
85,02-25-2022 17:47:22,-14.16,,
86,02-25-2022 17:50:22,-14.89,,
87,02-25-2022 17:53:22,-14.59,,
88,02-25-2022 17:56:22,-14.55,,
89,02-25-2022 17:59:22,-15.15,,
90,02-25-2022 18:02:22,-15.19,,
91,02-25-2022 18:05:22,-15.06,,
92,02-25-2022 18:08:22,-15.66,,
93,02-25-2022 18:11:22,-15.92,,
94,02-25-2022 18:14:22,-16.00,,
95,02-25-2022 18:17:22,-16.13,,
96,02-25-2022 18:20:22,-16.78,,
97,02-25-2022 18:23:22,-16.73,,
