#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,02-18-2022 13:11:26,-4.21,,
2,02-18-2022 13:14:26,-2.96,,
3,02-18-2022 13:17:26,-0.86,,
4,02-18-2022 13:20:26,0.94,,
5,02-18-2022 13:23:26,-0.56,,
6,02-18-2022 13:26:26,1.11,,
7,02-18-2022 13:29:26,0.38,,
8,02-18-2022 13:32:26,-1.89,,
9,02-18-2022 13:35:26,-4.34,,
10,02-18-2022 13:38:26,-4.98,,
11,02-18-2022 13:41:26,-3.78,,
12,02-18-2022 13:44:26,-2.15,,
13,02-18-2022 13:47:26,-2.02,,
14,02-18-2022 13:50:26,-1.03,,
15,02-18-2022 13:53:26,-1.80,,
16,02-18-2022 13:56:26,-3.05,,
17,02-18-2022 13:59:26,-3.35,,
18,02-18-2022 14:02:26,-2.28,,
19,02-18-2022 14:05:26,-0.69,,
20,02-18-2022 14:08:26,-0.65,,
21,02-18-2022 14:11:26,-0.47,,
22,02-18-2022 14:14:26,-3.22,,
23,02-18-2022 14:17:26,-3.13,,
24,02-18-2022 14:20:26,-2.10,,
25,02-18-2022 14:23:26,-1.08,,
26,02-18-2022 14:26:26,-0.52,,
27,02-18-2022 14:29:26,-0.65,,
28,02-18-2022 14:32:26,-1.89,,
29,02-18-2022 14:35:26,-1.59,,
30,02-18-2022 14:38:26,-0.90,,
31,02-18-2022 14:41:26,-0.52,,
32,02-18-2022 14:44:26,-1.85,,
33,02-18-2022 14:47:26,-1.72,,
34,02-18-2022 14:50:26,-2.15,,
35,02-18-2022 14:53:26,-3.43,,
36,02-18-2022 14:56:26,-3.35,,
37,02-18-2022 14:59:26,-1.76,,
38,02-18-2022 15:02:26,-0.56,,
39,02-18-2022 15:05:26,-3.65,,
40,02-18-2022 15:08:26,-3.95,,
41,02-18-2022 15:11:26,-3.13,,
42,02-18-2022 15:14:26,-1.89,,
43,02-18-2022 15:17:26,-1.20,,
44,02-18-2022 15:20:26,-0.26,,
45,02-18-2022 15:23:26,0.04,,
46,02-18-2022 15:26:26,-1.33,,
47,02-18-2022 15:29:26,-1.50,,
48,02-18-2022 15:32:26,-1.72,,
49,02-18-2022 15:35:26,-1.25,,
50,02-18-2022 15:38:26,-2.23,,
51,02-18-2022 15:41:26,-1.80,,
52,02-18-2022 15:44:26,-0.13,,
53,02-18-2022 15:47:26,0.98,,
54,02-18-2022 15:50:26,0.90,,
55,02-18-2022 15:53:26,0.73,,
56,02-18-2022 15:56:26,-0.52,,
57,02-18-2022 15:59:26,-0.86,,
58,02-18-2022 16:02:26,-0.86,,
59,02-18-2022 16:05:26,-2.15,,
60,02-18-2022 16:08:26,-0.90,,
61,02-18-2022 16:11:26,-1.72,,
62,02-18-2022 16:14:26,-2.02,,
63,02-18-2022 16:17:26,-3.35,,
64,02-18-2022 16:20:26,-3.09,,
65,02-18-2022 16:23:26,-3.35,,
66,02-18-2022 16:26:26,-3.39,,
67,02-18-2022 16:29:26,-3.43,,
68,02-18-2022 16:32:26,-3.35,,
69,02-18-2022 16:35:26,-2.83,,
70,02-18-2022 16:38:26,-3.35,,
71,02-18-2022 16:41:26,-3.31,,
72,02-18-2022 16:44:26,-3.26,,
73,02-18-2022 16:47:26,-2.71,,
74,02-18-2022 16:50:26,-2.88,,
75,02-18-2022 16:53:26,-3.26,,
76,02-18-2022 16:56:26,-4.98,,
77,02-18-2022 16:59:26,-6.52,,
78,02-18-2022 17:02:26,-5.75,,
79,02-18-2022 17:05:26,-5.49,,
80,02-18-2022 17:08:26,-4.81,,
81,02-18-2022 17:11:26,-4.46,,
82,02-18-2022 17:14:26,-5.92,,
