#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,02-14-2022 10:58:31,0.60,,
2,02-14-2022 11:01:31,-2.15,,
3,02-14-2022 11:04:31,-1.80,,
4,02-14-2022 11:07:31,-2.32,,
5,02-14-2022 11:10:31,-3.52,,
6,02-14-2022 11:13:31,-3.18,,
7,02-14-2022 11:16:31,-2.41,,
8,02-14-2022 11:19:31,-2.19,,
9,02-14-2022 11:22:31,-2.10,,
10,02-14-2022 11:25:31,-3.43,,
11,02-14-2022 11:28:31,-4.25,,
12,02-14-2022 11:31:31,-4.46,,
13,02-14-2022 11:34:31,-3.43,,
14,02-14-2022 11:37:31,-4.34,,
15,02-14-2022 11:40:31,-3.43,,
16,02-14-2022 11:43:31,-3.99,,
17,02-14-2022 11:46:31,-2.92,,
18,02-14-2022 11:49:31,-2.83,,
19,02-14-2022 11:52:31,-2.28,,
20,02-14-2022 11:55:31,-1.63,,
21,02-14-2022 11:58:31,-1.50,,
22,02-14-2022 12:01:31,-1.46,,
23,02-14-2022 12:04:31,-1.63,,
24,02-14-2022 12:07:31,-2.32,,
25,02-14-2022 12:10:31,-2.66,,
26,02-14-2022 12:13:31,-3.01,,
27,02-14-2022 12:16:31,-2.28,,
28,02-14-2022 12:19:31,-1.85,,
29,02-14-2022 12:22:31,-1.72,,
30,02-14-2022 12:25:31,-1.16,,
31,02-14-2022 12:28:31,-0.39,,
32,02-14-2022 12:31:31,-1.16,,
33,02-14-2022 12:34:31,-0.95,,
34,02-14-2022 12:37:31,0.08,,
35,02-14-2022 12:40:31,0.73,,
36,02-14-2022 12:43:31,2.01,,
37,02-14-2022 12:46:31,2.31,,
38,02-14-2022 12:49:31,0.47,,
39,02-14-2022 12:52:31,1.46,,
40,02-14-2022 12:55:31,2.06,,
41,02-14-2022 12:58:31,0.86,,
42,02-14-2022 13:01:31,0.86,,
43,02-14-2022 13:04:31,1.28,,
44,02-14-2022 13:07:31,1.50,,
45,02-14-2022 13:10:31,1.16,,
46,02-14-2022 13:13:31,1.71,,
47,02-14-2022 13:16:31,1.54,,
48,02-14-2022 13:19:31,1.46,,
49,02-14-2022 13:22:31,1.33,,
50,02-14-2022 13:25:31,0.98,,
51,02-14-2022 13:28:31,0.55,,
52,02-14-2022 13:31:31,0.43,,
53,02-14-2022 13:34:31,0.98,,
54,02-14-2022 13:37:31,0.68,,
55,02-14-2022 13:40:31,0.30,,
56,02-14-2022 13:43:31,0.73,,
57,02-14-2022 13:46:31,0.51,,
58,02-14-2022 13:49:31,0.81,,
59,02-14-2022 13:52:31,1.16,,
60,02-14-2022 13:55:31,1.46,,
61,02-14-2022 13:58:31,1.37,,
62,02-14-2022 14:01:31,1.24,,
63,02-14-2022 14:04:31,1.20,,
64,02-14-2022 14:07:31,1.50,,
65,02-14-2022 14:10:31,2.14,,
66,02-14-2022 14:13:31,1.71,,
67,02-14-2022 14:16:31,1.58,,
68,02-14-2022 14:19:31,0.98,,
69,02-14-2022 14:22:31,0.73,,
70,02-14-2022 14:25:31,0.60,,
71,02-14-2022 14:28:31,0.17,,
72,02-14-2022 14:31:31,-0.26,,
73,02-14-2022 14:34:31,-0.13,,
74,02-14-2022 14:37:31,0.00,,
75,02-14-2022 14:40:31,-0.26,,
76,02-14-2022 14:43:31,-0.35,,
77,02-14-2022 14:46:31,-0.17,,
78,02-14-2022 14:49:31,0.21,,
79,02-14-2022 14:52:31,0.13,,
80,02-14-2022 14:55:31,0.00,,
81,02-14-2022 14:58:31,-0.09,,
82,02-14-2022 15:01:31,0.17,,
83,02-14-2022 15:04:31,-0.13,,
84,02-14-2022 15:07:31,0.13,,
85,02-14-2022 15:10:31,0.55,,
86,02-14-2022 15:13:31,0.04,,
87,02-14-2022 15:16:31,0.64,,
88,02-14-2022 15:19:31,0.38,,
89,02-14-2022 15:22:31,0.43,,
90,02-14-2022 15:25:31,0.38,,
91,02-14-2022 15:28:31,0.17,,
92,02-14-2022 15:31:31,0.21,,
93,02-14-2022 15:34:31,0.38,,
94,02-14-2022 15:37:31,0.73,,
95,02-14-2022 15:40:31,1.33,,
96,02-14-2022 15:43:31,0.90,,
97,02-14-2022 15:46:31,0.81,,
98,02-14-2022 15:49:31,0.60,,
99,02-14-2022 15:52:31,1.24,,
100,02-14-2022 15:55:31,0.94,,
101,02-14-2022 15:58:31,0.30,,
102,02-14-2022 16:01:31,0.38,,
103,02-14-2022 16:04:31,-0.56,,
104,02-14-2022 16:07:31,-1.20,,
105,02-14-2022 16:10:31,-1.76,,
106,02-14-2022 16:13:31,-2.28,,
107,02-14-2022 16:16:31,-2.79,,
108,02-14-2022 16:19:31,-2.79,,
109,02-14-2022 16:22:31,-2.83,,
110,02-14-2022 16:25:31,-2.71,,
111,02-14-2022 16:28:31,-2.88,,
112,02-14-2022 16:31:31,-2.79,,
113,02-14-2022 16:34:31,-2.71,,
114,02-14-2022 16:37:31,-2.15,,
115,02-14-2022 16:40:31,-1.80,,
116,02-14-2022 16:43:31,-2.28,,
117,02-14-2022 16:46:31,-2.28,,
118,02-14-2022 16:49:31,-2.41,,
119,02-14-2022 16:52:31,-2.62,,
120,02-14-2022 16:55:31,-2.92,,
121,02-14-2022 16:58:31,-3.18,,
122,02-14-2022 17:01:31,-3.26,,
123,02-14-2022 17:04:31,-3.35,,
124,02-14-2022 17:07:31,-3.31,,
125,02-14-2022 17:10:31,-3.05,,
126,02-14-2022 17:13:31,-3.26,,
127,02-14-2022 17:16:31,-2.71,,
128,02-14-2022 17:19:31,-2.45,,
129,02-14-2022 17:22:31,-3.35,,
130,02-14-2022 17:25:31,-3.91,,
131,02-14-2022 17:28:31,-5.07,,
132,02-14-2022 17:31:31,-5.54,,
133,02-14-2022 17:34:31,-5.58,,
134,02-14-2022 17:37:31,-5.75,,
135,02-14-2022 17:40:31,-6.95,,
136,02-14-2022 17:43:31,-7.42,,
137,02-14-2022 17:46:31,-6.65,,
138,02-14-2022 17:49:31,-5.97,,
139,02-14-2022 17:52:31,-6.22,,
140,02-14-2022 17:55:31,-7.81,,
141,02-14-2022 17:58:31,-7.55,,
142,02-14-2022 18:01:31,-6.91,,
143,02-14-2022 18:04:31,-7.21,,
144,02-14-2022 18:07:31,-6.65,,
145,02-14-2022 18:10:31,-7.38,,
146,02-14-2022 18:13:31,-7.51,,
147,02-14-2022 18:16:31,-7.30,,
148,02-14-2022 18:19:31,-6.87,,
149,02-14-2022 18:22:31,-6.52,,
150,02-14-2022 18:25:31,-6.87,,
151,02-14-2022 18:28:31,-8.15,,
152,02-14-2022 18:31:31,-8.50,,
153,02-14-2022 18:34:31,-8.11,,
154,02-14-2022 18:37:31,-8.11,,
155,02-14-2022 18:40:31,-8.33,,
156,02-14-2022 18:43:31,-8.28,,
157,02-14-2022 18:46:31,-8.54,,
158,02-14-2022 18:49:31,-9.36,,
159,02-14-2022 18:52:31,-8.63,,
160,02-14-2022 18:55:31,-9.31,,
161,02-14-2022 18:58:31,-8.71,,
162,02-14-2022 19:01:31,-8.24,,
163,02-14-2022 19:04:31,-9.18,,
164,02-14-2022 19:07:31,-9.57,,
165,02-14-2022 19:10:31,-9.57,,
166,02-14-2022 19:13:31,-9.44,,
167,02-14-2022 19:16:31,-9.36,,
168,02-14-2022 19:19:31,-9.53,,
169,02-14-2022 19:22:31,-9.87,,
170,02-14-2022 19:25:31,-9.57,,
171,02-14-2022 19:28:31,-9.44,,
172,02-14-2022 19:31:31,-9.44,,
173,02-14-2022 19:34:31,-9.48,,
174,02-14-2022 19:37:31,-9.66,,
175,02-14-2022 19:40:31,-9.74,,
176,02-14-2022 19:43:31,-10.04,,
177,02-14-2022 19:46:31,-10.34,,
178,02-14-2022 19:49:31,-10.17,,
179,02-14-2022 19:52:31,-9.78,,
180,02-14-2022 19:55:31,-9.78,,
181,02-14-2022 19:58:31,-9.91,,
182,02-14-2022 20:01:31,-10.17,,
183,02-14-2022 20:04:31,-9.74,,
184,02-14-2022 20:07:31,-10.38,,
185,02-14-2022 20:10:31,-10.34,,
186,02-14-2022 20:13:31,-10.17,,
187,02-14-2022 20:16:31,-10.81,,
188,02-14-2022 20:19:31,-10.94,,
189,02-14-2022 20:22:31,-11.24,,
190,02-14-2022 20:25:31,-11.46,,
191,02-14-2022 20:28:31,-11.11,,
192,02-14-2022 20:31:31,-10.90,,
193,02-14-2022 20:34:31,-10.99,,
194,02-14-2022 20:37:31,-11.24,,
195,02-14-2022 20:40:31,-11.33,,
196,02-14-2022 20:43:31,-11.29,,
197,02-14-2022 20:46:31,-11.29,,
198,02-14-2022 20:49:31,-11.20,,
199,02-14-2022 20:52:31,-11.29,,
200,02-14-2022 20:55:31,-11.11,,
201,02-14-2022 20:58:31,-10.94,,
202,02-14-2022 21:01:31,-11.16,,
203,02-14-2022 21:04:31,-11.11,,
204,02-14-2022 21:07:31,-10.99,,
205,02-14-2022 21:10:31,-10.99,,
206,02-14-2022 21:13:31,-11.11,,
207,02-14-2022 21:16:31,-11.37,,
208,02-14-2022 21:19:31,-11.29,,
209,02-14-2022 21:22:31,-10.60,,
210,02-14-2022 21:25:31,-10.68,,
211,02-14-2022 21:28:31,-10.51,,
212,02-14-2022 21:31:31,-10.38,,
213,02-14-2022 21:34:31,-10.47,,
214,02-14-2022 21:37:31,-10.56,,
215,02-14-2022 21:40:31,-10.73,,
216,02-14-2022 21:43:31,-11.03,,
