#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File,EOF,"Temp, (*F)"
,4/9/2022 11:11,11.49444444, , ,,52.69
,4/9/2022 11:14,11.71111111, , ,,53.08
,4/9/2022 11:17,11.66666667, , ,,53
,4/9/2022 11:20,12.31111111, , ,,54.16
,4/9/2022 11:23,12.39444444, , ,,54.31
,4/9/2022 11:26,11.27777778, , ,,52.3
,4/9/2022 11:29,11.53888889, , ,,52.77
,4/9/2022 11:32,12.52222222, , ,,54.54
,4/9/2022 11:35,12.39444444, , ,,54.31
,4/9/2022 11:38,12.91111111, , ,,55.24
,4/9/2022 11:41,13.72777778, , ,,56.71
,4/9/2022 11:44,13.76666667, , ,,56.78
,4/9/2022 11:47,15.27222222, , ,,59.49
,4/9/2022 11:50,16.12777778, , ,,61.03
,4/9/2022 11:53,14.58333333, , ,,58.25
,4/9/2022 11:56,13.85555556, , ,,56.94
,4/9/2022 11:59,14.06666667, , ,,57.32
,4/9/2022 12:02,13.03888889, , ,,55.47
,4/9/2022 12:05,13.85555556, , ,,56.94
,4/9/2022 12:08,14.06666667, , ,,57.32
,4/9/2022 12:11,14.97222222, , ,,58.95
,4/9/2022 12:14,15.31111111, , ,,59.56
,4/9/2022 12:17,15.27222222, , ,,59.49
,4/9/2022 12:20,15.52777778, , ,,59.95
,4/9/2022 12:23,16.42777778, , ,,61.57
,4/9/2022 12:26,15.87222222, , ,,60.57
,4/9/2022 12:29,16.6, , ,,61.88
,4/9/2022 12:32,16.68333333, , ,,62.03
,4/9/2022 12:35,16.38333333, , ,,61.49
,4/9/2022 12:38,17.2, , ,,62.96
,4/9/2022 12:41,17.8, , ,,64.04
,4/9/2022 12:44,17.97222222, , ,,64.35
,4/9/2022 12:47,16.38333333, , ,,61.49
,4/9/2022 12:50,16.08333333, , ,,60.95
,4/9/2022 12:53,15.91111111, , ,,60.64
,4/9/2022 12:56,16.17222222, , ,,61.11
,4/9/2022 12:59,16.3, , ,,61.34
,4/9/2022 13:02,15.95555556, , ,,60.72
,4/9/2022 13:05,16.55555556, , ,,61.8
,4/9/2022 13:08,15.43888889, , ,,59.79
,4/9/2022 13:11,16.12777778, , ,,61.03
,4/9/2022 13:14,15.87222222, , ,,60.57
,4/9/2022 13:17,15.65555556, , ,,60.18
,4/9/2022 13:20,15.4, , ,,59.72
,4/9/2022 13:23,15.31111111, , ,,59.56
,4/9/2022 13:26,15.78333333, , ,,60.41
,4/9/2022 13:29,16.68333333, , ,,62.03
,4/9/2022 13:32,16.6, , ,,61.88
,4/9/2022 13:35,16.47222222, , ,,61.65
,4/9/2022 13:38,15.65555556, , ,,60.18
,4/9/2022 13:41,16, , ,,60.8
,4/9/2022 13:44,16.42777778, , ,,61.57
,4/9/2022 13:47,16.21111111, , ,,61.18
,4/9/2022 13:50,16, , ,,60.8
,4/9/2022 13:53,16.12777778, , ,,61.03
,4/9/2022 13:56,17.11666667, , ,,62.81
,4/9/2022 13:59,17.28333333, , ,,63.11
