#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File,EOF,"Temp, (*F)"
,4/9/2022 11:46,13.76666667, , ,,56.78
,4/9/2022 11:49,14.62777778, , ,,58.33
,4/9/2022 11:52,14.15555556, , ,,57.48
,4/9/2022 11:55,15.22777778, , ,,59.41
,4/9/2022 11:58,14.5, , ,,58.1
,4/9/2022 12:01,14.28333333, , ,,57.71
,4/9/2022 12:04,14.5, , ,,58.1
,4/9/2022 12:07,15.13888889, , ,,59.25
,4/9/2022 12:10,14.41111111, , ,,57.94
,4/9/2022 12:13,15.01111111, , ,,59.02
,4/9/2022 12:16,15.57222222, , ,,60.03
,4/9/2022 12:19,15.43888889, , ,,59.79
,4/9/2022 12:22,15.27222222, , ,,59.49
,4/9/2022 12:25,15.7, , ,,60.26
,4/9/2022 12:28,16.3, , ,,61.34
,4/9/2022 12:31,15.91111111, , ,,60.64
,4/9/2022 12:34,16.25555556, , ,,61.26
,4/9/2022 12:37,16.72777778, , ,,62.11
,4/9/2022 12:40,17.62777778, , ,,63.73
,4/9/2022 12:43,17.54444444, , ,,63.58
,4/9/2022 12:46,17.37222222, , ,,63.27
,4/9/2022 12:49,16.9, , ,,62.42
,4/9/2022 12:52,16.9, , ,,62.42
,4/9/2022 12:55,16.64444444, , ,,61.96
,4/9/2022 12:58,17.84444444, , ,,64.12
,4/9/2022 13:01,17.24444444, , ,,63.04
,4/9/2022 13:04,16.72777778, , ,,62.11
,4/9/2022 13:07,16.51111111, , ,,61.72
,4/9/2022 13:10,17.5, , ,,63.5
,4/9/2022 13:13,16.77222222, , ,,62.19
,4/9/2022 13:16,16.55555556, , ,,61.8
,4/9/2022 13:19,16.38333333, , ,,61.49
,4/9/2022 13:22,16.38333333, , ,,61.49
,4/9/2022 13:25,16.72777778, , ,,62.11
,4/9/2022 13:28,18.05555556, , ,,64.5
,4/9/2022 13:31,17.45555556, , ,,63.42
,4/9/2022 13:34,16.85555556, , ,,62.34
,4/9/2022 13:37,16.72777778, , ,,62.11
,4/9/2022 13:40,17.02777778, , ,,62.65
,4/9/2022 13:43,16.81666667, , ,,62.27
,4/9/2022 13:46,16.17222222, , ,,61.11
