#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File,EOF
,4/20/2022 16:54,18.66, , ,
,4/20/2022 16:57,18.19, , ,
,4/20/2022 17:00,17.89, , ,
,4/20/2022 17:03,18.19, , ,
,4/20/2022 17:06,18.1, , ,
,4/20/2022 17:09,18.27, , ,
,4/20/2022 17:12,18.36, , ,
,4/20/2022 17:15,18.66, , ,
,4/20/2022 17:18,18.27, , ,
,4/20/2022 17:21,18.1, , ,
,4/20/2022 17:24,17.67, , ,
,4/20/2022 17:27,17.8, , ,
,4/20/2022 17:30,17.89, , ,
,4/20/2022 17:33,17.89, , ,
,4/20/2022 17:36,17.84, , ,
,4/20/2022 17:39,17.8, , ,
,4/20/2022 17:42,17.97, , ,
,4/20/2022 17:45,17.8, , ,
,4/20/2022 17:48,17.89, , ,
,4/20/2022 17:51,17.84, , ,
,4/20/2022 17:54,17.59, , ,
,4/20/2022 17:57,17.89, , ,
,4/20/2022 18:00,18.1, , ,
,4/20/2022 18:03,17.72, , ,
,4/20/2022 18:06,17.76, , ,
,4/20/2022 18:09,17.59, , ,
,4/20/2022 18:12,17.59, , ,
,4/20/2022 18:15,17.67, , ,
,4/20/2022 18:18,17.37, , ,
,4/20/2022 18:21,17.41, , ,
,4/20/2022 18:24,17.29, , ,
,4/20/2022 18:27,17.59, , ,
,4/20/2022 18:30,17.67, , ,
,4/20/2022 18:33,17.63, , ,
,4/20/2022 18:36,17.59, , ,
,4/20/2022 18:39,17.29, , ,
,4/20/2022 18:42,16.99, , ,
,4/20/2022 18:45,17.11, , ,
,4/20/2022 18:48,17.11, , ,
,4/20/2022 18:51,17.07, , ,
,4/20/2022 18:54,16.81, , ,
,4/20/2022 18:57,16.6, , ,
,4/20/2022 19:00,16.69, , ,
,4/20/2022 19:03,16.6, , ,
,4/20/2022 19:06,16.43, , ,
,4/20/2022 19:09,16.13, , ,
,4/20/2022 19:12,16.17, , ,
,4/20/2022 19:15,16.17, , ,
,4/20/2022 19:18,16.04, , ,
,4/20/2022 19:21,16.17, , ,
,4/20/2022 19:24,15.87, , ,
