#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File,EOF
,4/20/2022 16:47,19.04, , ,
,4/20/2022 16:50,18.49, , ,
,4/20/2022 16:53,18.79, , ,
,4/20/2022 16:56,18.74, , ,
,4/20/2022 16:59,18.49, , ,
,4/20/2022 17:02,18.49, , ,
,4/20/2022 17:05,18.36, , ,
,4/20/2022 17:08,19.09, , ,
,4/20/2022 17:11,18.83, , ,
,4/20/2022 17:14,18.53, , ,
,4/20/2022 17:17,18.62, , ,
,4/20/2022 17:20,18.4, , ,
,4/20/2022 17:23,17.97, , ,
,4/20/2022 17:26,17.93, , ,
,4/20/2022 17:29,18.06, , ,
,4/20/2022 17:32,18.57, , ,
,4/20/2022 17:35,18.19, , ,
,4/20/2022 17:38,18.4, , ,
,4/20/2022 17:41,17.97, , ,
,4/20/2022 17:44,18.53, , ,
,4/20/2022 17:47,17.89, , ,
,4/20/2022 17:50,17.84, , ,
,4/20/2022 17:53,17.63, , ,
,4/20/2022 17:56,17.54, , ,
,4/20/2022 17:59,17.8, , ,
,4/20/2022 18:02,17.89, , ,
,4/20/2022 18:05,18.27, , ,
,4/20/2022 18:08,18.14, , ,
,4/20/2022 18:11,17.63, , ,
,4/20/2022 18:14,17.59, , ,
,4/20/2022 18:17,17.72, , ,
,4/20/2022 18:20,17.29, , ,
,4/20/2022 18:23,17.33, , ,
,4/20/2022 18:26,17.03, , ,
,4/20/2022 18:29,17.03, , ,
,4/20/2022 18:32,17.63, , ,
,4/20/2022 18:35,17.72, , ,
,4/20/2022 18:38,17.11, , ,
,4/20/2022 18:41,17.29, , ,
,4/20/2022 18:44,16.64, , ,
,4/20/2022 18:47,16.39, , ,
,4/20/2022 18:50,16.43, , ,
,4/20/2022 18:53,16.47, , ,
,4/20/2022 18:56,16.21, , ,
,4/20/2022 18:59,16.08, , ,
,4/20/2022 19:02,16.08, , ,
,4/20/2022 19:05,15.87, , ,
,4/20/2022 19:08,15.57, , ,
,4/20/2022 19:11,15.44, , ,
,4/20/2022 19:14,15.23, , ,
,4/20/2022 19:17,14.84, , ,
,4/20/2022 19:20,14.54, , ,
,4/20/2022 19:23,14.88, , ,
,4/20/2022 19:26,14.97, , ,
,4/20/2022 19:29,14.45, , ,
,4/20/2022 19:32,14.24, , ,
,4/20/2022 19:35,13.47, , ,
,4/20/2022 19:38,13.6, , ,
,4/20/2022 19:41,13.68, , ,
,4/20/2022 19:44,13, , ,
,4/20/2022 19:47,12.22, , ,
,4/20/2022 19:50,12.31, , ,
,4/20/2022 19:53,12.18, , ,
,4/20/2022 19:56,12.27, , ,
,4/20/2022 19:59,10.94, , ,
,4/20/2022 20:02,10.72, , ,
,4/20/2022 20:05,10.25, , ,
,4/20/2022 20:08,10.77, , ,
,4/20/2022 20:11,10.25, , ,
,4/20/2022 20:14,9.61, , ,
,4/20/2022 20:17,9.52, , ,
,4/20/2022 20:20,9.26, , ,
,4/20/2022 20:23,8.66, , ,
,4/20/2022 20:26,8.75, , ,
,4/20/2022 20:29,9.91, , ,
,4/20/2022 20:32,9.56, , ,
,4/20/2022 20:35,9.56, , ,
,4/20/2022 20:38,9.78, , ,
,4/20/2022 20:41,9.86, , ,
,4/20/2022 20:44,9.91, , ,
,4/20/2022 20:47,10.38, , ,
,4/20/2022 20:50,10.72, , ,
,4/20/2022 20:53,10.77, , ,
,4/20/2022 20:56,10.85, , ,
,4/20/2022 20:59,9.99, , ,
,4/20/2022 21:02,9.74, , ,
,4/20/2022 21:05,9.31, , ,
,4/20/2022 21:08,9.05, , ,
,4/20/2022 21:11,9.39, , ,
,4/20/2022 21:14,8.32, , ,
,4/20/2022 21:17,8.19, , ,
,4/20/2022 21:20,6.99, , ,
,4/20/2022 21:23,6.35, , ,
,4/20/2022 21:26,5.92, , ,
,4/20/2022 21:29,5.87, , ,
,4/20/2022 21:32,5.79, , ,
,4/20/2022 21:35,5.23, , ,
,4/20/2022 21:38,5.4, , ,
,4/20/2022 21:41,6.13, , ,
,4/20/2022 21:44,6.43, , ,
,4/20/2022 21:47,6.69, , ,
,4/20/2022 21:50,5.32, , ,
,4/20/2022 21:53,5.66, , ,
,4/20/2022 21:56,4.42, , ,
,4/20/2022 21:59,5.06, , ,
,4/20/2022 22:02,5.32, , ,
,4/20/2022 22:05,4.5, , ,
,4/20/2022 22:08,5.27, , ,
,4/20/2022 22:11,5.32, , ,
,4/20/2022 22:14,6.17, , ,
,4/20/2022 22:17,7.16, , ,
,4/20/2022 22:20,5.92, , ,
,4/20/2022 22:23,4.8, , ,
,4/20/2022 22:26,4.2, , ,
,4/20/2022 22:29,3.99, , ,
,4/20/2022 22:32,3.73, , ,
,4/20/2022 22:35,2.91, , ,
,4/20/2022 22:38,2.74, , ,
,4/20/2022 22:41,3.6, , ,
,4/20/2022 22:44,3.56, , ,
,4/20/2022 22:47,4.33, , ,
,4/20/2022 22:50,4.76, , ,
,4/20/2022 22:53,3.26, , ,
,4/20/2022 22:56,2.36, , ,
,4/20/2022 22:59,2.74, , ,
,4/20/2022 23:02,2.27, , ,
,4/20/2022 23:05,2.53, , ,
,4/20/2022 23:08,2.36, , ,
,4/20/2022 23:11,2.14, , ,
,4/20/2022 23:14,2.01, , ,
,4/20/2022 23:17,2.01, , ,
,4/20/2022 23:20,1.8, , ,
,4/20/2022 23:23,2.06, , ,
,4/20/2022 23:26,0.9, , ,
,4/20/2022 23:29,0.55, , ,
,4/20/2022 23:32,0.6, , ,
,4/20/2022 23:35,-0.43, , ,
,4/20/2022 23:38,-0.73, , ,
,4/20/2022 23:41,-0.86, , ,
,4/20/2022 23:44,-0.39, , ,
,4/20/2022 23:47,-0.73, , ,
,4/20/2022 23:50,-1.33, , ,
,4/20/2022 23:53,-1.12, , ,
,4/20/2022 23:56,-0.47, , ,
,4/20/2022 23:59,-0.65, , ,
,4/21/2022 0:02,-1.16, , ,
,4/21/2022 0:05,-1.46, , ,
,4/21/2022 0:08,-1.63, , ,
,4/21/2022 0:11,-1.55, , ,
,4/21/2022 0:14,-1.29, , ,
,4/21/2022 0:17,-1.03, , ,
,4/21/2022 0:20,-0.73, , ,
,4/21/2022 0:23,-0.99, , ,
,4/21/2022 0:26,-1.68, , ,
,4/21/2022 0:29,-1.8, , ,
,4/21/2022 0:32,-1.8, , ,
,4/21/2022 0:35,-1.63, , ,
,4/21/2022 0:38,-1.16, , ,
,4/21/2022 0:41,-1.2, , ,
,4/21/2022 0:44,-1.46, , ,
,4/21/2022 0:47,-1.5, , ,
,4/21/2022 0:50,-2.19, , ,
,4/21/2022 0:53,-2.36, , ,
,4/21/2022 0:56,-1.68, , ,
,4/21/2022 0:59,-1.12, , ,
,4/21/2022 1:02,-1.5, , ,
,4/21/2022 1:05,-2.45, , ,
,4/21/2022 1:08,-2.92, , ,
,4/21/2022 1:11,-2.83, , ,
,4/21/2022 1:14,-1.85, , ,
,4/21/2022 1:17,-1.33, , ,
,4/21/2022 1:20,-1.55, , ,
,4/21/2022 1:23,-1.12, , ,
,4/21/2022 1:26,-2.15, , ,
,4/21/2022 1:29,-2.32, , ,
,4/21/2022 1:32,-2.06, , ,
,4/21/2022 1:35,-2.02, , ,
,4/21/2022 1:38,-2.19, , ,
,4/21/2022 1:41,-2.41, , ,
,4/21/2022 1:44,-2.83, , ,
,4/21/2022 1:47,-2.32, , ,
,4/21/2022 1:50,-2.1, , ,
,4/21/2022 1:53,-1.93, , ,
,4/21/2022 1:56,-1.68, , ,
,4/21/2022 1:59,-1.55, , ,
,4/21/2022 2:02,-2.41, , ,
,4/21/2022 2:05,-3.43, , ,
,4/21/2022 2:08,-3.56, , ,
,4/21/2022 2:11,-3.26, , ,
,4/21/2022 2:14,-2.75, , ,
,4/21/2022 2:17,-2.79, , ,
,4/21/2022 2:20,-3.35, , ,
,4/21/2022 2:23,-3.35, , ,
,4/21/2022 2:26,-2.71, , ,
,4/21/2022 2:29,-2.71, , ,
,4/21/2022 2:32,-3.18, , ,
,4/21/2022 2:35,-3.56, , ,
,4/21/2022 2:38,-3.31, , ,
,4/21/2022 2:41,-3.48, , ,
,4/21/2022 2:44,-4.25, , ,
,4/21/2022 2:47,-3.82, , ,
,4/21/2022 2:50,-3.56, , ,
,4/21/2022 2:53,-3.52, , ,
,4/21/2022 2:56,-3.82, , ,
,4/21/2022 2:59,-4.55, , ,
,4/21/2022 3:02,-5.02, , ,
,4/21/2022 3:05,-4.94, , ,
,4/21/2022 3:08,-4.38, , ,
,4/21/2022 3:11,-3.86, , ,
,4/21/2022 3:14,-3.86, , ,
,4/21/2022 3:17,-3.99, , ,
,4/21/2022 3:20,-4.59, , ,
,4/21/2022 3:23,-4.04, , ,
,4/21/2022 3:26,-4.42, , ,
,4/21/2022 3:29,-4.72, , ,
,4/21/2022 3:32,-5.24, , ,
,4/21/2022 3:35,-5.19, , ,
,4/21/2022 3:38,-4.51, , ,
,4/21/2022 3:41,-3.91, , ,
,4/21/2022 3:44,-4.16, , ,
,4/21/2022 3:47,-5.02, , ,
,4/21/2022 3:50,-4.94, , ,
,4/21/2022 3:53,-4.89, , ,
,4/21/2022 3:56,-4.64, , ,
,4/21/2022 3:59,-4.59, , ,
,4/21/2022 4:02,-5.07, , ,
,4/21/2022 4:05,-4.29, , ,
,4/21/2022 4:08,-4.08, , ,
,4/21/2022 4:11,-3.82, , ,
,4/21/2022 4:14,-3.35, , ,
,4/21/2022 4:17,-3.01, , ,
,4/21/2022 4:20,-3.61, , ,
,4/21/2022 4:23,-4.59, , ,
,4/21/2022 4:26,-5.07, , ,
,4/21/2022 4:29,-5.02, , ,
,4/21/2022 4:32,-4.42, , ,
,4/21/2022 4:35,-4.04, , ,
,4/21/2022 4:38,-3.78, , ,
,4/21/2022 4:41,-4.42, , ,
