#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File,EOF
,4/23/2022 1:25,0, , ,
,4/23/2022 1:28,-0.05, , ,
,4/23/2022 1:31,-0.09, , ,
,4/23/2022 1:34,-0.13, , ,
,4/23/2022 1:37,-0.17, , ,
,4/23/2022 1:40,-0.05, , ,
,4/23/2022 1:43,0.13, , ,
,4/23/2022 1:46,0.3, , ,
,4/23/2022 1:49,0.13, , ,
,4/23/2022 1:52,0, , ,
,4/23/2022 1:55,0, , ,
,4/23/2022 1:58,0.04, , ,
,4/23/2022 2:01,0.17, , ,
,4/23/2022 2:04,0.04, , ,
,4/23/2022 2:07,0.08, , ,
,4/23/2022 2:10,0.08, , ,
,4/23/2022 2:13,0.17, , ,
,4/23/2022 2:16,0.13, , ,
,4/23/2022 2:19,0.13, , ,
,4/23/2022 2:22,0.04, , ,
,4/23/2022 2:25,0.13, , ,
,4/23/2022 2:28,0.17, , ,
,4/23/2022 2:31,0.21, , ,
,4/23/2022 2:34,0.38, , ,
,4/23/2022 2:37,0.3, , ,
,4/23/2022 2:40,0.17, , ,
,4/23/2022 2:43,0.34, , ,
,4/23/2022 2:46,0.38, , ,
,4/23/2022 2:49,0.04, , ,
,4/23/2022 2:52,-0.05, , ,
,4/23/2022 2:55,-0.09, , ,
,4/23/2022 2:58,-0.13, , ,
,4/23/2022 3:01,-0.39, , ,
,4/23/2022 3:04,-0.52, , ,
,4/23/2022 3:07,-0.43, , ,
,4/23/2022 3:10,-0.35, , ,
,4/23/2022 3:13,-0.26, , ,
,4/23/2022 3:16,-0.22, , ,
,4/23/2022 3:19,-0.22, , ,
,4/23/2022 3:22,-0.26, , ,
,4/23/2022 3:25,-0.26, , ,
,4/23/2022 3:28,-0.35, , ,
,4/23/2022 3:31,-0.52, , ,
,4/23/2022 3:34,-0.43, , ,
,4/23/2022 3:37,-0.39, , ,
,4/23/2022 3:40,-0.43, , ,
,4/23/2022 3:43,-0.43, , ,
,4/23/2022 3:46,-0.35, , ,
,4/23/2022 3:49,-0.35, , ,
,4/23/2022 3:52,-0.47, , ,
,4/23/2022 3:55,-0.39, , ,
,4/23/2022 3:58,-0.47, , ,
,4/23/2022 4:01,-0.73, , ,
,4/23/2022 4:04,-1.2, , ,
,4/23/2022 4:07,-1.46, , ,
,4/23/2022 4:10,-1.38, , ,
,4/23/2022 4:13,-1.38, , ,
,4/23/2022 4:16,-1.25, , ,
,4/23/2022 4:19,-0.35, , ,
,4/23/2022 4:22,-0.13, , ,
,4/23/2022 4:25,-0.3, , ,
,4/23/2022 4:28,-0.09, , ,
,4/23/2022 4:31,-0.05, , ,
,4/23/2022 4:34,-0.13, , ,
,4/23/2022 4:37,0.08, , ,
,4/23/2022 4:40,0.04, , ,
,4/23/2022 4:43,0.17, , ,
,4/23/2022 4:46,0.17, , ,
,4/23/2022 4:49,0.17, , ,
,4/23/2022 4:52,0, , ,
,4/23/2022 4:55,0, , ,
,4/23/2022 4:58,0.04, , ,
,4/23/2022 5:01,-0.13, , ,
,4/23/2022 5:04,0.08, , ,
,4/23/2022 5:07,-0.39, , ,
