#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,04/20/2022 16:38:49,18.57,,
2,04/20/2022 16:41:49,19.77,,
3,04/20/2022 16:44:49,20.42,,
4,04/20/2022 16:47:49,19.86,,
5,04/20/2022 16:50:49,19.13,,
6,04/20/2022 16:53:49,18.53,,
7,04/20/2022 16:56:49,18.06,,
8,04/20/2022 16:59:49,17.97,,
9,04/20/2022 17:02:49,18.87,,
10,04/20/2022 17:05:49,19.60,,
11,04/20/2022 17:08:49,19.17,,
12,04/20/2022 17:11:49,18.32,,
13,04/20/2022 17:14:49,17.93,,
14,04/20/2022 17:17:49,18.74,,
15,04/20/2022 17:20:49,19.13,,
16,04/20/2022 17:23:49,18.40,,
17,04/20/2022 17:26:49,18.44,,
18,04/20/2022 17:29:49,18.62,,
19,04/20/2022 17:32:49,18.70,,
20,04/20/2022 17:35:49,18.83,,
21,04/20/2022 17:38:49,18.66,,
22,04/20/2022 17:41:49,18.87,,
23,04/20/2022 17:44:49,18.87,,
24,04/20/2022 17:47:49,18.44,,
25,04/20/2022 17:50:49,18.66,,
26,04/20/2022 17:53:49,18.53,,
27,04/20/2022 17:56:49,17.46,,
28,04/20/2022 17:59:49,17.24,,
29,04/20/2022 18:02:49,17.29,,
30,04/20/2022 18:05:49,17.59,,
31,04/20/2022 18:08:49,17.41,,
32,04/20/2022 18:11:49,17.20,,
33,04/20/2022 18:14:49,16.99,,
34,04/20/2022 18:17:49,16.60,,
35,04/20/2022 18:20:49,16.81,,
36,04/20/2022 18:23:49,16.86,,
37,04/20/2022 18:26:49,16.69,,
38,04/20/2022 18:29:49,16.39,,
39,04/20/2022 18:32:49,16.26,,
40,04/20/2022 18:35:49,15.87,,
41,04/20/2022 18:38:49,15.74,,
42,04/20/2022 18:41:49,15.70,,
43,04/20/2022 18:44:49,15.66,,
44,04/20/2022 18:47:49,15.48,,
45,04/20/2022 18:50:49,15.18,,
46,04/20/2022 18:53:49,14.84,,
47,04/20/2022 18:56:49,14.67,,
48,04/20/2022 18:59:49,14.37,,
49,04/20/2022 19:02:49,13.94,,
50,04/20/2022 19:05:49,13.60,,
51,04/20/2022 19:08:49,13.55,,
52,04/20/2022 19:11:49,13.34,,
53,04/20/2022 19:14:49,12.65,,
54,04/20/2022 19:17:49,12.14,,
55,04/20/2022 19:20:49,11.88,,
