#,Date-Time (MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File,EOF,"Temp, (*F)"
,4/20/2022 17:50,15.87,, , ,60.566
,4/20/2022 17:53,15.61,, , ,60.098
,4/20/2022 17:56,16.08,, , ,60.944
,4/20/2022 17:59,16.04,, , ,60.872
,4/20/2022 18:02,15.74,, , ,60.332
,4/20/2022 18:05,15.36,, , ,59.648
,4/20/2022 18:08,15.27,, , ,59.486
,4/20/2022 18:11,15.18,, , ,59.324
,4/20/2022 18:14,15.1,, , ,59.18
,4/20/2022 18:17,15.06,, , ,59.108
,4/20/2022 18:20,14.88,, , ,58.784
,4/20/2022 18:23,14.75,, , ,58.55
,4/20/2022 18:26,14.71,, , ,58.478
,4/20/2022 18:29,14.84,, , ,58.712
,4/20/2022 18:32,14.84,, , ,58.712
,4/20/2022 18:35,14.93,, , ,58.874
,4/20/2022 18:38,14.88,, , ,58.784
,4/20/2022 18:41,14.84,, , ,58.712
,4/20/2022 18:44,14.67,, , ,58.406
,4/20/2022 18:47,14.54,, , ,58.172
,4/20/2022 18:50,14.5,, , ,58.1
,4/20/2022 18:53,14.45,, , ,58.01
,4/20/2022 18:56,14.37,, , ,57.866
,4/20/2022 18:59,14.41,, , ,57.938
,4/20/2022 19:02,14.11,, , ,57.398
,4/20/2022 19:05,14.03,, , ,57.254
,4/20/2022 19:08,13.85,, , ,56.93
,4/20/2022 19:11,13.47,, , ,56.246
,4/20/2022 19:14,13.47,, , ,56.246
,4/20/2022 19:17,13.77,, , ,56.786
,4/20/2022 19:20,14.15,, , ,57.47
,4/20/2022 19:23,14.2,, , ,57.56
,4/20/2022 19:26,14.11,, , ,57.398
,4/20/2022 19:29,14.03,, , ,57.254
,4/20/2022 19:32,13.94,, , ,57.092
,4/20/2022 19:35,13.85,, , ,56.93
,4/20/2022 19:38,13.6,, , ,56.48
,4/20/2022 19:41,13.55,, , ,56.39
,4/20/2022 19:44,13.47,, , ,56.246
,4/20/2022 19:47,13.25,, , ,55.85
,4/20/2022 19:50,12.65,, , ,54.77
,4/20/2022 19:53,12.18,, , ,53.924
,4/20/2022 19:56,12.14,, , ,53.852
,4/20/2022 19:59,12.4,, , ,54.32
,4/20/2022 20:02,12.18,, , ,53.924
,4/20/2022 20:05,12.01,, , ,53.618
,4/20/2022 20:08,11.54,, , ,52.772
,4/20/2022 20:11,11.11,, , ,51.998
,4/20/2022 20:14,11.07,, , ,51.926
,4/20/2022 20:17,11.02,, , ,51.836
,4/20/2022 20:20,10.77,, , ,51.386
,4/20/2022 20:23,10.21,, , ,50.378
,4/20/2022 20:26,9.74,, , ,49.532
,4/20/2022 20:29,9.18,, , ,48.524
,4/20/2022 20:32,8.79,, , ,47.822
,4/20/2022 20:35,9.14,, , ,48.452
,4/20/2022 20:38,9.01,, , ,48.218
,4/20/2022 20:41,8.96,, , ,48.128
,4/20/2022 20:44,9.14,, , ,48.452
,4/20/2022 20:47,9.01,, , ,48.218
,4/20/2022 20:50,9.05,, , ,48.29
,4/20/2022 20:53,8.96,, , ,48.128
,4/20/2022 20:56,8.96,, , ,48.128
,4/20/2022 20:59,8.83,, , ,47.894
,4/20/2022 21:02,8.66,, , ,47.588
