#,Date-Time (MST/MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,06/21/2022 16:18:57,22.73,,
2,06/21/2022 16:21:57,22.52,,
3,06/21/2022 16:24:57,22.86,,
4,06/21/2022 16:27:57,22.86,,
5,06/21/2022 16:30:57,23.12,,
6,06/21/2022 16:33:57,22.78,,
7,06/21/2022 16:36:57,22.99,,
8,06/21/2022 16:39:57,23.03,,
9,06/21/2022 16:42:57,23.34,,
10,06/21/2022 16:45:57,23.16,,
11,06/21/2022 16:48:57,22.48,,
12,06/21/2022 16:51:57,22.73,,
13,06/21/2022 16:54:57,22.61,,
14,06/21/2022 16:57:57,22.69,,
15,06/21/2022 17:00:57,22.73,,
16,06/21/2022 17:03:57,22.99,,
17,06/21/2022 17:06:57,23.16,,
18,06/21/2022 17:09:57,22.95,,
19,06/21/2022 17:12:57,22.43,,
20,06/21/2022 17:15:57,22.39,,
21,06/21/2022 17:18:57,22.43,,
22,06/21/2022 17:21:57,22.39,,
23,06/21/2022 17:24:57,22.69,,
24,06/21/2022 17:27:57,22.43,,
25,06/21/2022 17:30:57,22.13,,
26,06/21/2022 17:33:57,22.09,,
27,06/21/2022 17:36:57,21.70,,
28,06/21/2022 17:39:57,22.22,,
29,06/21/2022 17:42:57,22.01,,
30,06/21/2022 17:45:57,21.75,,
31,06/21/2022 17:48:57,21.32,,
32,06/21/2022 17:51:57,21.32,,
33,06/21/2022 17:54:57,21.70,,
34,06/21/2022 17:57:57,21.88,,
35,06/21/2022 18:00:57,22.05,,
36,06/21/2022 18:03:57,21.92,,
37,06/21/2022 18:06:57,21.96,,
38,06/21/2022 18:09:57,21.58,,
39,06/21/2022 18:12:57,21.83,,
40,06/21/2022 18:15:57,22.01,,
41,06/21/2022 18:18:57,22.09,,
42,06/21/2022 18:21:57,22.39,,
43,06/21/2022 18:24:57,22.39,,
44,06/21/2022 18:27:57,21.96,,
45,06/21/2022 18:30:57,21.75,,
46,06/21/2022 18:33:57,22.22,,
47,06/21/2022 18:36:57,22.69,,
48,06/21/2022 18:39:57,22.13,,
49,06/21/2022 18:42:57,21.58,,
50,06/21/2022 18:45:57,21.62,,
51,06/21/2022 18:48:57,22.05,,
52,06/21/2022 18:51:57,21.79,,
53,06/21/2022 18:54:57,21.49,,
54,06/21/2022 18:57:57,21.62,,
55,06/21/2022 19:00:57,21.66,,
56,06/21/2022 19:03:57,21.36,,
57,06/21/2022 19:06:57,21.06,,
58,06/21/2022 19:09:57,21.36,,
59,06/21/2022 19:12:57,21.28,,
60,06/21/2022 19:15:57,21.49,,
61,06/21/2022 19:18:57,21.75,,
62,06/21/2022 19:21:57,20.93,,
63,06/21/2022 19:24:57,20.07,,
64,06/21/2022 19:27:57,19.95,,
65,06/21/2022 19:30:57,19.82,,
66,06/21/2022 19:33:57,19.77,,
67,06/21/2022 19:36:57,20.07,,
68,06/21/2022 19:39:57,20.33,,
69,06/21/2022 19:42:57,19.95,,
70,06/21/2022 19:45:57,19.39,,
71,06/21/2022 19:48:57,19.00,,
72,06/21/2022 19:51:57,18.96,,
73,06/21/2022 19:54:57,18.79,,
74,06/21/2022 19:57:57,18.23,,
75,06/21/2022 20:00:57,17.63,,
76,06/21/2022 20:03:57,16.99,,
77,06/21/2022 20:06:57,16.73,,
78,06/21/2022 20:09:57,16.77,,
79,06/21/2022 20:12:57,16.47,,
80,06/21/2022 20:15:57,15.83,,
81,06/21/2022 20:18:57,15.06,,
82,06/21/2022 20:21:57,14.80,,
83,06/21/2022 20:24:57,14.33,,
84,06/21/2022 20:27:57,13.90,,
85,06/21/2022 20:30:57,13.55,,
86,06/21/2022 20:33:57,13.17,,
87,06/21/2022 20:36:57,13.12,,
88,06/21/2022 20:39:57,13.21,,
89,06/21/2022 20:42:57,13.17,,
90,06/21/2022 20:45:57,12.87,,
91,06/21/2022 20:48:57,12.61,,
92,06/21/2022 20:51:57,12.40,,
93,06/21/2022 20:54:57,12.01,,
94,06/21/2022 20:57:57,11.32,,
95,06/21/2022 21:00:57,11.11,,
96,06/21/2022 21:03:57,11.37,,
97,06/21/2022 21:06:57,11.49,,
98,06/21/2022 21:09:57,11.11,,
99,06/21/2022 21:12:57,11.32,,
100,06/21/2022 21:15:57,11.49,,
101,06/21/2022 21:18:57,11.75,,
102,06/21/2022 21:21:57,11.41,,
103,06/21/2022 21:24:57,11.49,,
104,06/21/2022 21:27:57,11.67,,
105,06/21/2022 21:30:57,11.49,,
106,06/21/2022 21:33:57,11.41,,
107,06/21/2022 21:36:57,11.41,,
108,06/21/2022 21:39:57,11.49,,
109,06/21/2022 21:42:57,10.98,,
110,06/21/2022 21:45:57,11.24,,
111,06/21/2022 21:48:57,11.28,,
112,06/21/2022 21:51:57,11.07,,
113,06/21/2022 21:54:57,11.24,,
114,06/21/2022 21:57:57,10.16,,
115,06/21/2022 22:00:57,9.74,,
116,06/21/2022 22:03:57,9.35,,
117,06/21/2022 22:06:57,9.01,,
118,06/21/2022 22:09:57,9.14,,
119,06/21/2022 22:12:57,9.74,,
120,06/21/2022 22:15:57,9.56,,
121,06/21/2022 22:18:57,9.44,,
122,06/21/2022 22:21:57,9.56,,
123,06/21/2022 22:24:57,9.48,,
124,06/21/2022 22:27:57,9.26,,
125,06/21/2022 22:30:57,8.79,,
126,06/21/2022 22:33:57,8.36,,
127,06/21/2022 22:36:57,8.36,,
128,06/21/2022 22:39:57,8.32,,
129,06/21/2022 22:42:57,8.06,,
130,06/21/2022 22:45:57,8.23,,
131,06/21/2022 22:48:57,8.36,,
132,06/21/2022 22:51:57,8.41,,
133,06/21/2022 22:54:57,8.28,,
134,06/21/2022 22:57:57,8.53,,
135,06/21/2022 23:00:57,8.66,,
136,06/21/2022 23:03:57,8.58,,
137,06/21/2022 23:06:57,8.75,,
138,06/21/2022 23:09:57,8.53,,
139,06/21/2022 23:12:57,8.53,,
140,06/21/2022 23:15:57,8.28,,
141,06/21/2022 23:18:57,7.89,,
142,06/21/2022 23:21:57,7.63,,
143,06/21/2022 23:24:57,7.12,,
144,06/21/2022 23:27:57,7.16,,
145,06/21/2022 23:30:57,7.42,,
146,06/21/2022 23:33:57,7.55,,
147,06/21/2022 23:36:57,7.20,,
148,06/21/2022 23:39:57,7.08,,
149,06/21/2022 23:42:57,6.78,,
150,06/21/2022 23:45:57,6.60,,
151,06/21/2022 23:48:57,6.60,,
152,06/21/2022 23:51:57,6.39,,
153,06/21/2022 23:54:57,6.95,,
154,06/21/2022 23:57:57,7.38,,
155,06/22/2022 00:00:57,7.42,,
