#,Date-Time (MST/MDT),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,10/13/2022 17:05:15,19.22,,
2,10/13/2022 17:08:15,18.62,,
3,10/13/2022 17:11:15,18.23,,
4,10/13/2022 17:14:15,18.02,,
5,10/13/2022 17:17:15,18.10,,
6,10/13/2022 17:20:15,18.10,,
7,10/13/2022 17:23:15,17.89,,
8,10/13/2022 17:26:15,17.89,,
9,10/13/2022 17:29:15,17.46,,
10,10/13/2022 17:32:15,17.46,,
11,10/13/2022 17:35:15,17.37,,
12,10/13/2022 17:38:15,16.99,,
13,10/13/2022 17:41:15,16.73,,
14,10/13/2022 17:44:15,16.69,,
15,10/13/2022 17:47:15,16.56,,
16,10/13/2022 17:50:15,16.47,,
17,10/13/2022 17:53:15,16.17,,
18,10/13/2022 17:56:15,15.96,,
19,10/13/2022 17:59:15,15.74,,
20,10/13/2022 18:02:15,15.48,,
21,10/13/2022 18:05:15,15.40,,
22,10/13/2022 18:08:15,15.18,,
23,10/13/2022 18:11:15,14.88,,
24,10/13/2022 18:14:15,14.63,,
25,10/13/2022 18:17:15,14.20,,
26,10/13/2022 18:20:15,13.77,,
27,10/13/2022 18:23:15,13.47,,
28,10/13/2022 18:26:15,13.51,,
29,10/13/2022 18:29:15,12.91,,
30,10/13/2022 18:32:15,12.78,,
31,10/13/2022 18:35:15,12.61,,
32,10/13/2022 18:38:15,12.44,,
33,10/13/2022 18:41:15,12.01,,
34,10/13/2022 18:44:15,12.14,,
35,10/13/2022 18:47:15,11.84,,
36,10/13/2022 18:50:15,11.49,,
37,10/13/2022 18:53:15,11.07,,
38,10/13/2022 18:56:15,10.59,,
39,10/13/2022 18:59:15,10.68,,
40,10/13/2022 19:02:15,10.34,,
41,10/13/2022 19:05:15,10.21,,
42,10/13/2022 19:08:15,10.21,,
43,10/13/2022 19:11:15,10.04,,
44,10/13/2022 19:14:15,9.95,,
45,10/13/2022 19:17:15,9.99,,
46,10/13/2022 19:20:15,9.78,,
47,10/13/2022 19:23:15,9.48,,
48,10/13/2022 19:26:15,9.35,,
49,10/13/2022 19:29:15,9.18,,
50,10/13/2022 19:32:15,9.35,,
51,10/13/2022 19:35:15,9.22,,
52,10/13/2022 19:38:15,9.44,,
53,10/13/2022 19:41:15,9.44,,
54,10/13/2022 19:44:15,9.35,,
55,10/13/2022 19:47:15,9.31,,
56,10/13/2022 19:50:15,9.09,,
57,10/13/2022 19:53:15,9.01,,
58,10/13/2022 19:56:15,8.83,,
59,10/13/2022 19:59:15,8.23,,
60,10/13/2022 20:02:15,7.55,,
61,10/13/2022 20:05:15,7.16,,
62,10/13/2022 20:08:15,6.90,,
63,10/13/2022 20:11:15,6.73,,
64,10/13/2022 20:14:15,6.73,,
65,10/13/2022 20:17:15,6.82,,
66,10/13/2022 20:20:15,6.22,,
67,10/13/2022 20:23:15,5.66,,
68,10/13/2022 20:26:15,6.00,,
69,10/13/2022 20:29:15,5.45,,
70,10/13/2022 20:32:15,5.66,,
71,10/13/2022 20:35:15,5.75,,
72,10/13/2022 20:38:15,5.23,,
73,10/13/2022 20:41:15,4.80,,
74,10/13/2022 20:44:15,5.36,,
75,10/13/2022 20:47:15,5.49,,
76,10/13/2022 20:50:15,4.93,,
77,10/13/2022 20:53:15,4.50,,
78,10/13/2022 20:56:15,5.02,,
79,10/13/2022 20:59:15,4.72,,
80,10/13/2022 21:02:15,4.50,,
81,10/13/2022 21:05:15,4.63,,
82,10/13/2022 21:08:15,3.94,,
83,10/13/2022 21:11:15,3.52,,
84,10/13/2022 21:14:15,3.56,,
85,10/13/2022 21:17:15,3.21,,
86,10/13/2022 21:20:15,2.70,,
87,10/13/2022 21:23:15,2.23,,
88,10/13/2022 21:26:15,2.36,,
89,10/13/2022 21:29:15,2.23,,
90,10/13/2022 21:32:15,1.93,,
91,10/13/2022 21:35:15,1.63,,
92,10/13/2022 21:38:15,1.93,,
93,10/13/2022 21:41:15,2.27,,
94,10/13/2022 21:44:15,2.27,,
95,10/13/2022 21:47:15,2.10,,
96,10/13/2022 21:50:15,1.88,,
97,10/13/2022 21:53:15,2.53,,
98,10/13/2022 21:56:15,2.36,,
99,10/13/2022 21:59:15,2.49,,
100,10/13/2022 22:02:15,2.19,,
101,10/13/2022 22:05:15,2.19,,
102,10/13/2022 22:08:15,2.53,,
103,10/13/2022 22:11:15,2.87,,
104,10/13/2022 22:14:15,2.31,,
105,10/13/2022 22:17:15,1.71,,
106,10/13/2022 22:20:15,1.71,,
107,10/13/2022 22:23:15,1.58,,
108,10/13/2022 22:26:15,1.24,,
109,10/13/2022 22:29:15,0.98,,
110,10/13/2022 22:32:15,1.07,,
111,10/13/2022 22:35:15,0.81,,
112,10/13/2022 22:38:15,0.98,,
113,10/13/2022 22:41:15,1.58,,
114,10/13/2022 22:44:15,2.01,,
115,10/13/2022 22:47:15,1.63,,
116,10/13/2022 22:50:15,1.28,,
117,10/13/2022 22:53:15,1.24,,
118,10/13/2022 22:56:15,1.46,,
119,10/13/2022 22:59:15,1.37,,
