#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Ch: 2 - RH   (%),Dew Point   (°C ),Host Connected,End of File
1,12/03/2022 07:59:35,-11.63,88.09,-13.22,,
2,12/03/2022 08:02:35,-11.55,88.08,-13.15,,
3,12/03/2022 08:05:35,-11.47,88.11,-13.06,,
4,12/03/2022 08:08:35,-11.43,88.33,-12.98,,
5,12/03/2022 08:11:35,-11.32,88.66,-12.83,,
6,12/03/2022 08:14:35,-11.05,89.58,-12.44,,
7,12/03/2022 08:17:35,-10.77,89.12,-12.23,,
8,12/03/2022 08:20:35,-10.65,88.42,-12.21,,
9,12/03/2022 08:23:35,-10.56,88.01,-12.17,,
10,12/03/2022 08:26:35,-10.43,88.27,-12.01,,
11,12/03/2022 08:29:35,-10.34,87.74,-12.00,,
12,12/03/2022 08:32:35,-10.28,87.46,-11.97,,
13,12/03/2022 08:35:35,-10.26,87.13,-12.00,,
14,12/03/2022 08:38:35,-10.25,87.32,-11.96,,
15,12/03/2022 08:41:35,-10.14,86.91,-11.92,,
16,12/03/2022 08:44:35,-10.08,86.84,-11.87,,
17,12/03/2022 08:47:35,-9.92,87.50,-11.62,,
18,12/03/2022 08:50:35,-9.73,87.40,-11.44,,
19,12/03/2022 08:53:35,-9.54,86.65,-11.36,,
20,12/03/2022 08:56:35,-9.43,85.98,-11.35,,
21,12/03/2022 08:59:35,-9.32,85.99,-11.24,,
22,12/03/2022 09:02:35,-9.36,85.48,-11.35,,
23,12/03/2022 09:05:35,-9.49,85.92,-11.42,,
24,12/03/2022 09:08:35,-9.45,86.71,-11.27,,
25,12/03/2022 09:11:35,-9.29,86.46,-11.14,,
26,12/03/2022 09:14:35,-9.08,85.85,-11.02,,
27,12/03/2022 09:17:35,-9.04,84.71,-11.16,,
28,12/03/2022 09:20:35,-8.95,83.62,-11.22,,
29,12/03/2022 09:23:35,-8.85,84.09,-11.06,,
30,12/03/2022 09:26:35,-8.71,82.35,-11.18,,
31,12/03/2022 09:29:35,-8.66,81.74,-11.22,,
32,12/03/2022 09:32:35,-8.58,83.24,-10.92,,
33,12/03/2022 09:35:35,-8.42,82.56,-10.87,,
34,12/03/2022 09:38:35,-8.53,82.29,-11.01,,
35,12/03/2022 09:41:35,-8.56,84.27,-10.75,,
36,12/03/2022 09:44:35,-8.65,83.72,-10.91,,
37,12/03/2022 09:47:35,-8.53,84.81,-10.64,,
38,12/03/2022 09:50:35,-8.26,83.20,-10.61,,
39,12/03/2022 09:53:35,-8.04,82.30,-10.53,,
40,12/03/2022 09:56:35,-7.89,81.14,-10.56,,
41,12/03/2022 09:59:35,-7.70,79.77,-10.60,,
42,12/03/2022 10:02:35,-7.52,78.94,-10.55,,
43,12/03/2022 10:05:35,-7.62,79.94,-10.49,,
44,12/03/2022 10:08:35,-7.67,80.01,-10.53,,
45,12/03/2022 10:11:35,-7.72,81.20,-10.39,,
46,12/03/2022 10:14:35,-7.51,81.12,-10.20,,
47,12/03/2022 10:17:35,-7.09,78.84,-10.15,,
48,12/03/2022 10:20:35,-6.71,76.32,-10.18,,
49,12/03/2022 10:23:35,-6.53,76.68,-9.95,,
50,12/03/2022 10:26:35,-6.38,73.73,-10.30,,
51,12/03/2022 10:29:35,-6.39,73.73,-10.31,,
52,12/03/2022 10:32:35,-6.36,75.10,-10.05,,
