#,Date-Time (MST/MDT),Ch: 1 - Temperature   (°C),Host Connected,End of File
1,10/19/2022 20:58:19,3.52,,
2,10/19/2022 21:01:19,2.23,,
3,10/19/2022 21:04:19,2.06,,
4,10/19/2022 21:07:19,2.23,,
5,10/19/2022 21:10:19,2.53,,
6,10/19/2022 21:13:19,1.84,,
7,10/19/2022 21:16:19,1.03,,
8,10/19/2022 21:19:19,1.20,,
9,10/19/2022 21:22:19,1.11,,
10,10/19/2022 21:25:19,1.97,,
11,10/19/2022 21:28:19,2.14,,
12,10/19/2022 21:31:19,1.71,,
13,10/19/2022 21:34:19,1.80,,
14,10/19/2022 21:37:19,1.54,,
15,10/19/2022 21:40:19,0.81,,
16,10/19/2022 21:43:19,0.47,,
17,10/19/2022 21:46:19,-0.65,,
18,10/19/2022 21:49:19,-0.60,,
19,10/19/2022 21:52:19,0.00,,
20,10/19/2022 21:55:19,-0.09,,
21,10/19/2022 21:58:19,-1.08,,
22,10/19/2022 22:01:19,-0.90,,
23,10/19/2022 22:04:19,-0.30,,
24,10/19/2022 22:07:19,-0.26,,
25,10/19/2022 22:10:19,0.04,,
26,10/19/2022 22:13:19,0.34,,
27,10/19/2022 22:16:19,0.13,,
28,10/19/2022 22:19:19,-0.13,,
29,10/19/2022 22:22:19,0.68,,
30,10/19/2022 22:25:19,0.38,,
31,10/19/2022 22:28:19,-0.35,,
32,10/19/2022 22:31:19,-0.56,,
33,10/19/2022 22:34:19,-0.90,,
34,10/19/2022 22:37:19,-0.35,,
35,10/19/2022 22:40:19,0.04,,
36,10/19/2022 22:43:19,-0.17,,
37,10/19/2022 22:46:19,-0.86,,
38,10/19/2022 22:49:19,-1.29,,
39,10/19/2022 22:52:19,-1.89,,
40,10/19/2022 22:55:19,-1.72,,
41,10/19/2022 22:58:19,-1.72,,
42,10/19/2022 23:01:19,-1.80,,
43,10/19/2022 23:04:19,-2.02,,
44,10/19/2022 23:07:19,-2.10,,
45,10/19/2022 23:10:19,-1.98,,
46,10/19/2022 23:13:19,-1.93,,
47,10/19/2022 23:16:19,-1.89,,
48,10/19/2022 23:19:19,-1.80,,
49,10/19/2022 23:22:19,-1.59,,
50,10/19/2022 23:25:19,-1.68,,
51,10/19/2022 23:28:19,-1.93,,
52,10/19/2022 23:31:19,-2.02,,
53,10/19/2022 23:34:19,-2.23,,
54,10/19/2022 23:37:19,-2.10,,
55,10/19/2022 23:40:19,-2.06,,
56,10/19/2022 23:43:19,-2.36,,
57,10/19/2022 23:46:19,-2.79,,
58,10/19/2022 23:49:19,-2.96,,
59,10/19/2022 23:52:19,-3.01,,
60,10/19/2022 23:55:19,-2.88,,
61,10/19/2022 23:58:19,-2.71,,
62,10/20/2022 00:01:19,-2.79,,
63,10/20/2022 00:04:19,-2.96,,
64,10/20/2022 00:07:19,-3.13,,
65,10/20/2022 00:10:19,-3.13,,
66,10/20/2022 00:13:19,-3.26,,
67,10/20/2022 00:16:19,-3.22,,
68,10/20/2022 00:19:19,-3.26,,
69,10/20/2022 00:22:19,-3.31,,
70,10/20/2022 00:25:19,-2.88,,
71,10/20/2022 00:28:19,-2.75,,
72,10/20/2022 00:31:19,-3.39,,
73,10/20/2022 00:34:19,-3.78,,
74,10/20/2022 00:37:19,-3.61,,
75,10/20/2022 00:40:19,-3.52,,
76,10/20/2022 00:43:19,-3.86,,
77,10/20/2022 00:46:19,-4.16,,
78,10/20/2022 00:49:19,-4.16,,
79,10/20/2022 00:52:19,-4.04,,
80,10/20/2022 00:55:19,-3.65,,
81,10/20/2022 00:58:19,-3.56,,
82,10/20/2022 01:01:19,-3.65,,
83,10/20/2022 01:04:19,-3.69,,
84,10/20/2022 01:07:19,-3.86,,
85,10/20/2022 01:10:19,-4.04,,
86,10/20/2022 01:13:19,-4.38,,
87,10/20/2022 01:16:19,-4.38,,
88,10/20/2022 01:19:19,-4.08,,
89,10/20/2022 01:22:19,-4.21,,
90,10/20/2022 01:25:19,-4.64,,
91,10/20/2022 01:28:19,-4.85,,
92,10/20/2022 01:31:19,-4.59,,
93,10/20/2022 01:34:19,-4.64,,
94,10/20/2022 01:37:19,-4.29,,
95,10/20/2022 01:40:19,-3.91,,
96,10/20/2022 01:43:19,-4.59,,
97,10/20/2022 01:46:19,-5.19,,
98,10/20/2022 01:49:19,-4.64,,
99,10/20/2022 01:52:19,-3.86,,
100,10/20/2022 01:55:19,-3.65,,
101,10/20/2022 01:58:19,-4.04,,
102,10/20/2022 02:01:19,-4.38,,
103,10/20/2022 02:04:19,-4.64,,
104,10/20/2022 02:07:19,-4.76,,
105,10/20/2022 02:10:19,-4.98,,
106,10/20/2022 02:13:19,-5.02,,
107,10/20/2022 02:16:19,-4.89,,
108,10/20/2022 02:19:19,-5.15,,
109,10/20/2022 02:22:19,-5.19,,
110,10/20/2022 02:25:19,-5.32,,
111,10/20/2022 02:28:19,-5.62,,
112,10/20/2022 02:31:19,-5.88,,
113,10/20/2022 02:34:19,-5.54,,
114,10/20/2022 02:37:19,-5.24,,
115,10/20/2022 02:40:19,-5.19,,
116,10/20/2022 02:43:19,-5.11,,
117,10/20/2022 02:46:19,-5.24,,
118,10/20/2022 02:49:19,-5.02,,
119,10/20/2022 02:52:19,-5.49,,
120,10/20/2022 02:55:19,-5.28,,
121,10/20/2022 02:58:19,-5.32,,
122,10/20/2022 03:01:19,-5.58,,
123,10/20/2022 03:04:19,-5.84,,
124,10/20/2022 03:07:19,-5.49,,
125,10/20/2022 03:10:19,-4.89,,
126,10/20/2022 03:13:19,-5.11,,
127,10/20/2022 03:16:19,-6.05,,
128,10/20/2022 03:19:19,-6.35,,
129,10/20/2022 03:22:19,-6.22,,
130,10/20/2022 03:25:19,-6.27,,
131,10/20/2022 03:28:19,-6.22,,
132,10/20/2022 03:31:19,-6.44,,
133,10/20/2022 03:34:19,-6.61,,
134,10/20/2022 03:37:19,-6.48,,
135,10/20/2022 03:40:19,-6.65,,
136,10/20/2022 03:43:19,-6.65,,
137,10/20/2022 03:46:19,-6.52,,
138,10/20/2022 03:49:19,-6.52,,
139,10/20/2022 03:52:19,-6.74,,
140,10/20/2022 03:55:19,-6.82,,
141,10/20/2022 03:58:19,-6.78,,
142,10/20/2022 04:01:19,-6.65,,
143,10/20/2022 04:04:19,-6.78,,
144,10/20/2022 04:07:19,-6.78,,
145,10/20/2022 04:10:19,-6.78,,
146,10/20/2022 04:13:19,-7.04,,
147,10/20/2022 04:16:19,-7.08,,
148,10/20/2022 04:19:19,-6.78,,
149,10/20/2022 04:22:19,-6.78,,
150,10/20/2022 04:25:19,-6.87,,
151,10/20/2022 04:28:19,-7.21,,
152,10/20/2022 04:31:19,-7.47,,
153,10/20/2022 04:34:19,-7.42,,
154,10/20/2022 04:37:19,-7.25,,
155,10/20/2022 04:40:19,-7.21,,
156,10/20/2022 04:43:19,-7.17,,
157,10/20/2022 04:46:19,-7.25,,
158,10/20/2022 04:49:19,-7.34,,
159,10/20/2022 04:52:19,-7.34,,
160,10/20/2022 04:55:19,-7.90,,
161,10/20/2022 04:58:19,-7.94,,
162,10/20/2022 05:01:19,-7.85,,
163,10/20/2022 05:04:19,-7.90,,
164,10/20/2022 05:07:19,-7.94,,
165,10/20/2022 05:10:19,-7.81,,
166,10/20/2022 05:13:19,-7.47,,
167,10/20/2022 05:16:19,-7.51,,
168,10/20/2022 05:19:19,-7.51,,
169,10/20/2022 05:22:19,-7.55,,
170,10/20/2022 05:25:19,-7.72,,
171,10/20/2022 05:28:19,-8.11,,
172,10/20/2022 05:31:19,-8.11,,
173,10/20/2022 05:34:19,-8.11,,
174,10/20/2022 05:37:19,-8.07,,
175,10/20/2022 05:40:19,-8.03,,
176,10/20/2022 05:43:19,-7.98,,
177,10/20/2022 05:46:19,-7.77,,
178,10/20/2022 05:49:19,-7.98,,
