#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/12/2022 19:41:31,-6.39,,
2,12/12/2022 19:44:31,-6.48,,
3,12/12/2022 19:47:31,-6.39,,
4,12/12/2022 19:50:31,-6.52,,
5,12/12/2022 19:53:31,-6.44,,
6,12/12/2022 19:56:31,-6.35,,
7,12/12/2022 19:59:31,-6.31,,
8,12/12/2022 20:02:31,-6.35,,
9,12/12/2022 20:05:31,-6.27,,
10,12/12/2022 20:08:31,-6.18,,
11,12/12/2022 20:11:31,-6.09,,
12,12/12/2022 20:14:31,-6.22,,
13,12/12/2022 20:17:31,-6.27,,
14,12/12/2022 20:20:31,-6.22,,
15,12/12/2022 20:23:31,-6.14,,
16,12/12/2022 20:26:31,-6.18,,
17,12/12/2022 20:29:31,-6.31,,
18,12/12/2022 20:32:31,-6.31,,
19,12/12/2022 20:35:31,-6.39,,
20,12/12/2022 20:38:31,-6.48,,
21,12/12/2022 20:41:31,-6.52,,
22,12/12/2022 20:44:31,-6.48,,
23,12/12/2022 20:47:31,-6.65,,
24,12/12/2022 20:50:31,-6.57,,
25,12/12/2022 20:53:31,-6.52,,
26,12/12/2022 20:56:31,-6.70,,
27,12/12/2022 20:59:31,-6.91,,
28,12/12/2022 21:02:31,-6.95,,
29,12/12/2022 21:05:31,-7.04,,
30,12/12/2022 21:08:31,-7.00,,
31,12/12/2022 21:11:31,-7.00,,
32,12/12/2022 21:14:31,-7.04,,
33,12/12/2022 21:17:31,-7.00,,
34,12/12/2022 21:20:31,-6.95,,
35,12/12/2022 21:23:31,-7.00,,
36,12/12/2022 21:26:31,-6.91,,
37,12/12/2022 21:29:31,-7.04,,
38,12/12/2022 21:32:31,-7.12,,
39,12/12/2022 21:35:31,-7.21,,
40,12/12/2022 21:38:31,-7.25,,
41,12/12/2022 21:41:31,-7.17,,
42,12/12/2022 21:44:31,-7.21,,
43,12/12/2022 21:47:31,-7.25,,
44,12/12/2022 21:50:31,-7.38,,
45,12/12/2022 21:53:31,-7.42,,
46,12/12/2022 21:56:31,-7.55,,
47,12/12/2022 21:59:31,-7.47,,
48,12/12/2022 22:02:31,-7.51,,
49,12/12/2022 22:05:31,-7.47,,
50,12/12/2022 22:08:31,-7.51,,
51,12/12/2022 22:11:31,-7.64,,
52,12/12/2022 22:14:31,-7.60,,
53,12/12/2022 22:17:31,-7.77,,
54,12/12/2022 22:20:31,-7.81,,
55,12/12/2022 22:23:31,-7.64,,
56,12/12/2022 22:26:31,-7.64,,
57,12/12/2022 22:29:31,-7.60,,
58,12/12/2022 22:32:31,-7.64,,
59,12/12/2022 22:35:31,-7.60,,
60,12/12/2022 22:38:31,-7.64,,
61,12/12/2022 22:41:31,-7.64,,
62,12/12/2022 22:44:31,-7.85,,
63,12/12/2022 22:47:31,-7.85,,
64,12/12/2022 22:50:31,-7.98,,
65,12/12/2022 22:53:31,-7.77,,
66,12/12/2022 22:56:31,-7.12,,
67,12/12/2022 22:59:31,-7.42,,
68,12/12/2022 23:02:31,-7.77,,
69,12/12/2022 23:05:31,-7.51,,
70,12/12/2022 23:08:31,-7.38,,
71,12/12/2022 23:11:31,-7.47,,
72,12/12/2022 23:14:31,-7.42,,
73,12/12/2022 23:17:31,-7.47,,
74,12/12/2022 23:20:31,-7.25,,
75,12/12/2022 23:23:31,-7.17,,
76,12/12/2022 23:26:31,-7.60,,
77,12/12/2022 23:29:31,-7.68,,
78,12/12/2022 23:32:31,-7.94,,
79,12/12/2022 23:35:31,-7.94,,
80,12/12/2022 23:38:31,-7.94,,
81,12/12/2022 23:41:31,-7.98,,
82,12/12/2022 23:44:31,-7.90,,
83,12/12/2022 23:47:31,-7.98,,
84,12/12/2022 23:50:31,-7.90,,
85,12/12/2022 23:53:31,-7.77,,
86,12/12/2022 23:56:31,-7.77,,
87,12/12/2022 23:59:31,-7.77,,
88,12/13/2022 00:02:31,-7.72,,
89,12/13/2022 00:05:31,-7.72,,
90,12/13/2022 00:08:31,-7.60,,
91,12/13/2022 00:11:31,-7.55,,
92,12/13/2022 00:14:31,-7.55,,
93,12/13/2022 00:17:31,-7.60,,
94,12/13/2022 00:20:31,-7.42,,
95,12/13/2022 00:23:31,-7.42,,
96,12/13/2022 00:26:31,-7.42,,
97,12/13/2022 00:29:31,-7.51,,
98,12/13/2022 00:32:31,-7.68,,
99,12/13/2022 00:35:31,-7.77,,
100,12/13/2022 00:38:31,-7.72,,
101,12/13/2022 00:41:31,-7.72,,
102,12/13/2022 00:44:31,-7.81,,
103,12/13/2022 00:47:31,-7.90,,
104,12/13/2022 00:50:31,-7.94,,
105,12/13/2022 00:53:31,-7.81,,
106,12/13/2022 00:56:31,-7.85,,
107,12/13/2022 00:59:31,-7.81,,
108,12/13/2022 01:02:31,-7.77,,
109,12/13/2022 01:05:31,-7.94,,
110,12/13/2022 01:08:31,-8.03,,
111,12/13/2022 01:11:31,-7.94,,
112,12/13/2022 01:14:31,-7.94,,
113,12/13/2022 01:17:31,-7.98,,
114,12/13/2022 01:20:31,-7.98,,
115,12/13/2022 01:23:31,-8.07,,
116,12/13/2022 01:26:31,-8.15,,
117,12/13/2022 01:29:31,-8.07,,
118,12/13/2022 01:32:31,-8.07,,
119,12/13/2022 01:35:31,-8.20,,
120,12/13/2022 01:38:31,-8.28,,
121,12/13/2022 01:41:31,-8.24,,
122,12/13/2022 01:44:31,-8.15,,
123,12/13/2022 01:47:31,-8.24,,
124,12/13/2022 01:50:31,-8.15,,
125,12/13/2022 01:53:31,-8.20,,
126,12/13/2022 01:56:31,-8.20,,
127,12/13/2022 01:59:31,-8.24,,
128,12/13/2022 02:02:31,-8.20,,
129,12/13/2022 02:05:31,-8.11,,
130,12/13/2022 02:08:31,-8.11,,
131,12/13/2022 02:11:31,-8.20,,
132,12/13/2022 02:14:31,-8.20,,
133,12/13/2022 02:17:31,-8.20,,
134,12/13/2022 02:20:31,-8.11,,
135,12/13/2022 02:23:31,-8.24,,
136,12/13/2022 02:26:31,-8.24,,
137,12/13/2022 02:29:31,-8.33,,
138,12/13/2022 02:32:31,-8.45,,
139,12/13/2022 02:35:31,-8.45,,
140,12/13/2022 02:38:31,-8.41,,
141,12/13/2022 02:41:31,-8.67,,
142,12/13/2022 02:44:31,-8.88,,
143,12/13/2022 02:47:31,-8.93,,
144,12/13/2022 02:50:31,-8.97,,
145,12/13/2022 02:53:31,-9.05,,
146,12/13/2022 02:56:31,-9.23,,
147,12/13/2022 02:59:31,-9.36,,
148,12/13/2022 03:02:31,-9.27,,
149,12/13/2022 03:05:31,-9.36,,
150,12/13/2022 03:08:31,-9.18,,
151,12/13/2022 03:11:31,-9.27,,
152,12/13/2022 03:14:31,-9.27,,
153,12/13/2022 03:17:31,-9.40,,
154,12/13/2022 03:20:31,-9.57,,
155,12/13/2022 03:23:31,-9.53,,
156,12/13/2022 03:26:31,-9.57,,
157,12/13/2022 03:29:31,-9.78,,
158,12/13/2022 03:32:31,-9.83,,
159,12/13/2022 03:35:31,-9.70,,
160,12/13/2022 03:38:31,-9.66,,
161,12/13/2022 03:41:31,-9.87,,
162,12/13/2022 03:44:31,-10.00,,
163,12/13/2022 03:47:31,-10.00,,
164,12/13/2022 03:50:31,-10.08,,
165,12/13/2022 03:53:31,-10.08,,
166,12/13/2022 03:56:31,-10.26,,
167,12/13/2022 03:59:31,-10.68,,
168,12/13/2022 04:02:31,-10.94,,
169,12/13/2022 04:05:31,-11.24,,
170,12/13/2022 04:08:31,-11.16,,
171,12/13/2022 04:11:31,-11.07,,
172,12/13/2022 04:14:31,-11.20,,
173,12/13/2022 04:17:31,-11.59,,
174,12/13/2022 04:20:31,-11.76,,
175,12/13/2022 04:23:31,-12.06,,
176,12/13/2022 04:26:31,-12.36,,
177,12/13/2022 04:29:31,-11.71,,
