#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/12/2022 19:27:56,-6.95,,
2,12/12/2022 19:30:56,-7.17,,
3,12/12/2022 19:33:56,-7.25,,
4,12/12/2022 19:36:56,-7.21,,
5,12/12/2022 19:39:56,-7.30,,
6,12/12/2022 19:42:56,-7.38,,
7,12/12/2022 19:45:56,-7.47,,
8,12/12/2022 19:48:56,-7.51,,
9,12/12/2022 19:51:56,-7.64,,
10,12/12/2022 19:54:56,-7.64,,
11,12/12/2022 19:57:56,-7.72,,
12,12/12/2022 20:00:56,-7.72,,
13,12/12/2022 20:03:56,-7.85,,
14,12/12/2022 20:06:56,-7.81,,
15,12/12/2022 20:09:56,-7.81,,
16,12/12/2022 20:12:56,-7.98,,
17,12/12/2022 20:15:56,-8.15,,
18,12/12/2022 20:18:56,-8.15,,
19,12/12/2022 20:21:56,-8.24,,
20,12/12/2022 20:24:56,-8.28,,
21,12/12/2022 20:27:56,-7.77,,
22,12/12/2022 20:30:56,-7.90,,
23,12/12/2022 20:33:56,-7.47,,
24,12/12/2022 20:36:56,-7.25,,
25,12/12/2022 20:39:56,-7.12,,
26,12/12/2022 20:42:56,-7.25,,
27,12/12/2022 20:45:56,-7.72,,
28,12/12/2022 20:48:56,-7.81,,
29,12/12/2022 20:51:56,-7.81,,
30,12/12/2022 20:54:56,-7.72,,
31,12/12/2022 20:57:56,-7.81,,
32,12/12/2022 21:00:56,-7.81,,
33,12/12/2022 21:03:56,-7.85,,
34,12/12/2022 21:06:56,-7.85,,
35,12/12/2022 21:09:56,-7.94,,
36,12/12/2022 21:12:56,-7.72,,
37,12/12/2022 21:15:56,-7.72,,
38,12/12/2022 21:18:56,-7.77,,
39,12/12/2022 21:21:56,-7.81,,
40,12/12/2022 21:24:56,-8.07,,
41,12/12/2022 21:27:56,-8.15,,
42,12/12/2022 21:30:56,-8.15,,
43,12/12/2022 21:33:56,-7.81,,
44,12/12/2022 21:36:56,-8.11,,
45,12/12/2022 21:39:56,-8.15,,
46,12/12/2022 21:42:56,-8.11,,
47,12/12/2022 21:45:56,-8.33,,
48,12/12/2022 21:48:56,-8.33,,
49,12/12/2022 21:51:56,-8.20,,
50,12/12/2022 21:54:56,-8.20,,
51,12/12/2022 21:57:56,-8.41,,
52,12/12/2022 22:00:56,-8.58,,
53,12/12/2022 22:03:56,-8.71,,
54,12/12/2022 22:06:56,-8.67,,
55,12/12/2022 22:09:56,-8.58,,
56,12/12/2022 22:12:56,-8.54,,
57,12/12/2022 22:15:56,-8.63,,
58,12/12/2022 22:18:56,-8.63,,
59,12/12/2022 22:21:56,-8.75,,
60,12/12/2022 22:24:56,-8.67,,
61,12/12/2022 22:27:56,-8.58,,
62,12/12/2022 22:30:56,-8.58,,
63,12/12/2022 22:33:56,-8.63,,
64,12/12/2022 22:36:56,-8.71,,
65,12/12/2022 22:39:56,-8.67,,
66,12/12/2022 22:42:56,-8.58,,
67,12/12/2022 22:45:56,-8.58,,
68,12/12/2022 22:48:56,-8.54,,
69,12/12/2022 22:51:56,-8.41,,
70,12/12/2022 22:54:56,-8.41,,
