#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/09/2022 12:10:19,-7.60,,
2,12/09/2022 12:13:19,-7.51,,
3,12/09/2022 12:16:19,-7.04,,
4,12/09/2022 12:19:19,-7.17,,
5,12/09/2022 12:22:19,-7.17,,
6,12/09/2022 12:25:19,-7.12,,
7,12/09/2022 12:28:19,-7.38,,
8,12/09/2022 12:31:19,-7.30,,
9,12/09/2022 12:34:19,-7.47,,
10,12/09/2022 12:37:19,-7.34,,
11,12/09/2022 12:40:19,-6.91,,
12,12/09/2022 12:43:19,-6.91,,
13,12/09/2022 12:46:19,-6.91,,
14,12/09/2022 12:49:19,-6.95,,
15,12/09/2022 12:52:19,-6.48,,
16,12/09/2022 12:55:19,-6.39,,
17,12/09/2022 12:58:19,-6.35,,
18,12/09/2022 13:01:19,-6.74,,
19,12/09/2022 13:04:19,-6.52,,
20,12/09/2022 13:07:19,-6.91,,
21,12/09/2022 13:10:19,-7.00,,
22,12/09/2022 13:13:19,-6.91,,
23,12/09/2022 13:16:19,-6.87,,
24,12/09/2022 13:19:19,-6.44,,
25,12/09/2022 13:22:19,-6.61,,
26,12/09/2022 13:25:19,-6.70,,
27,12/09/2022 13:28:19,-6.27,,
28,12/09/2022 13:31:19,-6.48,,
29,12/09/2022 13:34:19,-6.52,,
30,12/09/2022 13:37:19,-6.22,,
31,12/09/2022 13:40:19,-6.18,,
32,12/09/2022 13:43:19,-6.27,,
33,12/09/2022 13:46:19,-6.39,,
34,12/09/2022 13:49:19,-6.74,,
35,12/09/2022 13:52:19,-6.87,,
36,12/09/2022 13:55:19,-6.74,,
37,12/09/2022 13:58:19,-6.65,,
38,12/09/2022 14:01:19,-6.78,,
39,12/09/2022 14:04:19,-6.87,,
40,12/09/2022 14:07:19,-6.82,,
41,12/09/2022 14:10:19,-6.48,,
42,12/09/2022 14:13:19,-6.57,,
43,12/09/2022 14:16:19,-6.70,,
44,12/09/2022 14:19:19,-6.52,,
45,12/09/2022 14:22:19,-6.65,,
46,12/09/2022 14:25:19,-6.57,,
47,12/09/2022 14:28:19,-6.65,,
48,12/09/2022 14:31:19,-6.48,,
49,12/09/2022 14:34:19,-6.44,,
50,12/09/2022 14:37:19,-5.54,,
51,12/09/2022 14:40:19,-4.89,,
52,12/09/2022 14:43:19,-4.68,,
53,12/09/2022 14:46:19,-4.51,,
54,12/09/2022 14:49:19,-4.81,,
55,12/09/2022 14:52:19,-4.38,,
56,12/09/2022 14:55:19,-3.99,,
