#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/12/2022 19:19:16,-7.25,,
2,12/12/2022 19:22:16,-7.17,,
3,12/12/2022 19:25:16,-7.12,,
4,12/12/2022 19:28:16,-7.17,,
5,12/12/2022 19:31:16,-7.34,,
6,12/12/2022 19:34:16,-7.34,,
7,12/12/2022 19:37:16,-7.30,,
8,12/12/2022 19:40:16,-7.34,,
9,12/12/2022 19:43:16,-7.25,,
10,12/12/2022 19:46:16,-7.30,,
11,12/12/2022 19:49:16,-7.25,,
12,12/12/2022 19:52:16,-7.30,,
13,12/12/2022 19:55:16,-7.51,,
14,12/12/2022 19:58:16,-7.60,,
15,12/12/2022 20:01:16,-7.94,,
16,12/12/2022 20:04:16,-8.07,,
17,12/12/2022 20:07:16,-8.15,,
18,12/12/2022 20:10:16,-8.24,,
19,12/12/2022 20:13:16,-8.33,,
20,12/12/2022 20:16:16,-8.33,,
21,12/12/2022 20:19:16,-8.37,,
22,12/12/2022 20:22:16,-8.37,,
23,12/12/2022 20:25:16,-8.28,,
24,12/12/2022 20:28:16,-7.98,,
25,12/12/2022 20:31:16,-7.94,,
26,12/12/2022 20:34:16,-7.85,,
27,12/12/2022 20:37:16,-7.94,,
28,12/12/2022 20:40:16,-7.85,,
29,12/12/2022 20:43:16,-7.94,,
30,12/12/2022 20:46:16,-7.98,,
31,12/12/2022 20:49:16,-8.07,,
32,12/12/2022 20:52:16,-8.07,,
33,12/12/2022 20:55:16,-7.98,,
34,12/12/2022 20:58:16,-8.03,,
35,12/12/2022 21:01:16,-8.07,,
36,12/12/2022 21:04:16,-8.11,,
37,12/12/2022 21:07:16,-8.15,,
38,12/12/2022 21:10:16,-8.15,,
39,12/12/2022 21:13:16,-8.24,,
40,12/12/2022 21:16:16,-8.07,,
41,12/12/2022 21:19:16,-8.24,,
42,12/12/2022 21:22:16,-8.07,,
43,12/12/2022 21:25:16,-8.15,,
44,12/12/2022 21:28:16,-8.24,,
45,12/12/2022 21:31:16,-8.24,,
46,12/12/2022 21:34:16,-8.37,,
47,12/12/2022 21:37:16,-8.15,,
48,12/12/2022 21:40:16,-8.45,,
49,12/12/2022 21:43:16,-8.50,,
50,12/12/2022 21:46:16,-8.45,,
51,12/12/2022 21:49:16,-8.54,,
52,12/12/2022 21:52:16,-8.45,,
53,12/12/2022 21:55:16,-8.45,,
54,12/12/2022 21:58:16,-8.58,,
55,12/12/2022 22:01:16,-8.58,,
56,12/12/2022 22:04:16,-8.24,,
57,12/12/2022 22:07:16,-8.20,,
58,12/12/2022 22:10:16,-8.33,,
59,12/12/2022 22:13:16,-8.28,,
60,12/12/2022 22:16:16,-8.28,,
61,12/12/2022 22:19:16,-8.28,,
62,12/12/2022 22:22:16,-8.28,,
63,12/12/2022 22:25:16,-8.41,,
64,12/12/2022 22:28:16,-8.15,,
65,12/12/2022 22:31:16,-8.33,,
66,12/12/2022 22:34:16,-8.37,,
67,12/12/2022 22:37:16,-8.33,,
68,12/12/2022 22:40:16,-8.41,,
69,12/12/2022 22:43:16,-8.33,,
70,12/12/2022 22:46:16,-8.45,,
71,12/12/2022 22:49:16,-8.41,,
72,12/12/2022 22:52:16,-8.33,,
73,12/12/2022 22:55:16,-8.37,,
74,12/12/2022 22:58:16,-8.28,,
75,12/12/2022 23:01:16,-8.37,,
76,12/12/2022 23:04:16,-8.41,,
77,12/12/2022 23:07:16,-8.41,,
78,12/12/2022 23:10:16,-8.45,,
79,12/12/2022 23:13:16,-8.58,,
80,12/12/2022 23:16:16,-8.63,,
81,12/12/2022 23:19:16,-8.67,,
82,12/12/2022 23:22:16,-8.75,,
83,12/12/2022 23:25:16,-8.80,,
