#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/12/2022 18:47:49,-5.97,,
2,12/12/2022 18:50:49,-6.01,,
3,12/12/2022 18:53:49,-6.05,,
4,12/12/2022 18:56:49,-6.05,,
5,12/12/2022 18:59:49,-6.09,,
6,12/12/2022 19:02:49,-5.97,,
7,12/12/2022 19:05:49,-6.14,,
8,12/12/2022 19:08:49,-6.18,,
9,12/12/2022 19:11:49,-6.14,,
10,12/12/2022 19:14:49,-6.05,,
11,12/12/2022 19:17:49,-6.05,,
12,12/12/2022 19:20:49,-5.84,,
13,12/12/2022 19:23:49,-6.01,,
14,12/12/2022 19:26:49,-6.09,,
15,12/12/2022 19:29:49,-6.05,,
16,12/12/2022 19:32:49,-6.09,,
17,12/12/2022 19:35:49,-6.22,,
18,12/12/2022 19:38:49,-6.35,,
19,12/12/2022 19:41:49,-6.52,,
20,12/12/2022 19:44:49,-6.57,,
21,12/12/2022 19:47:49,-6.48,,
22,12/12/2022 19:50:49,-6.61,,
23,12/12/2022 19:53:49,-6.65,,
24,12/12/2022 19:56:49,-6.74,,
25,12/12/2022 19:59:49,-6.61,,
26,12/12/2022 20:02:49,-6.74,,
27,12/12/2022 20:05:49,-6.65,,
28,12/12/2022 20:08:49,-6.52,,
29,12/12/2022 20:11:49,-6.57,,
30,12/12/2022 20:14:49,-6.44,,
31,12/12/2022 20:17:49,-6.44,,
32,12/12/2022 20:20:49,-6.48,,
33,12/12/2022 20:23:49,-6.39,,
34,12/12/2022 20:26:49,-6.44,,
35,12/12/2022 20:29:49,-6.39,,
36,12/12/2022 20:32:49,-6.39,,
37,12/12/2022 20:35:49,-6.27,,
38,12/12/2022 20:38:49,-6.39,,
39,12/12/2022 20:41:49,-6.48,,
40,12/12/2022 20:44:49,-6.52,,
41,12/12/2022 20:47:49,-6.61,,
42,12/12/2022 20:50:49,-6.57,,
43,12/12/2022 20:53:49,-6.52,,
44,12/12/2022 20:56:49,-6.61,,
45,12/12/2022 20:59:49,-6.74,,
46,12/12/2022 21:02:49,-6.87,,
47,12/12/2022 21:05:49,-6.82,,
48,12/12/2022 21:08:49,-6.70,,
49,12/12/2022 21:11:49,-6.57,,
50,12/12/2022 21:14:49,-6.74,,
51,12/12/2022 21:17:49,-6.78,,
52,12/12/2022 21:20:49,-6.87,,
53,12/12/2022 21:23:49,-6.70,,
54,12/12/2022 21:26:49,-6.95,,
55,12/12/2022 21:29:49,-7.30,,
56,12/12/2022 21:32:49,-7.55,,
57,12/12/2022 21:35:49,-7.64,,
58,12/12/2022 21:38:49,-7.21,,
59,12/12/2022 21:41:49,-7.42,,
60,12/12/2022 21:44:49,-7.60,,
61,12/12/2022 21:47:49,-7.64,,
62,12/12/2022 21:50:49,-7.72,,
63,12/12/2022 21:53:49,-7.72,,
64,12/12/2022 21:56:49,-7.72,,
65,12/12/2022 21:59:49,-8.03,,
66,12/12/2022 22:02:49,-8.28,,
67,12/12/2022 22:05:49,-8.24,,
68,12/12/2022 22:08:49,-7.98,,
69,12/12/2022 22:11:49,-7.77,,
70,12/12/2022 22:14:49,-7.72,,
71,12/12/2022 22:17:49,-7.98,,
72,12/12/2022 22:20:49,-8.37,,
73,12/12/2022 22:23:49,-8.41,,
74,12/12/2022 22:26:49,-8.33,,
75,12/12/2022 22:29:49,-7.94,,
76,12/12/2022 22:32:49,-8.11,,
77,12/12/2022 22:35:49,-8.03,,
78,12/12/2022 22:38:49,-8.15,,
79,12/12/2022 22:41:49,-8.28,,
80,12/12/2022 22:44:49,-8.37,,
81,12/12/2022 22:47:49,-8.37,,
82,12/12/2022 22:50:49,-8.28,,
83,12/12/2022 22:53:49,-8.24,,
84,12/12/2022 22:56:49,-8.33,,
85,12/12/2022 22:59:49,-8.33,,
86,12/12/2022 23:02:49,-8.41,,
87,12/12/2022 23:05:49,-8.41,,
88,12/12/2022 23:08:49,-8.28,,
89,12/12/2022 23:11:49,-8.33,,
90,12/12/2022 23:14:49,-8.41,,
91,12/12/2022 23:17:49,-8.50,,
92,12/12/2022 23:20:49,-8.54,,
93,12/12/2022 23:23:49,-8.58,,
94,12/12/2022 23:26:49,-8.54,,
95,12/12/2022 23:29:49,-8.50,,
96,12/12/2022 23:32:49,-8.33,,
97,12/12/2022 23:35:49,-7.94,,
98,12/12/2022 23:38:49,-7.98,,
99,12/12/2022 23:41:49,-8.20,,
100,12/12/2022 23:44:49,-8.33,,
101,12/12/2022 23:47:49,-8.45,,
102,12/12/2022 23:50:49,-8.33,,
103,12/12/2022 23:53:49,-8.50,,
104,12/12/2022 23:56:49,-8.84,,
105,12/12/2022 23:59:49,-8.84,,
106,12/13/2022 00:02:49,-8.93,,
107,12/13/2022 00:05:49,-8.97,,
108,12/13/2022 00:08:49,-8.88,,
109,12/13/2022 00:11:49,-8.97,,
110,12/13/2022 00:14:49,-8.93,,
111,12/13/2022 00:17:49,-8.71,,
112,12/13/2022 00:20:49,-8.63,,
113,12/13/2022 00:23:49,-8.67,,
114,12/13/2022 00:26:49,-8.71,,
115,12/13/2022 00:29:49,-8.71,,
116,12/13/2022 00:32:49,-8.67,,
117,12/13/2022 00:35:49,-8.71,,
118,12/13/2022 00:38:49,-8.84,,
