#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/12/2022 19:43:26,-6.18,,
2,12/12/2022 19:46:26,-6.18,,
3,12/12/2022 19:49:26,-6.27,,
4,12/12/2022 19:52:26,-6.52,,
5,12/12/2022 19:55:26,-6.61,,
6,12/12/2022 19:58:26,-6.74,,
7,12/12/2022 20:01:26,-6.82,,
8,12/12/2022 20:04:26,-6.87,,
9,12/12/2022 20:07:26,-6.87,,
10,12/12/2022 20:10:26,-6.91,,
11,12/12/2022 20:13:26,-6.82,,
12,12/12/2022 20:16:26,-6.87,,
13,12/12/2022 20:19:26,-6.82,,
14,12/12/2022 20:22:26,-6.61,,
15,12/12/2022 20:25:26,-6.57,,
16,12/12/2022 20:28:26,-6.65,,
17,12/12/2022 20:31:26,-6.74,,
18,12/12/2022 20:34:26,-6.74,,
19,12/12/2022 20:37:26,-6.78,,
20,12/12/2022 20:40:26,-6.87,,
21,12/12/2022 20:43:26,-6.82,,
22,12/12/2022 20:46:26,-6.70,,
23,12/12/2022 20:49:26,-6.65,,
24,12/12/2022 20:52:26,-6.65,,
25,12/12/2022 20:55:26,-6.57,,
26,12/12/2022 20:58:26,-6.70,,
27,12/12/2022 21:01:26,-6.70,,
28,12/12/2022 21:04:26,-6.74,,
29,12/12/2022 21:07:26,-6.65,,
30,12/12/2022 21:10:26,-6.74,,
31,12/12/2022 21:13:26,-6.78,,
32,12/12/2022 21:16:26,-6.91,,
33,12/12/2022 21:19:26,-6.74,,
34,12/12/2022 21:22:26,-6.82,,
35,12/12/2022 21:25:26,-6.91,,
36,12/12/2022 21:28:26,-7.00,,
37,12/12/2022 21:31:26,-7.08,,
38,12/12/2022 21:34:26,-7.12,,
39,12/12/2022 21:37:26,-7.12,,
40,12/12/2022 21:40:26,-7.25,,
41,12/12/2022 21:43:26,-7.38,,
42,12/12/2022 21:46:26,-7.34,,
43,12/12/2022 21:49:26,-7.25,,
44,12/12/2022 21:52:26,-7.38,,
45,12/12/2022 21:55:26,-7.42,,
46,12/12/2022 21:58:26,-7.55,,
47,12/12/2022 22:01:26,-7.68,,
48,12/12/2022 22:04:26,-7.47,,
49,12/12/2022 22:07:26,-7.64,,
50,12/12/2022 22:10:26,-7.81,,
51,12/12/2022 22:13:26,-7.72,,
52,12/12/2022 22:16:26,-7.72,,
53,12/12/2022 22:19:26,-7.55,,
54,12/12/2022 22:22:26,-7.55,,
55,12/12/2022 22:25:26,-7.60,,
56,12/12/2022 22:28:26,-7.60,,
57,12/12/2022 22:31:26,-7.68,,
58,12/12/2022 22:34:26,-7.51,,
59,12/12/2022 22:37:26,-7.51,,
60,12/12/2022 22:40:26,-7.47,,
61,12/12/2022 22:43:26,-7.42,,
62,12/12/2022 22:46:26,-7.51,,
63,12/12/2022 22:49:26,-7.64,,
64,12/12/2022 22:52:26,-7.60,,
65,12/12/2022 22:55:26,-7.60,,
66,12/12/2022 22:58:26,-7.64,,
67,12/12/2022 23:01:26,-7.60,,
68,12/12/2022 23:04:26,-7.77,,
69,12/12/2022 23:07:26,-7.85,,
70,12/12/2022 23:10:26,-7.90,,
71,12/12/2022 23:13:26,-7.81,,
72,12/12/2022 23:16:26,-7.77,,
73,12/12/2022 23:19:26,-7.85,,
74,12/12/2022 23:22:26,-7.98,,
75,12/12/2022 23:25:26,-7.98,,
76,12/12/2022 23:28:26,-8.03,,
77,12/12/2022 23:31:26,-8.15,,
78,12/12/2022 23:34:26,-8.20,,
79,12/12/2022 23:37:26,-8.11,,
80,12/12/2022 23:40:26,-8.03,,
81,12/12/2022 23:43:26,-8.03,,
82,12/12/2022 23:46:26,-8.15,,
83,12/12/2022 23:49:26,-8.11,,
84,12/12/2022 23:52:26,-7.98,,
85,12/12/2022 23:55:26,-8.07,,
86,12/12/2022 23:58:26,-8.50,,
87,12/13/2022 00:01:26,-8.63,,
88,12/13/2022 00:04:26,-8.71,,
89,12/13/2022 00:07:26,-8.75,,
90,12/13/2022 00:10:26,-8.97,,
91,12/13/2022 00:13:26,-9.05,,
92,12/13/2022 00:16:26,-8.97,,
93,12/13/2022 00:19:26,-9.10,,
94,12/13/2022 00:22:26,-9.14,,
95,12/13/2022 00:25:26,-9.01,,
96,12/13/2022 00:28:26,-8.88,,
97,12/13/2022 00:31:26,-8.88,,
98,12/13/2022 00:34:26,-8.88,,
99,12/13/2022 00:37:26,-9.05,,
100,12/13/2022 00:40:26,-9.14,,
101,12/13/2022 00:43:26,-9.18,,
102,12/13/2022 00:46:26,-9.10,,
103,12/13/2022 00:49:26,-9.27,,
104,12/13/2022 00:52:26,-9.44,,
105,12/13/2022 00:55:26,-9.23,,
106,12/13/2022 00:58:26,-9.27,,
107,12/13/2022 01:01:26,-9.27,,
108,12/13/2022 01:04:26,-9.31,,
109,12/13/2022 01:07:26,-9.61,,
110,12/13/2022 01:10:26,-9.66,,
111,12/13/2022 01:13:26,-9.57,,
112,12/13/2022 01:16:26,-9.27,,
113,12/13/2022 01:19:26,-9.23,,
114,12/13/2022 01:22:26,-9.53,,
