#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/12/2022 19:40:37,-6.35,,
2,12/12/2022 19:43:37,-6.35,,
3,12/12/2022 19:46:37,-6.22,,
4,12/12/2022 19:49:37,-6.35,,
5,12/12/2022 19:52:37,-6.44,,
6,12/12/2022 19:55:37,-6.44,,
7,12/12/2022 19:58:37,-6.39,,
8,12/12/2022 20:01:37,-6.35,,
9,12/12/2022 20:04:37,-6.44,,
10,12/12/2022 20:07:37,-6.57,,
11,12/12/2022 20:10:37,-6.82,,
12,12/12/2022 20:13:37,-6.91,,
13,12/12/2022 20:16:37,-7.00,,
14,12/12/2022 20:19:37,-7.04,,
15,12/12/2022 20:22:37,-7.04,,
16,12/12/2022 20:25:37,-7.00,,
17,12/12/2022 20:28:37,-7.04,,
18,12/12/2022 20:31:37,-6.95,,
19,12/12/2022 20:34:37,-6.82,,
20,12/12/2022 20:37:37,-6.82,,
21,12/12/2022 20:40:37,-6.61,,
22,12/12/2022 20:43:37,-6.65,,
23,12/12/2022 20:46:37,-6.82,,
24,12/12/2022 20:49:37,-6.82,,
25,12/12/2022 20:52:37,-6.82,,
26,12/12/2022 20:55:37,-6.95,,
27,12/12/2022 20:58:37,-6.78,,
28,12/12/2022 21:01:37,-7.04,,
29,12/12/2022 21:04:37,-6.95,,
30,12/12/2022 21:07:37,-6.91,,
31,12/12/2022 21:10:37,-7.12,,
32,12/12/2022 21:13:37,-6.91,,
33,12/12/2022 21:16:37,-6.87,,
34,12/12/2022 21:19:37,-7.00,,
35,12/12/2022 21:22:37,-7.08,,
36,12/12/2022 21:25:37,-7.12,,
37,12/12/2022 21:28:37,-7.08,,
38,12/12/2022 21:31:37,-7.25,,
39,12/12/2022 21:34:37,-7.42,,
40,12/12/2022 21:37:37,-7.34,,
41,12/12/2022 21:40:37,-7.38,,
42,12/12/2022 21:43:37,-7.25,,
43,12/12/2022 21:46:37,-7.42,,
44,12/12/2022 21:49:37,-7.42,,
45,12/12/2022 21:52:37,-7.47,,
46,12/12/2022 21:55:37,-7.60,,
47,12/12/2022 21:58:37,-7.42,,
48,12/12/2022 22:01:37,-7.51,,
49,12/12/2022 22:04:37,-7.47,,
50,12/12/2022 22:07:37,-7.55,,
51,12/12/2022 22:10:37,-7.81,,
52,12/12/2022 22:13:37,-7.90,,
53,12/12/2022 22:16:37,-7.55,,
54,12/12/2022 22:19:37,-7.38,,
55,12/12/2022 22:22:37,-7.47,,
56,12/12/2022 22:25:37,-7.34,,
57,12/12/2022 22:28:37,-7.34,,
58,12/12/2022 22:31:37,-7.25,,
59,12/12/2022 22:34:37,-7.47,,
60,12/12/2022 22:37:37,-7.47,,
61,12/12/2022 22:40:37,-7.47,,
62,12/12/2022 22:43:37,-7.60,,
63,12/12/2022 22:46:37,-7.42,,
64,12/12/2022 22:49:37,-7.51,,
65,12/12/2022 22:52:37,-7.60,,
66,12/12/2022 22:55:37,-7.47,,
67,12/12/2022 22:58:37,-7.68,,
68,12/12/2022 23:01:37,-7.85,,
69,12/12/2022 23:04:37,-7.90,,
70,12/12/2022 23:07:37,-7.64,,
71,12/12/2022 23:10:37,-7.64,,
72,12/12/2022 23:13:37,-7.68,,
73,12/12/2022 23:16:37,-7.81,,
74,12/12/2022 23:19:37,-8.07,,
75,12/12/2022 23:22:37,-7.94,,
76,12/12/2022 23:25:37,-7.94,,
77,12/12/2022 23:28:37,-7.98,,
78,12/12/2022 23:31:37,-7.98,,
79,12/12/2022 23:34:37,-7.98,,
80,12/12/2022 23:37:37,-8.03,,
81,12/12/2022 23:40:37,-8.07,,
82,12/12/2022 23:43:37,-8.28,,
83,12/12/2022 23:46:37,-8.45,,
84,12/12/2022 23:49:37,-8.50,,
85,12/12/2022 23:52:37,-8.80,,
86,12/12/2022 23:55:37,-8.93,,
87,12/12/2022 23:58:37,-9.01,,
88,12/13/2022 00:01:37,-9.27,,
89,12/13/2022 00:04:37,-9.23,,
90,12/13/2022 00:07:37,-9.23,,
91,12/13/2022 00:10:37,-9.23,,
92,12/13/2022 00:13:37,-9.36,,
93,12/13/2022 00:16:37,-9.36,,
94,12/13/2022 00:19:37,-9.44,,
95,12/13/2022 00:22:37,-9.48,,
96,12/13/2022 00:25:37,-9.44,,
97,12/13/2022 00:28:37,-9.27,,
98,12/13/2022 00:31:37,-9.27,,
