#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/12/2022 19:25:21,-6.57,,
2,12/12/2022 19:28:21,-6.57,,
3,12/12/2022 19:31:21,-6.52,,
4,12/12/2022 19:34:21,-6.52,,
5,12/12/2022 19:37:21,-6.57,,
6,12/12/2022 19:40:21,-6.65,,
7,12/12/2022 19:43:21,-6.74,,
8,12/12/2022 19:46:21,-6.82,,
9,12/12/2022 19:49:21,-6.70,,
10,12/12/2022 19:52:21,-6.70,,
11,12/12/2022 19:55:21,-6.74,,
12,12/12/2022 19:58:21,-6.70,,
13,12/12/2022 20:01:21,-6.95,,
14,12/12/2022 20:04:21,-7.12,,
15,12/12/2022 20:07:21,-7.25,,
16,12/12/2022 20:10:21,-7.47,,
17,12/12/2022 20:13:21,-7.60,,
18,12/12/2022 20:16:21,-7.68,,
19,12/12/2022 20:19:21,-7.77,,
20,12/12/2022 20:22:21,-7.77,,
21,12/12/2022 20:25:21,-7.72,,
22,12/12/2022 20:28:21,-7.85,,
23,12/12/2022 20:31:21,-7.68,,
24,12/12/2022 20:34:21,-7.64,,
25,12/12/2022 20:37:21,-7.38,,
26,12/12/2022 20:40:21,-7.42,,
27,12/12/2022 20:43:21,-7.34,,
28,12/12/2022 20:46:21,-7.34,,
29,12/12/2022 20:49:21,-7.42,,
30,12/12/2022 20:52:21,-7.51,,
31,12/12/2022 20:55:21,-7.47,,
32,12/12/2022 20:58:21,-7.51,,
33,12/12/2022 21:01:21,-7.55,,
34,12/12/2022 21:04:21,-7.51,,
35,12/12/2022 21:07:21,-7.51,,
36,12/12/2022 21:10:21,-7.60,,
37,12/12/2022 21:13:21,-7.47,,
38,12/12/2022 21:16:21,-7.55,,
39,12/12/2022 21:19:21,-7.60,,
40,12/12/2022 21:22:21,-7.60,,
41,12/12/2022 21:25:21,-7.64,,
42,12/12/2022 21:28:21,-7.81,,
43,12/12/2022 21:31:21,-7.64,,
44,12/12/2022 21:34:21,-7.68,,
45,12/12/2022 21:37:21,-7.81,,
46,12/12/2022 21:40:21,-7.90,,
47,12/12/2022 21:43:21,-7.85,,
48,12/12/2022 21:46:21,-7.72,,
49,12/12/2022 21:49:21,-7.77,,
50,12/12/2022 21:52:21,-7.90,,
51,12/12/2022 21:55:21,-7.94,,
52,12/12/2022 21:58:21,-8.03,,
53,12/12/2022 22:01:21,-8.07,,
54,12/12/2022 22:04:21,-8.11,,
55,12/12/2022 22:07:21,-8.15,,
56,12/12/2022 22:10:21,-7.98,,
57,12/12/2022 22:13:21,-7.94,,
58,12/12/2022 22:16:21,-7.68,,
59,12/12/2022 22:19:21,-8.03,,
60,12/12/2022 22:22:21,-8.03,,
61,12/12/2022 22:25:21,-7.85,,
62,12/12/2022 22:28:21,-7.90,,
63,12/12/2022 22:31:21,-7.98,,
64,12/12/2022 22:34:21,-7.94,,
65,12/12/2022 22:37:21,-7.98,,
66,12/12/2022 22:40:21,-7.85,,
67,12/12/2022 22:43:21,-7.98,,
68,12/12/2022 22:46:21,-8.03,,
69,12/12/2022 22:49:21,-7.90,,
70,12/12/2022 22:52:21,-7.98,,
71,12/12/2022 22:55:21,-7.98,,
72,12/12/2022 22:58:21,-7.94,,
73,12/12/2022 23:01:21,-8.11,,
74,12/12/2022 23:04:21,-8.07,,
75,12/12/2022 23:07:21,-8.20,,
76,12/12/2022 23:10:21,-8.41,,
77,12/12/2022 23:13:21,-8.50,,
