#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/12/2022 19:57:57,-8.33,,
2,12/12/2022 20:00:57,-8.41,,
3,12/12/2022 20:03:57,-8.58,,
4,12/12/2022 20:06:57,-8.71,,
5,12/12/2022 20:09:57,-8.80,,
6,12/12/2022 20:12:57,-8.93,,
7,12/12/2022 20:15:57,-8.97,,
8,12/12/2022 20:18:57,-8.97,,
9,12/12/2022 20:21:57,-8.84,,
10,12/12/2022 20:24:57,-8.63,,
11,12/12/2022 20:27:57,-8.41,,
12,12/12/2022 20:30:57,-8.11,,
13,12/12/2022 20:33:57,-8.20,,
14,12/12/2022 20:36:57,-8.15,,
15,12/12/2022 20:39:57,-8.20,,
16,12/12/2022 20:42:57,-8.33,,
17,12/12/2022 20:45:57,-8.45,,
18,12/12/2022 20:48:57,-8.37,,
19,12/12/2022 20:51:57,-8.37,,
20,12/12/2022 20:54:57,-8.37,,
21,12/12/2022 20:57:57,-8.45,,
22,12/12/2022 21:00:57,-8.37,,
23,12/12/2022 21:03:57,-8.50,,
24,12/12/2022 21:06:57,-8.50,,
25,12/12/2022 21:09:57,-8.28,,
26,12/12/2022 21:12:57,-8.33,,
27,12/12/2022 21:15:57,-8.33,,
28,12/12/2022 21:18:57,-8.37,,
29,12/12/2022 21:21:57,-8.37,,
30,12/12/2022 21:24:57,-8.41,,
31,12/12/2022 21:27:57,-8.45,,
32,12/12/2022 21:30:57,-8.54,,
33,12/12/2022 21:33:57,-8.58,,
34,12/12/2022 21:36:57,-8.58,,
35,12/12/2022 21:39:57,-8.67,,
36,12/12/2022 21:42:57,-8.63,,
37,12/12/2022 21:45:57,-8.75,,
38,12/12/2022 21:48:57,-8.58,,
39,12/12/2022 21:51:57,-8.67,,
40,12/12/2022 21:54:57,-8.63,,
41,12/12/2022 21:57:57,-8.63,,
42,12/12/2022 22:00:57,-8.71,,
43,12/12/2022 22:03:57,-8.63,,
44,12/12/2022 22:06:57,-8.63,,
45,12/12/2022 22:09:57,-8.54,,
46,12/12/2022 22:12:57,-8.54,,
47,12/12/2022 22:15:57,-8.63,,
48,12/12/2022 22:18:57,-8.75,,
49,12/12/2022 22:21:57,-8.88,,
50,12/12/2022 22:24:57,-8.71,,
51,12/12/2022 22:27:57,-8.75,,
52,12/12/2022 22:30:57,-8.71,,
53,12/12/2022 22:33:57,-8.84,,
54,12/12/2022 22:36:57,-8.84,,
55,12/12/2022 22:39:57,-8.88,,
56,12/12/2022 22:42:57,-8.71,,
57,12/12/2022 22:45:57,-8.84,,
