#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/12/2022 19:18:45,-5.79,,
2,12/12/2022 19:21:45,-6.09,,
3,12/12/2022 19:24:45,-6.14,,
4,12/12/2022 19:27:45,-6.22,,
5,12/12/2022 19:30:45,-6.27,,
6,12/12/2022 19:33:45,-6.22,,
7,12/12/2022 19:36:45,-6.18,,
8,12/12/2022 19:39:45,-6.18,,
9,12/12/2022 19:42:45,-6.27,,
10,12/12/2022 19:45:45,-6.39,,
11,12/12/2022 19:48:45,-6.52,,
12,12/12/2022 19:51:45,-6.52,,
13,12/12/2022 19:54:45,-6.57,,
14,12/12/2022 19:57:45,-6.61,,
15,12/12/2022 20:00:45,-6.61,,
16,12/12/2022 20:03:45,-6.61,,
17,12/12/2022 20:06:45,-6.65,,
18,12/12/2022 20:09:45,-6.61,,
19,12/12/2022 20:12:45,-6.61,,
20,12/12/2022 20:15:45,-6.65,,
21,12/12/2022 20:18:45,-6.57,,
22,12/12/2022 20:21:45,-6.61,,
23,12/12/2022 20:24:45,-6.65,,
24,12/12/2022 20:27:45,-6.61,,
25,12/12/2022 20:30:45,-6.61,,
26,12/12/2022 20:33:45,-6.65,,
27,12/12/2022 20:36:45,-6.39,,
28,12/12/2022 20:39:45,-6.18,,
29,12/12/2022 20:42:45,-6.22,,
30,12/12/2022 20:45:45,-6.27,,
31,12/12/2022 20:48:45,-6.31,,
32,12/12/2022 20:51:45,-6.44,,
33,12/12/2022 20:54:45,-6.44,,
34,12/12/2022 20:57:45,-6.61,,
35,12/12/2022 21:00:45,-6.82,,
36,12/12/2022 21:03:45,-6.95,,
37,12/12/2022 21:06:45,-7.08,,
38,12/12/2022 21:09:45,-6.70,,
39,12/12/2022 21:12:45,-6.82,,
40,12/12/2022 21:15:45,-6.65,,
41,12/12/2022 21:18:45,-6.78,,
42,12/12/2022 21:21:45,-7.04,,
43,12/12/2022 21:24:45,-7.25,,
44,12/12/2022 21:27:45,-7.17,,
45,12/12/2022 21:30:45,-7.12,,
46,12/12/2022 21:33:45,-7.08,,
47,12/12/2022 21:36:45,-7.04,,
48,12/12/2022 21:39:45,-7.00,,
49,12/12/2022 21:42:45,-6.87,,
50,12/12/2022 21:45:45,-6.70,,
51,12/12/2022 21:48:45,-7.12,,
52,12/12/2022 21:51:45,-7.38,,
53,12/12/2022 21:54:45,-7.25,,
54,12/12/2022 21:57:45,-7.25,,
55,12/12/2022 22:00:45,-7.21,,
56,12/12/2022 22:03:45,-7.21,,
57,12/12/2022 22:06:45,-7.17,,
58,12/12/2022 22:09:45,-7.08,,
59,12/12/2022 22:12:45,-7.17,,
60,12/12/2022 22:15:45,-7.00,,
61,12/12/2022 22:18:45,-7.21,,
62,12/12/2022 22:21:45,-6.91,,
63,12/12/2022 22:24:45,-7.12,,
64,12/12/2022 22:27:45,-7.12,,
65,12/12/2022 22:30:45,-6.95,,
66,12/12/2022 22:33:45,-7.30,,
67,12/12/2022 22:36:45,-7.60,,
68,12/12/2022 22:39:45,-7.94,,
69,12/12/2022 22:42:45,-8.24,,
70,12/12/2022 22:45:45,-7.08,,
71,12/12/2022 22:48:45,-6.95,,
72,12/12/2022 22:51:45,-7.12,,
73,12/12/2022 22:54:45,-7.34,,
74,12/12/2022 22:57:45,-7.04,,
75,12/12/2022 23:00:45,-7.08,,
76,12/12/2022 23:03:45,-7.38,,
77,12/12/2022 23:06:45,-7.30,,
78,12/12/2022 23:09:45,-7.34,,
79,12/12/2022 23:12:45,-7.30,,
80,12/12/2022 23:15:45,-7.25,,
81,12/12/2022 23:18:45,-7.47,,
82,12/12/2022 23:21:45,-7.64,,
83,12/12/2022 23:24:45,-7.51,,
84,12/12/2022 23:27:45,-7.47,,
85,12/12/2022 23:30:45,-7.51,,
86,12/12/2022 23:33:45,-7.94,,
87,12/12/2022 23:36:45,-7.85,,
88,12/12/2022 23:39:45,-7.81,,
89,12/12/2022 23:42:45,-7.90,,
90,12/12/2022 23:45:45,-7.77,,
91,12/12/2022 23:48:45,-7.98,,
92,12/12/2022 23:51:45,-7.85,,
93,12/12/2022 23:54:45,-8.03,,
94,12/12/2022 23:57:45,-8.15,,
95,12/13/2022 00:00:45,-8.41,,
96,12/13/2022 00:03:45,-8.45,,
97,12/13/2022 00:06:45,-8.50,,
98,12/13/2022 00:09:45,-8.24,,
99,12/13/2022 00:12:45,-8.07,,
100,12/13/2022 00:15:45,-8.20,,
101,12/13/2022 00:18:45,-8.33,,
102,12/13/2022 00:21:45,-8.33,,
103,12/13/2022 00:24:45,-8.37,,
104,12/13/2022 00:27:45,-8.28,,
105,12/13/2022 00:30:45,-8.20,,
106,12/13/2022 00:33:45,-8.33,,
107,12/13/2022 00:36:45,-8.45,,
108,12/13/2022 00:39:45,-8.50,,
109,12/13/2022 00:42:45,-8.58,,
110,12/13/2022 00:45:45,-8.50,,
111,12/13/2022 00:48:45,-8.58,,
112,12/13/2022 00:51:45,-8.75,,
113,12/13/2022 00:54:45,-9.01,,
114,12/13/2022 00:57:45,-8.97,,
115,12/13/2022 01:00:45,-9.10,,
116,12/13/2022 01:03:45,-9.18,,
117,12/13/2022 01:06:45,-8.93,,
118,12/13/2022 01:09:45,-8.71,,
119,12/13/2022 01:12:45,-8.97,,
120,12/13/2022 01:15:45,-8.97,,
121,12/13/2022 01:18:45,-8.88,,
122,12/13/2022 01:21:45,-8.88,,
123,12/13/2022 01:24:45,-8.93,,
124,12/13/2022 01:27:45,-8.93,,
125,12/13/2022 01:30:45,-8.93,,
126,12/13/2022 01:33:45,-8.84,,
127,12/13/2022 01:36:45,-9.01,,
128,12/13/2022 01:39:45,-9.05,,
129,12/13/2022 01:42:45,-9.14,,
130,12/13/2022 01:45:45,-9.27,,
131,12/13/2022 01:48:45,-9.18,,
132,12/13/2022 01:51:45,-9.23,,
133,12/13/2022 01:54:45,-9.74,,
134,12/13/2022 01:57:45,-9.70,,
135,12/13/2022 02:00:45,-9.40,,
136,12/13/2022 02:03:45,-9.48,,
137,12/13/2022 02:06:45,-10.00,,
138,12/13/2022 02:09:45,-10.08,,
139,12/13/2022 02:12:45,-10.00,,
140,12/13/2022 02:15:45,-9.70,,
141,12/13/2022 02:18:45,-9.66,,
142,12/13/2022 02:21:45,-9.96,,
143,12/13/2022 02:24:45,-9.61,,
144,12/13/2022 02:27:45,-9.61,,
145,12/13/2022 02:30:45,-9.61,,
146,12/13/2022 02:33:45,-9.70,,
147,12/13/2022 02:36:45,-9.83,,
