#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/12/2022 20:14:38,-6.22,,
2,12/12/2022 20:17:38,-6.35,,
3,12/12/2022 20:20:38,-6.39,,
4,12/12/2022 20:23:38,-6.14,,
5,12/12/2022 20:26:38,-6.27,,
6,12/12/2022 20:29:38,-6.35,,
7,12/12/2022 20:32:38,-6.48,,
8,12/12/2022 20:35:38,-6.52,,
9,12/12/2022 20:38:38,-6.61,,
10,12/12/2022 20:41:38,-6.57,,
11,12/12/2022 20:44:38,-6.52,,
12,12/12/2022 20:47:38,-6.44,,
13,12/12/2022 20:50:38,-6.44,,
14,12/12/2022 20:53:38,-6.48,,
15,12/12/2022 20:56:38,-6.44,,
16,12/12/2022 20:59:38,-6.39,,
17,12/12/2022 21:02:38,-6.52,,
18,12/12/2022 21:05:38,-6.61,,
19,12/12/2022 21:08:38,-6.65,,
20,12/12/2022 21:11:38,-6.65,,
21,12/12/2022 21:14:38,-6.57,,
22,12/12/2022 21:17:38,-6.57,,
23,12/12/2022 21:20:38,-6.65,,
24,12/12/2022 21:23:38,-6.70,,
25,12/12/2022 21:26:38,-6.44,,
26,12/12/2022 21:29:38,-6.52,,
27,12/12/2022 21:32:38,-6.61,,
28,12/12/2022 21:35:38,-6.74,,
29,12/12/2022 21:38:38,-6.78,,
30,12/12/2022 21:41:38,-6.95,,
31,12/12/2022 21:44:38,-6.91,,
32,12/12/2022 21:47:38,-7.00,,
33,12/12/2022 21:50:38,-7.17,,
34,12/12/2022 21:53:38,-7.12,,
35,12/12/2022 21:56:38,-7.21,,
36,12/12/2022 21:59:38,-7.25,,
37,12/12/2022 22:02:38,-7.21,,
38,12/12/2022 22:05:38,-7.00,,
39,12/12/2022 22:08:38,-6.95,,
40,12/12/2022 22:11:38,-7.00,,
41,12/12/2022 22:14:38,-6.61,,
42,12/12/2022 22:17:38,-6.91,,
43,12/12/2022 22:20:38,-7.25,,
44,12/12/2022 22:23:38,-7.64,,
45,12/12/2022 22:26:38,-7.85,,
46,12/12/2022 22:29:38,-7.68,,
47,12/12/2022 22:32:38,-7.47,,
