#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/12/2022 20:29:21,-6.35,,
2,12/12/2022 20:32:21,-6.31,,
3,12/12/2022 20:35:21,-6.35,,
4,12/12/2022 20:38:21,-6.31,,
5,12/12/2022 20:41:21,-6.35,,
6,12/12/2022 20:44:21,-6.35,,
7,12/12/2022 20:47:21,-6.44,,
8,12/12/2022 20:50:21,-6.52,,
9,12/12/2022 20:53:21,-6.57,,
10,12/12/2022 20:56:21,-6.57,,
11,12/12/2022 20:59:21,-6.65,,
12,12/12/2022 21:02:21,-6.65,,
13,12/12/2022 21:05:21,-6.74,,
14,12/12/2022 21:08:21,-6.82,,
15,12/12/2022 21:11:21,-6.87,,
16,12/12/2022 21:14:21,-6.82,,
17,12/12/2022 21:17:21,-6.78,,
18,12/12/2022 21:20:21,-6.95,,
19,12/12/2022 21:23:21,-7.12,,
20,12/12/2022 21:26:21,-7.04,,
21,12/12/2022 21:29:21,-6.95,,
22,12/12/2022 21:32:21,-7.08,,
23,12/12/2022 21:35:21,-6.91,,
24,12/12/2022 21:38:21,-6.95,,
25,12/12/2022 21:41:21,-7.25,,
26,12/12/2022 21:44:21,-7.34,,
27,12/12/2022 21:47:21,-7.17,,
28,12/12/2022 21:50:21,-7.34,,
29,12/12/2022 21:53:21,-7.42,,
30,12/12/2022 21:56:21,-7.34,,
31,12/12/2022 21:59:21,-7.64,,
32,12/12/2022 22:02:21,-7.72,,
33,12/12/2022 22:05:21,-7.72,,
34,12/12/2022 22:08:21,-7.72,,
35,12/12/2022 22:11:21,-7.77,,
36,12/12/2022 22:14:21,-7.47,,
37,12/12/2022 22:17:21,-7.60,,
38,12/12/2022 22:20:21,-7.90,,
39,12/12/2022 22:23:21,-7.77,,
40,12/12/2022 22:26:21,-7.94,,
41,12/12/2022 22:29:21,-8.07,,
42,12/12/2022 22:32:21,-7.94,,
43,12/12/2022 22:35:21,-7.90,,
44,12/12/2022 22:38:21,-7.94,,
45,12/12/2022 22:41:21,-8.07,,
46,12/12/2022 22:44:21,-7.98,,
47,12/12/2022 22:47:21,-7.60,,
48,12/12/2022 22:50:21,-7.47,,
49,12/12/2022 22:53:21,-7.51,,
50,12/12/2022 22:56:21,-7.55,,
51,12/12/2022 22:59:21,-7.94,,
52,12/12/2022 23:02:21,-7.90,,
53,12/12/2022 23:05:21,-7.34,,
54,12/12/2022 23:08:21,-6.95,,
55,12/12/2022 23:11:21,-6.91,,
56,12/12/2022 23:14:21,-6.70,,
57,12/12/2022 23:17:21,-6.91,,
58,12/12/2022 23:20:21,-7.38,,
59,12/12/2022 23:23:21,-7.72,,
60,12/12/2022 23:26:21,-7.68,,
61,12/12/2022 23:29:21,-8.11,,
62,12/12/2022 23:32:21,-7.85,,
63,12/12/2022 23:35:21,-8.11,,
64,12/12/2022 23:38:21,-7.98,,
65,12/12/2022 23:41:21,-7.72,,
66,12/12/2022 23:44:21,-7.72,,
67,12/12/2022 23:47:21,-7.85,,
68,12/12/2022 23:50:21,-7.94,,
69,12/12/2022 23:53:21,-7.85,,
70,12/12/2022 23:56:21,-7.85,,
71,12/12/2022 23:59:21,-7.85,,
72,12/13/2022 00:02:21,-7.85,,
73,12/13/2022 00:05:21,-7.94,,
74,12/13/2022 00:08:21,-7.94,,
75,12/13/2022 00:11:21,-7.94,,
76,12/13/2022 00:14:21,-7.98,,
77,12/13/2022 00:17:21,-8.07,,
78,12/13/2022 00:20:21,-8.03,,
79,12/13/2022 00:23:21,-8.11,,
80,12/13/2022 00:26:21,-8.11,,
81,12/13/2022 00:29:21,-7.98,,
82,12/13/2022 00:32:21,-8.03,,
83,12/13/2022 00:35:21,-8.07,,
84,12/13/2022 00:38:21,-7.98,,
85,12/13/2022 00:41:21,-7.90,,
86,12/13/2022 00:44:21,-7.98,,
87,12/13/2022 00:47:21,-7.94,,
88,12/13/2022 00:50:21,-7.94,,
89,12/13/2022 00:53:21,-7.94,,
90,12/13/2022 00:56:21,-7.98,,
91,12/13/2022 00:59:21,-7.90,,
92,12/13/2022 01:02:21,-7.94,,
93,12/13/2022 01:05:21,-8.03,,
94,12/13/2022 01:08:21,-8.07,,
95,12/13/2022 01:11:21,-8.07,,
96,12/13/2022 01:14:21,-8.07,,
97,12/13/2022 01:17:21,-8.11,,
98,12/13/2022 01:20:21,-8.11,,
99,12/13/2022 01:23:21,-8.20,,
100,12/13/2022 01:26:21,-8.20,,
101,12/13/2022 01:29:21,-8.24,,
