#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/12/2022 20:52:09,-6.70,,
2,12/12/2022 20:55:09,-6.65,,
3,12/12/2022 20:58:09,-6.74,,
4,12/12/2022 21:01:09,-6.74,,
5,12/12/2022 21:04:09,-6.74,,
6,12/12/2022 21:07:09,-6.87,,
7,12/12/2022 21:10:09,-6.61,,
8,12/12/2022 21:13:09,-6.57,,
9,12/12/2022 21:16:09,-6.78,,
10,12/12/2022 21:19:09,-6.74,,
11,12/12/2022 21:22:09,-6.65,,
12,12/12/2022 21:25:09,-6.87,,
13,12/12/2022 21:28:09,-7.21,,
14,12/12/2022 21:31:09,-7.08,,
15,12/12/2022 21:34:09,-7.30,,
16,12/12/2022 21:37:09,-7.51,,
17,12/12/2022 21:40:09,-7.47,,
18,12/12/2022 21:43:09,-7.38,,
19,12/12/2022 21:46:09,-7.38,,
20,12/12/2022 21:49:09,-7.00,,
21,12/12/2022 21:52:09,-7.17,,
22,12/12/2022 21:55:09,-7.25,,
23,12/12/2022 21:58:09,-7.34,,
24,12/12/2022 22:01:09,-7.21,,
25,12/12/2022 22:04:09,-7.47,,
26,12/12/2022 22:07:09,-7.51,,
27,12/12/2022 22:10:09,-7.55,,
28,12/12/2022 22:13:09,-7.64,,
29,12/12/2022 22:16:09,-7.68,,
30,12/12/2022 22:19:09,-7.55,,
31,12/12/2022 22:22:09,-7.47,,
32,12/12/2022 22:25:09,-7.38,,
33,12/12/2022 22:28:09,-7.30,,
34,12/12/2022 22:31:09,-7.51,,
35,12/12/2022 22:34:09,-7.64,,
36,12/12/2022 22:37:09,-7.81,,
37,12/12/2022 22:40:09,-7.85,,
38,12/12/2022 22:43:09,-7.47,,
39,12/12/2022 22:46:09,-7.51,,
40,12/12/2022 22:49:09,-7.81,,
41,12/12/2022 22:52:09,-7.90,,
42,12/12/2022 22:55:09,-7.64,,
43,12/12/2022 22:58:09,-7.64,,
44,12/12/2022 23:01:09,-7.60,,
45,12/12/2022 23:04:09,-7.77,,
46,12/12/2022 23:07:09,-7.64,,
47,12/12/2022 23:10:09,-7.42,,
48,12/12/2022 23:13:09,-7.30,,
49,12/12/2022 23:16:09,-7.34,,
50,12/12/2022 23:19:09,-7.34,,
51,12/12/2022 23:22:09,-7.47,,
52,12/12/2022 23:25:09,-7.64,,
53,12/12/2022 23:28:09,-7.42,,
54,12/12/2022 23:31:09,-7.30,,
55,12/12/2022 23:34:09,-7.51,,
56,12/12/2022 23:37:09,-7.72,,
57,12/12/2022 23:40:09,-7.55,,
58,12/12/2022 23:43:09,-7.72,,
59,12/12/2022 23:46:09,-7.90,,
60,12/12/2022 23:49:09,-7.94,,
61,12/12/2022 23:52:09,-8.07,,
62,12/12/2022 23:55:09,-8.15,,
63,12/12/2022 23:58:09,-8.20,,
64,12/13/2022 00:01:09,-8.20,,
65,12/13/2022 00:04:09,-8.20,,
66,12/13/2022 00:07:09,-8.20,,
67,12/13/2022 00:10:09,-8.20,,
68,12/13/2022 00:13:09,-8.07,,
69,12/13/2022 00:16:09,-8.07,,
70,12/13/2022 00:19:09,-7.85,,
71,12/13/2022 00:22:09,-7.94,,
72,12/13/2022 00:25:09,-8.07,,
73,12/13/2022 00:28:09,-8.11,,
74,12/13/2022 00:31:09,-8.11,,
75,12/13/2022 00:34:09,-8.11,,
76,12/13/2022 00:37:09,-8.03,,
77,12/13/2022 00:40:09,-8.03,,
78,12/13/2022 00:43:09,-7.98,,
79,12/13/2022 00:46:09,-8.11,,
80,12/13/2022 00:49:09,-8.28,,
81,12/13/2022 00:52:09,-8.28,,
82,12/13/2022 00:55:09,-8.33,,
83,12/13/2022 00:58:09,-8.28,,
84,12/13/2022 01:01:09,-8.28,,
85,12/13/2022 01:04:09,-8.33,,
86,12/13/2022 01:07:09,-8.33,,
87,12/13/2022 01:10:09,-8.33,,
88,12/13/2022 01:13:09,-8.37,,
89,12/13/2022 01:16:09,-8.37,,
90,12/13/2022 01:19:09,-8.37,,
91,12/13/2022 01:22:09,-8.41,,
92,12/13/2022 01:25:09,-8.28,,
93,12/13/2022 01:28:09,-8.33,,
94,12/13/2022 01:31:09,-8.50,,
95,12/13/2022 01:34:09,-8.50,,
96,12/13/2022 01:37:09,-8.58,,
97,12/13/2022 01:40:09,-8.54,,
98,12/13/2022 01:43:09,-8.45,,
99,12/13/2022 01:46:09,-8.45,,
100,12/13/2022 01:49:09,-8.45,,
101,12/13/2022 01:52:09,-8.50,,
102,12/13/2022 01:55:09,-8.50,,
103,12/13/2022 01:58:09,-8.58,,
104,12/13/2022 02:01:09,-8.63,,
105,12/13/2022 02:04:09,-8.71,,
106,12/13/2022 02:07:09,-8.63,,
107,12/13/2022 02:10:09,-8.58,,
108,12/13/2022 02:13:09,-8.58,,
109,12/13/2022 02:16:09,-8.63,,
110,12/13/2022 02:19:09,-8.84,,
111,12/13/2022 02:22:09,-9.31,,
112,12/13/2022 02:25:09,-9.78,,
113,12/13/2022 02:28:09,-10.34,,
114,12/13/2022 02:31:09,-10.51,,
115,12/13/2022 02:34:09,-10.56,,
116,12/13/2022 02:37:09,-10.60,,
117,12/13/2022 02:40:09,-10.60,,
118,12/13/2022 02:43:09,-10.77,,
119,12/13/2022 02:46:09,-10.81,,
120,12/13/2022 02:49:09,-10.90,,
121,12/13/2022 02:52:09,-10.99,,
122,12/13/2022 02:55:09,-11.16,,
123,12/13/2022 02:58:09,-11.20,,
124,12/13/2022 03:01:09,-11.16,,
125,12/13/2022 03:04:09,-11.24,,
126,12/13/2022 03:07:09,-11.24,,
127,12/13/2022 03:10:09,-10.90,,
128,12/13/2022 03:13:09,-10.99,,
129,12/13/2022 03:16:09,-11.59,,
130,12/13/2022 03:19:09,-12.06,,
131,12/13/2022 03:22:09,-11.80,,
132,12/13/2022 03:25:09,-11.63,,
133,12/13/2022 03:28:09,-11.67,,
134,12/13/2022 03:31:09,-11.71,,
135,12/13/2022 03:34:09,-11.71,,
136,12/13/2022 03:37:09,-11.84,,
137,12/13/2022 03:40:09,-12.27,,
138,12/13/2022 03:43:09,-12.83,,
139,12/13/2022 03:46:09,-13.09,,
140,12/13/2022 03:49:09,-13.17,,
141,12/13/2022 03:52:09,-13.34,,
142,12/13/2022 03:55:09,-13.65,,
143,12/13/2022 03:58:09,-13.82,,
144,12/13/2022 04:01:09,-13.09,,
145,12/13/2022 04:04:09,-13.56,,
146,12/13/2022 04:07:09,-13.60,,
147,12/13/2022 04:10:09,-13.65,,
148,12/13/2022 04:13:09,-13.90,,
149,12/13/2022 04:16:09,-13.43,,
