#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/12/2022 16:36:17,-1.38,,
2,12/12/2022 16:39:17,-1.38,,
3,12/12/2022 16:42:17,-1.42,,
4,12/12/2022 16:45:17,-1.68,,
5,12/12/2022 16:48:17,-1.85,,
6,12/12/2022 16:51:17,-2.41,,
7,12/12/2022 16:54:17,-3.52,,
8,12/12/2022 16:57:17,-4.08,,
9,12/12/2022 17:00:17,-4.55,,
10,12/12/2022 17:03:17,-4.76,,
11,12/12/2022 17:06:17,-4.89,,
12,12/12/2022 17:09:17,-4.85,,
13,12/12/2022 17:12:17,-4.81,,
14,12/12/2022 17:15:17,-4.94,,
15,12/12/2022 17:18:17,-4.94,,
16,12/12/2022 17:21:17,-5.11,,
17,12/12/2022 17:24:17,-5.07,,
18,12/12/2022 17:27:17,-5.11,,
19,12/12/2022 17:30:17,-5.28,,
20,12/12/2022 17:33:17,-5.37,,
21,12/12/2022 17:36:17,-5.32,,
22,12/12/2022 17:39:17,-5.28,,
23,12/12/2022 17:42:17,-5.24,,
24,12/12/2022 17:45:17,-5.24,,
25,12/12/2022 17:48:17,-5.28,,
26,12/12/2022 17:51:17,-5.24,,
27,12/12/2022 17:54:17,-5.24,,
28,12/12/2022 17:57:17,-5.19,,
29,12/12/2022 18:00:17,-5.11,,
30,12/12/2022 18:03:17,-5.07,,
31,12/12/2022 18:06:17,-5.28,,
32,12/12/2022 18:09:17,-5.41,,
33,12/12/2022 18:12:17,-5.54,,
34,12/12/2022 18:15:17,-5.62,,
35,12/12/2022 18:18:17,-5.62,,
36,12/12/2022 18:21:17,-5.71,,
37,12/12/2022 18:24:17,-5.79,,
38,12/12/2022 18:27:17,-5.75,,
39,12/12/2022 18:30:17,-5.79,,
40,12/12/2022 18:33:17,-5.84,,
41,12/12/2022 18:36:17,-5.84,,
42,12/12/2022 18:39:17,-5.88,,
43,12/12/2022 18:42:17,-5.92,,
44,12/12/2022 18:45:17,-5.97,,
45,12/12/2022 18:48:17,-5.97,,
46,12/12/2022 18:51:17,-5.97,,
47,12/12/2022 18:54:17,-6.01,,
48,12/12/2022 18:57:17,-5.97,,
49,12/12/2022 19:00:17,-5.92,,
50,12/12/2022 19:03:17,-5.92,,
51,12/12/2022 19:06:17,-5.88,,
52,12/12/2022 19:09:17,-5.84,,
53,12/12/2022 19:12:17,-5.84,,
54,12/12/2022 19:15:17,-5.88,,
55,12/12/2022 19:18:17,-5.88,,
56,12/12/2022 19:21:17,-5.88,,
57,12/12/2022 19:24:17,-5.97,,
58,12/12/2022 19:27:17,-5.97,,
59,12/12/2022 19:30:17,-6.09,,
60,12/12/2022 19:33:17,-6.18,,
61,12/12/2022 19:36:17,-6.22,,
62,12/12/2022 19:39:17,-6.22,,
63,12/12/2022 19:42:17,-6.27,,
64,12/12/2022 19:45:17,-6.27,,
65,12/12/2022 19:48:17,-6.31,,
66,12/12/2022 19:51:17,-6.31,,
67,12/12/2022 19:54:17,-6.22,,
68,12/12/2022 19:57:17,-6.09,,
69,12/12/2022 20:00:17,-6.05,,
70,12/12/2022 20:03:17,-6.01,,
71,12/12/2022 20:06:17,-5.92,,
72,12/12/2022 20:09:17,-5.88,,
73,12/12/2022 20:12:17,-5.84,,
74,12/12/2022 20:15:17,-5.79,,
75,12/12/2022 20:18:17,-5.79,,
76,12/12/2022 20:21:17,-5.88,,
77,12/12/2022 20:24:17,-6.01,,
78,12/12/2022 20:27:17,-6.05,,
79,12/12/2022 20:30:17,-6.05,,
80,12/12/2022 20:33:17,-6.18,,
81,12/12/2022 20:36:17,-6.18,,
82,12/12/2022 20:39:17,-6.22,,
83,12/12/2022 20:42:17,-6.27,,
84,12/12/2022 20:45:17,-6.35,,
85,12/12/2022 20:48:17,-6.44,,
86,12/12/2022 20:51:17,-6.44,,
87,12/12/2022 20:54:17,-6.52,,
88,12/12/2022 20:57:17,-6.61,,
89,12/12/2022 21:00:17,-6.70,,
90,12/12/2022 21:03:17,-6.78,,
91,12/12/2022 21:06:17,-6.70,,
92,12/12/2022 21:09:17,-6.78,,
93,12/12/2022 21:12:17,-6.82,,
94,12/12/2022 21:15:17,-6.87,,
95,12/12/2022 21:18:17,-6.82,,
96,12/12/2022 21:21:17,-6.78,,
97,12/12/2022 21:24:17,-6.82,,
