#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/10/2022 00:35:01,-15.62,,
2,12/10/2022 00:38:01,-15.75,,
3,12/10/2022 00:41:01,-15.58,,
4,12/10/2022 00:44:01,-15.96,,
5,12/10/2022 00:47:01,-15.92,,
6,12/10/2022 00:50:01,-15.45,,
7,12/10/2022 00:53:01,-15.32,,
8,12/10/2022 00:56:01,-15.15,,
9,12/10/2022 00:59:01,-15.45,,
10,12/10/2022 01:02:01,-14.98,,
11,12/10/2022 01:05:01,-15.10,,
12,12/10/2022 01:08:01,-16.00,,
13,12/10/2022 01:11:01,-15.70,,
14,12/10/2022 01:14:01,-16.39,,
15,12/10/2022 01:17:01,-17.33,,
16,12/10/2022 01:20:01,-17.85,,
17,12/10/2022 01:23:01,-17.68,,
18,12/10/2022 01:26:01,-17.38,,
19,12/10/2022 01:29:01,-16.91,,
20,12/10/2022 01:32:01,-16.73,,
21,12/10/2022 01:35:01,-17.25,,
22,12/10/2022 01:38:01,-17.63,,
23,12/10/2022 01:41:01,-17.46,,
24,12/10/2022 01:44:01,-17.46,,
25,12/10/2022 01:47:01,-17.72,,
26,12/10/2022 01:50:01,-17.55,,
27,12/10/2022 01:53:01,-16.95,,
28,12/10/2022 01:56:01,-17.29,,
29,12/10/2022 01:59:01,-17.42,,
30,12/10/2022 02:02:01,-17.68,,
31,12/10/2022 02:05:01,-17.81,,
32,12/10/2022 02:08:01,-17.81,,
33,12/10/2022 02:11:01,-17.42,,
34,12/10/2022 02:14:01,-17.03,,
35,12/10/2022 02:17:01,-16.95,,
36,12/10/2022 02:20:01,-17.25,,
37,12/10/2022 02:23:01,-17.46,,
38,12/10/2022 02:26:01,-17.55,,
39,12/10/2022 02:29:01,-17.38,,
40,12/10/2022 02:32:01,-17.63,,
41,12/10/2022 02:35:01,-17.46,,
42,12/10/2022 02:38:01,-17.68,,
43,12/10/2022 02:41:01,-17.81,,
44,12/10/2022 02:44:01,-17.68,,
45,12/10/2022 02:47:01,-17.55,,
46,12/10/2022 02:50:01,-17.46,,
47,12/10/2022 02:53:01,-17.51,,
48,12/10/2022 02:56:01,-17.21,,
49,12/10/2022 02:59:01,-16.99,,
50,12/10/2022 03:02:01,-16.91,,
51,12/10/2022 03:05:01,-16.95,,
52,12/10/2022 03:08:01,-16.86,,
53,12/10/2022 03:11:01,-16.69,,
54,12/10/2022 03:14:01,-16.61,,
55,12/10/2022 03:17:01,-16.91,,
56,12/10/2022 03:20:01,-17.25,,
57,12/10/2022 03:23:01,-17.59,,
58,12/10/2022 03:26:01,-17.25,,
59,12/10/2022 03:29:01,-16.86,,
60,12/10/2022 03:32:01,-16.65,,
61,12/10/2022 03:35:01,-16.61,,
62,12/10/2022 03:38:01,-16.61,,
63,12/10/2022 03:41:01,-16.78,,
64,12/10/2022 03:44:01,-16.91,,
65,12/10/2022 03:47:01,-16.99,,
66,12/10/2022 03:50:01,-17.16,,
67,12/10/2022 03:53:01,-16.82,,
