#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/14/2022 14:20:07,-2.53,,
2,12/14/2022 14:23:07,-1.80,,
3,12/14/2022 14:26:07,-2.79,,
4,12/14/2022 14:29:07,-3.05,,
5,12/14/2022 14:32:07,-2.10,,
6,12/14/2022 14:35:07,-2.15,,
7,12/14/2022 14:38:07,-1.63,,
8,12/14/2022 14:41:07,-2.10,,
9,12/14/2022 14:44:07,-2.75,,
10,12/14/2022 14:47:07,-2.36,,
11,12/14/2022 14:50:07,-1.89,,
12,12/14/2022 14:53:07,-2.15,,
13,12/14/2022 14:56:07,-3.13,,
14,12/14/2022 14:59:07,-3.09,,
15,12/14/2022 15:02:07,-2.66,,
16,12/14/2022 15:05:07,-2.66,,
17,12/14/2022 15:08:07,-2.49,,
18,12/14/2022 15:11:07,-2.92,,
19,12/14/2022 15:14:07,-3.39,,
20,12/14/2022 15:17:07,-3.52,,
21,12/14/2022 15:20:07,-3.52,,
22,12/14/2022 15:23:07,-3.86,,
23,12/14/2022 15:26:07,-3.61,,
24,12/14/2022 15:29:07,-3.91,,
25,12/14/2022 15:32:07,-3.56,,
26,12/14/2022 15:35:07,-3.65,,
27,12/14/2022 15:38:07,-3.78,,
28,12/14/2022 15:41:07,-3.78,,
29,12/14/2022 15:44:07,-4.16,,
30,12/14/2022 15:47:07,-4.42,,
31,12/14/2022 15:50:07,-4.72,,
32,12/14/2022 15:53:07,-4.59,,
33,12/14/2022 15:56:07,-4.76,,
34,12/14/2022 15:59:07,-5.02,,
35,12/14/2022 16:02:07,-5.15,,
36,12/14/2022 16:05:07,-5.15,,
37,12/14/2022 16:08:07,-5.19,,
38,12/14/2022 16:11:07,-5.45,,
39,12/14/2022 16:14:07,-5.45,,
40,12/14/2022 16:17:07,-5.54,,
41,12/14/2022 16:20:07,-5.79,,
42,12/14/2022 16:23:07,-6.01,,
43,12/14/2022 16:26:07,-6.09,,
44,12/14/2022 16:29:07,-6.27,,
45,12/14/2022 16:32:07,-6.57,,
46,12/14/2022 16:35:07,-6.70,,
47,12/14/2022 16:38:07,-6.82,,
48,12/14/2022 16:41:07,-7.00,,
49,12/14/2022 16:44:07,-7.17,,
50,12/14/2022 16:47:07,-7.38,,
51,12/14/2022 16:50:07,-7.47,,
52,12/14/2022 16:53:07,-7.55,,
53,12/14/2022 16:56:07,-7.47,,
54,12/14/2022 16:59:07,-7.77,,
55,12/14/2022 17:02:07,-7.98,,
56,12/14/2022 17:05:07,-8.15,,
57,12/14/2022 17:08:07,-8.33,,
58,12/14/2022 17:11:07,-8.41,,
59,12/14/2022 17:14:07,-8.54,,
60,12/14/2022 17:17:07,-8.80,,
61,12/14/2022 17:20:07,-8.97,,
62,12/14/2022 17:23:07,-8.88,,
63,12/14/2022 17:26:07,-9.05,,
64,12/14/2022 17:29:07,-9.36,,
65,12/14/2022 17:32:07,-9.61,,
66,12/14/2022 17:35:07,-9.74,,
67,12/14/2022 17:38:07,-9.96,,
68,12/14/2022 17:41:07,-10.08,,
69,12/14/2022 17:44:07,-9.74,,
70,12/14/2022 17:47:07,-9.78,,
71,12/14/2022 17:50:07,-9.87,,
72,12/14/2022 17:53:07,-9.78,,
73,12/14/2022 17:56:07,-9.91,,
74,12/14/2022 17:59:07,-10.08,,
75,12/14/2022 18:02:07,-10.08,,
76,12/14/2022 18:05:07,-10.38,,
77,12/14/2022 18:08:07,-10.56,,
78,12/14/2022 18:11:07,-10.13,,
79,12/14/2022 18:14:07,-10.17,,
80,12/14/2022 18:17:07,-10.47,,
81,12/14/2022 18:20:07,-10.38,,
82,12/14/2022 18:23:07,-10.04,,
83,12/14/2022 18:26:07,-10.04,,
84,12/14/2022 18:29:07,-10.51,,
85,12/14/2022 18:32:07,-10.99,,
86,12/14/2022 18:35:07,-11.67,,
87,12/14/2022 18:38:07,-11.67,,
88,12/14/2022 18:41:07,-11.84,,
89,12/14/2022 18:44:07,-11.84,,
90,12/14/2022 18:47:07,-12.06,,
91,12/14/2022 18:50:07,-12.06,,
92,12/14/2022 18:53:07,-11.89,,
93,12/14/2022 18:56:07,-12.57,,
94,12/14/2022 18:59:07,-13.22,,
95,12/14/2022 19:02:07,-12.70,,
96,12/14/2022 19:05:07,-11.63,,
97,12/14/2022 19:08:07,-12.27,,
98,12/14/2022 19:11:07,-12.96,,
99,12/14/2022 19:14:07,-12.36,,
100,12/14/2022 19:17:07,-11.67,,
101,12/14/2022 19:20:07,-11.59,,
102,12/14/2022 19:23:07,-11.71,,
103,12/14/2022 19:26:07,-12.44,,
104,12/14/2022 19:29:07,-13.09,,
105,12/14/2022 19:32:07,-13.47,,
106,12/14/2022 19:35:07,-13.69,,
107,12/14/2022 19:38:07,-13.30,,
108,12/14/2022 19:41:07,-13.30,,
109,12/14/2022 19:44:07,-13.09,,
110,12/14/2022 19:47:07,-13.13,,
111,12/14/2022 19:50:07,-13.30,,
112,12/14/2022 19:53:07,-13.65,,
113,12/14/2022 19:56:07,-13.77,,
114,12/14/2022 19:59:07,-13.90,,
115,12/14/2022 20:02:07,-14.07,,
116,12/14/2022 20:05:07,-14.20,,
117,12/14/2022 20:08:07,-14.42,,
118,12/14/2022 20:11:07,-14.55,,
119,12/14/2022 20:14:07,-13.99,,
120,12/14/2022 20:17:07,-14.42,,
121,12/14/2022 20:20:07,-14.12,,
122,12/14/2022 20:23:07,-13.86,,
123,12/14/2022 20:26:07,-14.16,,
124,12/14/2022 20:29:07,-14.42,,
125,12/14/2022 20:32:07,-14.42,,
126,12/14/2022 20:35:07,-14.50,,
127,12/14/2022 20:38:07,-14.85,,
128,12/14/2022 20:41:07,-14.59,,
129,12/14/2022 20:44:07,-14.76,,
130,12/14/2022 20:47:07,-14.93,,
131,12/14/2022 20:50:07,-14.67,,
132,12/14/2022 20:53:07,-14.67,,
133,12/14/2022 20:56:07,-14.63,,
134,12/14/2022 20:59:07,-14.59,,
135,12/14/2022 21:02:07,-14.67,,
136,12/14/2022 21:05:07,-15.10,,
137,12/14/2022 21:08:07,-15.28,,
138,12/14/2022 21:11:07,-15.49,,
139,12/14/2022 21:14:07,-15.53,,
140,12/14/2022 21:17:07,-15.40,,
141,12/14/2022 21:20:07,-15.06,,
142,12/14/2022 21:23:07,-14.76,,
143,12/14/2022 21:26:07,-14.76,,
144,12/14/2022 21:29:07,-14.93,,
145,12/14/2022 21:32:07,-15.19,,
146,12/14/2022 21:35:07,-15.23,,
147,12/14/2022 21:38:07,-15.45,,
148,12/14/2022 21:41:07,-15.40,,
149,12/14/2022 21:44:07,-15.53,,
150,12/14/2022 21:47:07,-15.83,,
151,12/14/2022 21:50:07,-15.45,,
152,12/14/2022 21:53:07,-14.76,,
153,12/14/2022 21:56:07,-15.66,,
154,12/14/2022 21:59:07,-15.75,,
155,12/14/2022 22:02:07,-16.00,,
156,12/14/2022 22:05:07,-16.26,,
157,12/14/2022 22:08:07,-16.56,,
158,12/14/2022 22:11:07,-16.73,,
159,12/14/2022 22:14:07,-16.86,,
160,12/14/2022 22:17:07,-16.86,,
161,12/14/2022 22:20:07,-17.21,,
162,12/14/2022 22:23:07,-17.21,,
163,12/14/2022 22:26:07,-17.25,,
164,12/14/2022 22:29:07,-16.82,,
165,12/14/2022 22:32:07,-16.91,,
166,12/14/2022 22:35:07,-17.08,,
167,12/14/2022 22:38:07,-17.38,,
168,12/14/2022 22:41:07,-17.46,,
169,12/14/2022 22:44:07,-17.63,,
170,12/14/2022 22:47:07,-17.51,,
171,12/14/2022 22:50:07,-17.42,,
172,12/14/2022 22:53:07,-17.42,,
173,12/14/2022 22:56:07,-17.59,,
174,12/14/2022 22:59:07,-17.68,,
175,12/14/2022 23:02:07,-17.94,,
176,12/14/2022 23:05:07,-18.02,,
177,12/14/2022 23:08:07,-17.98,,
178,12/14/2022 23:11:07,-18.15,,
179,12/14/2022 23:14:07,-18.28,,
180,12/14/2022 23:17:07,-18.24,,
181,12/14/2022 23:20:07,-18.32,,
182,12/14/2022 23:23:07,-18.11,,
183,12/14/2022 23:26:07,-18.19,,
184,12/14/2022 23:29:07,-18.45,,
185,12/14/2022 23:32:07,-18.75,,
186,12/14/2022 23:35:07,-18.58,,
187,12/14/2022 23:38:07,-18.58,,
188,12/14/2022 23:41:07,-18.79,,
189,12/14/2022 23:44:07,-18.79,,
190,12/14/2022 23:47:07,-18.79,,
191,12/14/2022 23:50:07,-18.66,,
192,12/14/2022 23:53:07,-18.62,,
193,12/14/2022 23:56:07,-18.79,,
194,12/14/2022 23:59:07,-19.05,,
195,12/15/2022 00:02:07,-19.22,,
196,12/15/2022 00:05:07,-19.05,,
197,12/15/2022 00:08:07,-19.31,,
198,12/15/2022 00:11:07,-19.44,,
199,12/15/2022 00:14:07,-19.61,,
200,12/15/2022 00:17:07,-19.65,,
201,12/15/2022 00:20:07,-19.74,,
202,12/15/2022 00:23:07,-19.91,,
203,12/15/2022 00:26:07,-20.17,,
204,12/15/2022 00:29:07,-20.29,,
205,12/15/2022 00:32:07,-19.91,,
206,12/15/2022 00:35:07,-20.12,,
207,12/15/2022 00:38:07,-20.38,,
208,12/15/2022 00:41:07,-20.64,,
209,12/15/2022 00:44:07,-20.47,,
210,12/15/2022 00:47:07,-20.12,,
211,12/15/2022 00:50:07,-20.21,,
212,12/15/2022 00:53:07,-19.91,,
213,12/15/2022 00:56:07,-19.82,,
214,12/15/2022 00:59:07,-19.99,,
215,12/15/2022 01:02:07,-19.57,,
216,12/15/2022 01:05:07,-19.18,,
217,12/15/2022 01:08:07,-19.31,,
218,12/15/2022 01:11:07,-19.95,,
219,12/15/2022 01:14:07,-19.69,,
220,12/15/2022 01:17:07,-18.92,,
221,12/15/2022 01:20:07,-19.14,,
222,12/15/2022 01:23:07,-19.82,,
223,12/15/2022 01:26:07,-19.69,,
224,12/15/2022 01:29:07,-20.59,,
225,12/15/2022 01:32:07,-21.07,,
226,12/15/2022 01:35:07,-20.90,,
227,12/15/2022 01:38:07,-20.72,,
228,12/15/2022 01:41:07,-20.77,,
229,12/15/2022 01:44:07,-20.90,,
230,12/15/2022 01:47:07,-21.02,,
231,12/15/2022 01:50:07,-20.77,,
232,12/15/2022 01:53:07,-20.38,,
