#,Date-Time (MST),Ch: 1 - Temperature   (°C ),Host Connected,End of File
1,12/13/2022 22:39:54,-8.88,,
2,12/13/2022 22:42:54,-8.80,,
3,12/13/2022 22:45:54,-8.93,,
4,12/13/2022 22:48:54,-8.97,,
5,12/13/2022 22:51:54,-8.67,,
6,12/13/2022 22:54:54,-8.71,,
7,12/13/2022 22:57:54,-8.88,,
8,12/13/2022 23:00:54,-8.71,,
9,12/13/2022 23:03:54,-8.80,,
10,12/13/2022 23:06:54,-8.88,,
11,12/13/2022 23:09:54,-8.84,,
12,12/13/2022 23:12:54,-8.84,,
13,12/13/2022 23:15:54,-8.88,,
14,12/13/2022 23:18:54,-8.84,,
15,12/13/2022 23:21:54,-8.88,,
16,12/13/2022 23:24:54,-9.14,,
17,12/13/2022 23:27:54,-8.84,,
18,12/13/2022 23:30:54,-8.63,,
19,12/13/2022 23:33:54,-8.67,,
20,12/13/2022 23:36:54,-8.58,,
21,12/13/2022 23:39:54,-8.67,,
22,12/13/2022 23:42:54,-8.75,,
23,12/13/2022 23:45:54,-8.71,,
24,12/13/2022 23:48:54,-8.84,,
25,12/13/2022 23:51:54,-8.71,,
26,12/13/2022 23:54:54,-8.75,,
27,12/13/2022 23:57:54,-8.58,,
28,12/14/2022 00:00:54,-8.63,,
29,12/14/2022 00:03:54,-8.63,,
30,12/14/2022 00:06:54,-8.54,,
31,12/14/2022 00:09:54,-8.50,,
32,12/14/2022 00:12:54,-8.58,,
33,12/14/2022 00:15:54,-8.41,,
34,12/14/2022 00:18:54,-8.54,,
35,12/14/2022 00:21:54,-8.50,,
36,12/14/2022 00:24:54,-8.50,,
37,12/14/2022 00:27:54,-8.54,,
38,12/14/2022 00:30:54,-8.54,,
39,12/14/2022 00:33:54,-8.54,,
40,12/14/2022 00:36:54,-8.54,,
41,12/14/2022 00:39:54,-8.54,,
42,12/14/2022 00:42:54,-8.63,,
43,12/14/2022 00:45:54,-8.67,,
44,12/14/2022 00:48:54,-8.63,,
45,12/14/2022 00:51:54,-8.71,,
46,12/14/2022 00:54:54,-8.67,,
47,12/14/2022 00:57:54,-8.67,,
48,12/14/2022 01:00:54,-8.67,,
49,12/14/2022 01:03:54,-8.63,,
50,12/14/2022 01:06:54,-8.67,,
51,12/14/2022 01:09:54,-8.67,,
52,12/14/2022 01:12:54,-8.71,,
53,12/14/2022 01:15:54,-8.71,,
54,12/14/2022 01:18:54,-8.80,,
55,12/14/2022 01:21:54,-8.71,,
56,12/14/2022 01:24:54,-8.41,,
57,12/14/2022 01:27:54,-8.54,,
58,12/14/2022 01:30:54,-8.58,,
59,12/14/2022 01:33:54,-8.50,,
60,12/14/2022 01:36:54,-8.58,,
61,12/14/2022 01:39:54,-8.63,,
62,12/14/2022 01:42:54,-8.71,,
63,12/14/2022 01:45:54,-8.63,,
64,12/14/2022 01:48:54,-8.71,,
65,12/14/2022 01:51:54,-8.80,,
66,12/14/2022 01:54:54,-8.80,,
67,12/14/2022 01:57:54,-8.97,,
68,12/14/2022 02:00:54,-9.05,,
69,12/14/2022 02:03:54,-8.97,,
70,12/14/2022 02:06:54,-8.93,,
71,12/14/2022 02:09:54,-8.93,,
72,12/14/2022 02:12:54,-8.93,,
73,12/14/2022 02:15:54,-8.97,,
74,12/14/2022 02:18:54,-8.93,,
75,12/14/2022 02:21:54,-8.97,,
76,12/14/2022 02:24:54,-9.14,,
77,12/14/2022 02:27:54,-9.31,,
78,12/14/2022 02:30:54,-9.27,,
79,12/14/2022 02:33:54,-9.40,,
80,12/14/2022 02:36:54,-9.31,,
81,12/14/2022 02:39:54,-9.44,,
82,12/14/2022 02:42:54,-9.48,,
83,12/14/2022 02:45:54,-9.44,,
84,12/14/2022 02:48:54,-9.61,,
85,12/14/2022 02:51:54,-9.10,,
86,12/14/2022 02:54:54,-9.40,,
87,12/14/2022 02:57:54,-9.53,,
88,12/14/2022 03:00:54,-9.44,,
89,12/14/2022 03:03:54,-9.53,,
90,12/14/2022 03:06:54,-9.70,,
91,12/14/2022 03:09:54,-9.78,,
92,12/14/2022 03:12:54,-9.61,,
