#,Date-Time (MST/MDT),Ch:1 - Temperature   (°C),Host Connected,End of File
1,03/01/2023 14:49:21,-1.72,,
2,03/01/2023 14:52:21,-1.89,,
3,03/01/2023 14:55:21,-1.33,,
4,03/01/2023 14:58:21,-1.63,,
5,03/01/2023 15:01:21,-1.76,,
6,03/01/2023 15:04:21,-1.98,,
7,03/01/2023 15:07:21,-1.93,,
8,03/01/2023 15:10:21,-1.25,,
9,03/01/2023 15:13:21,-0.17,,
10,03/01/2023 15:16:21,0.25,,
11,03/01/2023 15:19:21,-0.52,,
12,03/01/2023 15:22:21,-0.90,,
13,03/01/2023 15:25:21,-0.13,,
14,03/01/2023 15:28:21,0.08,,
15,03/01/2023 15:31:21,-0.43,,
16,03/01/2023 15:34:21,-1.85,,
17,03/01/2023 15:37:21,-2.28,,
18,03/01/2023 15:40:21,-1.85,,
19,03/01/2023 15:43:21,-1.63,,
20,03/01/2023 15:46:21,-1.55,,
21,03/01/2023 15:49:21,-1.33,,
22,03/01/2023 15:52:21,-1.12,,
23,03/01/2023 15:55:21,-1.38,,
24,03/01/2023 15:58:21,-1.55,,
25,03/01/2023 16:01:21,-1.42,,
26,03/01/2023 16:04:21,-1.63,,
27,03/01/2023 16:07:21,-1.68,,
28,03/01/2023 16:10:21,-1.68,,
29,03/01/2023 16:13:21,-2.49,,
30,03/01/2023 16:16:21,-2.49,,
31,03/01/2023 16:19:21,-2.49,,
32,03/01/2023 16:22:21,-2.79,,
33,03/01/2023 16:25:21,-3.52,,
34,03/01/2023 16:28:21,-3.65,,
35,03/01/2023 16:31:21,-3.43,,
36,03/01/2023 16:34:21,-3.26,,
37,03/01/2023 16:37:21,-3.48,,
38,03/01/2023 16:40:21,-3.43,,
39,03/01/2023 16:43:21,-3.35,,
40,03/01/2023 16:46:21,-3.99,,
41,03/01/2023 16:49:21,-3.69,,
42,03/01/2023 16:52:21,-4.12,,
43,03/01/2023 16:55:21,-4.04,,
44,03/01/2023 16:58:21,-4.42,,
45,03/01/2023 17:01:21,-4.51,,
46,03/01/2023 17:04:21,-4.51,,
47,03/01/2023 17:07:21,-4.42,,
48,03/01/2023 17:10:21,-4.42,,
49,03/01/2023 17:13:21,-4.55,,
50,03/01/2023 17:16:21,-4.68,,
51,03/01/2023 17:19:21,-5.28,,
52,03/01/2023 17:22:21,-5.49,,
53,03/01/2023 17:25:21,-5.37,,
54,03/01/2023 17:28:21,-5.32,,
55,03/01/2023 17:31:21,-5.19,,
56,03/01/2023 17:34:21,-5.62,,
57,03/01/2023 17:37:21,-5.71,,
58,03/01/2023 17:40:21,-5.97,,
59,03/01/2023 17:43:21,-5.92,,
60,03/01/2023 17:46:21,-5.84,,
61,03/01/2023 17:49:21,-6.22,,
62,03/01/2023 17:52:21,-6.48,,
63,03/01/2023 17:55:21,-6.57,,
64,03/01/2023 17:58:21,-6.61,,
65,03/01/2023 18:01:21,-6.57,,
66,03/01/2023 18:04:21,-6.52,,
67,03/01/2023 18:07:21,-6.52,,
68,03/01/2023 18:10:21,-6.48,,
69,03/01/2023 18:13:21,-6.39,,
70,03/01/2023 18:16:21,-6.22,,
71,03/01/2023 18:19:21,-6.05,,
72,03/01/2023 18:22:21,-6.09,,
73,03/01/2023 18:25:21,-6.01,,
74,03/01/2023 18:28:21,-6.01,,
75,03/01/2023 18:31:21,-6.05,,
76,03/01/2023 18:34:21,-6.09,,
77,03/01/2023 18:37:21,-6.14,,
78,03/01/2023 18:40:21,-6.09,,
79,03/01/2023 18:43:21,-6.01,,
80,03/01/2023 18:46:21,-6.01,,
81,03/01/2023 18:49:21,-6.05,,
82,03/01/2023 18:52:21,-6.05,,
83,03/01/2023 18:55:21,-6.18,,
84,03/01/2023 18:58:21,-6.22,,
85,03/01/2023 19:01:21,-6.22,,
86,03/01/2023 19:04:21,-6.35,,
87,03/01/2023 19:07:21,-6.39,,
88,03/01/2023 19:10:21,-6.48,,
89,03/01/2023 19:13:21,-6.57,,
90,03/01/2023 19:16:21,-6.57,,
91,03/01/2023 19:19:21,-6.61,,
92,03/01/2023 19:22:21,-6.57,,
93,03/01/2023 19:25:21,-6.61,,
94,03/01/2023 19:28:21,-6.61,,
95,03/01/2023 19:31:21,-6.52,,
96,03/01/2023 19:34:21,-6.52,,
97,03/01/2023 19:37:21,-6.57,,
98,03/01/2023 19:40:21,-6.18,,
99,03/01/2023 19:43:21,-6.14,,
100,03/01/2023 19:46:21,-6.22,,
101,03/01/2023 19:49:21,-6.39,,
102,03/01/2023 19:52:21,-6.35,,
103,03/01/2023 19:55:21,-6.39,,
104,03/01/2023 19:58:21,-6.39,,
105,03/01/2023 20:01:21,-6.39,,
106,03/01/2023 20:04:21,-6.44,,
107,03/01/2023 20:07:21,-6.52,,
108,03/01/2023 20:10:21,-6.52,,
109,03/01/2023 20:13:21,-6.61,,
110,03/01/2023 20:16:21,-6.65,,
111,03/01/2023 20:19:21,-6.65,,
112,03/01/2023 20:22:21,-6.65,,
113,03/01/2023 20:25:21,-6.70,,
114,03/01/2023 20:28:21,-6.65,,
115,03/01/2023 20:31:21,-6.52,,
116,03/01/2023 20:34:21,-6.39,,
117,03/01/2023 20:37:21,-6.39,,
118,03/01/2023 20:40:21,-6.39,,
119,03/01/2023 20:43:21,-6.48,,
120,03/01/2023 20:46:21,-6.44,,
121,03/01/2023 20:49:21,-6.61,,
122,03/01/2023 20:52:21,-6.74,,
123,03/01/2023 20:55:21,-6.82,,
124,03/01/2023 20:58:21,-6.74,,
125,03/01/2023 21:01:21,-6.70,,
126,03/01/2023 21:04:21,-6.74,,
127,03/01/2023 21:07:21,-6.70,,
128,03/01/2023 21:10:21,-6.70,,
129,03/01/2023 21:13:21,-6.70,,
130,03/01/2023 21:16:21,-6.70,,
131,03/01/2023 21:19:21,-6.65,,
132,03/01/2023 21:22:21,-6.61,,
133,03/01/2023 21:25:21,-6.52,,
134,03/01/2023 21:28:21,-6.52,,
135,03/01/2023 21:31:21,-6.57,,
136,03/01/2023 21:34:21,-6.74,,
137,03/01/2023 21:37:21,-6.82,,
138,03/01/2023 21:40:21,-6.91,,
139,03/01/2023 21:43:21,-7.30,,
140,03/01/2023 21:46:21,-8.24,,
141,03/01/2023 21:49:21,-9.01,,
142,03/01/2023 21:52:21,-9.10,,
143,03/01/2023 21:55:21,-9.53,,
144,03/01/2023 21:58:21,-10.04,,
145,03/01/2023 22:01:21,-10.30,,
146,03/01/2023 22:04:21,-10.99,,
147,03/01/2023 22:07:21,-11.20,,
148,03/01/2023 22:10:21,-11.11,,
149,03/01/2023 22:13:21,-11.33,,
150,03/01/2023 22:16:21,-11.46,,
151,03/01/2023 22:19:21,-11.93,,
152,03/01/2023 22:22:21,-11.84,,
153,03/01/2023 22:25:21,-11.89,,
154,03/01/2023 22:28:21,-12.27,,
155,03/01/2023 22:31:21,-12.49,,
156,03/01/2023 22:34:21,-12.27,,
157,03/01/2023 22:37:21,-12.19,,
158,03/01/2023 22:40:21,-12.01,,
159,03/01/2023 22:43:21,-11.76,,
160,03/01/2023 22:46:21,-11.59,,
161,03/01/2023 22:49:21,-11.54,,
162,03/01/2023 22:52:21,-11.33,,
163,03/01/2023 22:55:21,-11.24,,
164,03/01/2023 22:58:21,-10.90,,
165,03/01/2023 23:01:21,-10.68,,
166,03/01/2023 23:04:21,-10.08,,
167,03/01/2023 23:07:21,-9.57,,
168,03/01/2023 23:10:21,-9.57,,
169,03/01/2023 23:13:21,-9.44,,
170,03/01/2023 23:16:21,-9.31,,
171,03/01/2023 23:19:21,-9.23,,
172,03/01/2023 23:22:21,-8.97,,
173,03/01/2023 23:25:21,-8.88,,
174,03/01/2023 23:28:21,-8.58,,
175,03/01/2023 23:31:21,-8.11,,
176,03/01/2023 23:34:21,-7.68,,
177,03/01/2023 23:37:21,-7.72,,
178,03/01/2023 23:40:21,-7.77,,
179,03/01/2023 23:43:21,-7.68,,
180,03/01/2023 23:46:21,-7.60,,
181,03/01/2023 23:49:21,-7.55,,
182,03/01/2023 23:52:21,-7.51,,
183,03/01/2023 23:55:21,-7.47,,
184,03/01/2023 23:58:21,-7.64,,
185,03/02/2023 00:01:21,-7.68,,
186,03/02/2023 00:04:21,-7.60,,
187,03/02/2023 00:07:21,-7.68,,
188,03/02/2023 00:10:21,-7.81,,
189,03/02/2023 00:13:21,-7.85,,
190,03/02/2023 00:16:21,-7.94,,
191,03/02/2023 00:19:21,-8.20,,
192,03/02/2023 00:22:21,-8.15,,
193,03/02/2023 00:25:21,-8.24,,
194,03/02/2023 00:28:21,-8.37,,
195,03/02/2023 00:31:21,-8.54,,
196,03/02/2023 00:34:21,-8.75,,
197,03/02/2023 00:37:21,-8.93,,
198,03/02/2023 00:40:21,-8.84,,
199,03/02/2023 00:43:21,-8.63,,
200,03/02/2023 00:46:21,-8.58,,
201,03/02/2023 00:49:21,-8.71,,
202,03/02/2023 00:52:21,-8.88,,
203,03/02/2023 00:55:21,-9.05,,
204,03/02/2023 00:58:21,-9.10,,
205,03/02/2023 01:01:21,-9.14,,
206,03/02/2023 01:04:21,-9.31,,
207,03/02/2023 01:07:21,-9.44,,
208,03/02/2023 01:10:21,-9.40,,
209,03/02/2023 01:13:21,-9.27,,
210,03/02/2023 01:16:21,-9.10,,
211,03/02/2023 01:19:21,-8.88,,
212,03/02/2023 01:22:21,-9.05,,
213,03/02/2023 01:25:21,-9.36,,
214,03/02/2023 01:28:21,-9.44,,
215,03/02/2023 01:31:21,-9.87,,
216,03/02/2023 01:34:21,-9.87,,
217,03/02/2023 01:37:21,-10.17,,
218,03/02/2023 01:40:21,-10.51,,
219,03/02/2023 01:43:21,-10.77,,
220,03/02/2023 01:46:21,-11.24,,
221,03/02/2023 01:49:21,-11.20,,
222,03/02/2023 01:52:21,-11.50,,
