#,Date-Time (MST/MDT),Ch:1 - Temperature   (°C),Host Connected,End of File
1,03/01/2023 15:43:12,-1.38,,
2,03/01/2023 15:46:12,-1.98,,
3,03/01/2023 15:49:12,-2.23,,
4,03/01/2023 15:52:12,-0.17,,
5,03/01/2023 15:55:12,-1.55,,
6,03/01/2023 15:58:12,-3.09,,
7,03/01/2023 16:01:12,-3.35,,
8,03/01/2023 16:04:12,-3.09,,
9,03/01/2023 16:07:12,-2.19,,
10,03/01/2023 16:10:12,-1.33,,
11,03/01/2023 16:13:12,-2.53,,
12,03/01/2023 16:16:12,-3.39,,
13,03/01/2023 16:19:12,-3.35,,
14,03/01/2023 16:22:12,-3.09,,
15,03/01/2023 16:25:12,-3.13,,
16,03/01/2023 16:28:12,-3.01,,
17,03/01/2023 16:31:12,-3.91,,
18,03/01/2023 16:34:12,-3.99,,
19,03/01/2023 16:37:12,-4.25,,
20,03/01/2023 16:40:12,-4.38,,
21,03/01/2023 16:43:12,-3.99,,
22,03/01/2023 16:46:12,-3.69,,
23,03/01/2023 16:49:12,-3.69,,
24,03/01/2023 16:52:12,-3.52,,
25,03/01/2023 16:55:12,-4.04,,
26,03/01/2023 16:58:12,-4.46,,
27,03/01/2023 17:01:12,-4.38,,
28,03/01/2023 17:04:12,-3.99,,
29,03/01/2023 17:07:12,-3.56,,
30,03/01/2023 17:10:12,-3.95,,
31,03/01/2023 17:13:12,-4.68,,
32,03/01/2023 17:16:12,-5.28,,
33,03/01/2023 17:19:12,-5.45,,
34,03/01/2023 17:22:12,-5.32,,
35,03/01/2023 17:25:12,-5.37,,
36,03/01/2023 17:28:12,-5.54,,
37,03/01/2023 17:31:12,-5.49,,
38,03/01/2023 17:34:12,-5.54,,
39,03/01/2023 17:37:12,-5.58,,
40,03/01/2023 17:40:12,-6.01,,
41,03/01/2023 17:43:12,-6.14,,
42,03/01/2023 17:46:12,-6.52,,
43,03/01/2023 17:49:12,-6.61,,
44,03/01/2023 17:52:12,-6.65,,
45,03/01/2023 17:55:12,-6.70,,
46,03/01/2023 17:58:12,-6.52,,
47,03/01/2023 18:01:12,-6.22,,
48,03/01/2023 18:04:12,-6.05,,
49,03/01/2023 18:07:12,-6.14,,
50,03/01/2023 18:10:12,-6.09,,
51,03/01/2023 18:13:12,-6.44,,
52,03/01/2023 18:16:12,-6.70,,
53,03/01/2023 18:19:12,-6.65,,
54,03/01/2023 18:22:12,-6.70,,
55,03/01/2023 18:25:12,-6.65,,
56,03/01/2023 18:28:12,-6.65,,
57,03/01/2023 18:31:12,-6.65,,
58,03/01/2023 18:34:12,-6.52,,
59,03/01/2023 18:37:12,-6.61,,
60,03/01/2023 18:40:12,-6.27,,
61,03/01/2023 18:43:12,-6.22,,
62,03/01/2023 18:46:12,-6.22,,
63,03/01/2023 18:49:12,-6.39,,
64,03/01/2023 18:52:12,-6.44,,
65,03/01/2023 18:55:12,-6.57,,
66,03/01/2023 18:58:12,-6.91,,
67,03/01/2023 19:01:12,-6.91,,
68,03/01/2023 19:04:12,-6.70,,
69,03/01/2023 19:07:12,-6.48,,
70,03/01/2023 19:10:12,-6.70,,
71,03/01/2023 19:13:12,-6.61,,
72,03/01/2023 19:16:12,-6.61,,
73,03/01/2023 19:19:12,-6.74,,
74,03/01/2023 19:22:12,-6.74,,
75,03/01/2023 19:25:12,-6.74,,
76,03/01/2023 19:28:12,-6.74,,
77,03/01/2023 19:31:12,-6.48,,
78,03/01/2023 19:34:12,-6.57,,
79,03/01/2023 19:37:12,-6.61,,
80,03/01/2023 19:40:12,-6.65,,
81,03/01/2023 19:43:12,-6.70,,
82,03/01/2023 19:46:12,-6.57,,
83,03/01/2023 19:49:12,-6.48,,
84,03/01/2023 19:52:12,-6.48,,
85,03/01/2023 19:55:12,-6.44,,
86,03/01/2023 19:58:12,-6.52,,
87,03/01/2023 20:01:12,-6.65,,
88,03/01/2023 20:04:12,-6.70,,
89,03/01/2023 20:07:12,-6.78,,
90,03/01/2023 20:10:12,-6.82,,
91,03/01/2023 20:13:12,-6.91,,
92,03/01/2023 20:16:12,-6.95,,
93,03/01/2023 20:19:12,-6.78,,
94,03/01/2023 20:22:12,-6.48,,
95,03/01/2023 20:25:12,-6.52,,
96,03/01/2023 20:28:12,-6.52,,
97,03/01/2023 20:31:12,-6.52,,
98,03/01/2023 20:34:12,-6.48,,
99,03/01/2023 20:37:12,-6.52,,
100,03/01/2023 20:40:12,-6.74,,
101,03/01/2023 20:43:12,-6.70,,
102,03/01/2023 20:46:12,-6.87,,
103,03/01/2023 20:49:12,-6.78,,
104,03/01/2023 20:52:12,-6.82,,
105,03/01/2023 20:55:12,-6.91,,
106,03/01/2023 20:58:12,-6.91,,
107,03/01/2023 21:01:12,-6.87,,
108,03/01/2023 21:04:12,-6.82,,
109,03/01/2023 21:07:12,-6.74,,
110,03/01/2023 21:10:12,-6.65,,
111,03/01/2023 21:13:12,-6.65,,
112,03/01/2023 21:16:12,-6.61,,
113,03/01/2023 21:19:12,-6.74,,
114,03/01/2023 21:22:12,-7.00,,
115,03/01/2023 21:25:12,-7.04,,
116,03/01/2023 21:28:12,-7.30,,
117,03/01/2023 21:31:12,-7.38,,
118,03/01/2023 21:34:12,-7.51,,
119,03/01/2023 21:37:12,-8.15,,
120,03/01/2023 21:40:12,-8.15,,
121,03/01/2023 21:43:12,-7.90,,
122,03/01/2023 21:46:12,-8.11,,
123,03/01/2023 21:49:12,-8.58,,
124,03/01/2023 21:52:12,-8.28,,
125,03/01/2023 21:55:12,-9.74,,
126,03/01/2023 21:58:12,-9.74,,
127,03/01/2023 22:01:12,-9.78,,
128,03/01/2023 22:04:12,-10.34,,
129,03/01/2023 22:07:12,-10.47,,
130,03/01/2023 22:10:12,-9.78,,
131,03/01/2023 22:13:12,-10.30,,
132,03/01/2023 22:16:12,-10.04,,
133,03/01/2023 22:19:12,-10.51,,
134,03/01/2023 22:22:12,-10.26,,
135,03/01/2023 22:25:12,-8.93,,
136,03/01/2023 22:28:12,-9.53,,
137,03/01/2023 22:31:12,-9.61,,
138,03/01/2023 22:34:12,-9.74,,
139,03/01/2023 22:37:12,-9.70,,
140,03/01/2023 22:40:12,-9.61,,
141,03/01/2023 22:43:12,-9.44,,
142,03/01/2023 22:46:12,-9.53,,
143,03/01/2023 22:49:12,-9.66,,
144,03/01/2023 22:52:12,-9.40,,
145,03/01/2023 22:55:12,-9.36,,
146,03/01/2023 22:58:12,-9.27,,
147,03/01/2023 23:01:12,-9.44,,
148,03/01/2023 23:04:12,-9.53,,
149,03/01/2023 23:07:12,-9.31,,
150,03/01/2023 23:10:12,-9.74,,
151,03/01/2023 23:13:12,-9.31,,
152,03/01/2023 23:16:12,-9.40,,
153,03/01/2023 23:19:12,-9.40,,
154,03/01/2023 23:22:12,-9.70,,
155,03/01/2023 23:25:12,-9.36,,
156,03/01/2023 23:28:12,-9.14,,
157,03/01/2023 23:31:12,-8.84,,
158,03/01/2023 23:34:12,-8.97,,
159,03/01/2023 23:37:12,-8.67,,
160,03/01/2023 23:40:12,-8.37,,
161,03/01/2023 23:43:12,-8.28,,
162,03/01/2023 23:46:12,-8.54,,
163,03/01/2023 23:49:12,-8.50,,
164,03/01/2023 23:52:12,-8.11,,
165,03/01/2023 23:55:12,-8.03,,
166,03/01/2023 23:58:12,-8.24,,
167,03/02/2023 00:01:12,-8.41,,
168,03/02/2023 00:04:12,-8.54,,
169,03/02/2023 00:07:12,-8.58,,
170,03/02/2023 00:10:12,-8.58,,
171,03/02/2023 00:13:12,-8.75,,
172,03/02/2023 00:16:12,-8.88,,
173,03/02/2023 00:19:12,-9.31,,
174,03/02/2023 00:22:12,-10.43,,
175,03/02/2023 00:25:12,-10.56,,
176,03/02/2023 00:28:12,-9.61,,
177,03/02/2023 00:31:12,-9.10,,
178,03/02/2023 00:34:12,-9.53,,
179,03/02/2023 00:37:12,-9.53,,
180,03/02/2023 00:40:12,-9.57,,
181,03/02/2023 00:43:12,-9.44,,
182,03/02/2023 00:46:12,-9.53,,
183,03/02/2023 00:49:12,-9.78,,
184,03/02/2023 00:52:12,-9.91,,
185,03/02/2023 00:55:12,-9.83,,
186,03/02/2023 00:58:12,-9.74,,
187,03/02/2023 01:01:12,-9.53,,
188,03/02/2023 01:04:12,-9.44,,
189,03/02/2023 01:07:12,-9.36,,
190,03/02/2023 01:10:12,-8.93,,
191,03/02/2023 01:13:12,-8.88,,
192,03/02/2023 01:16:12,-8.88,,
193,03/02/2023 01:19:12,-8.93,,
194,03/02/2023 01:22:12,-9.10,,
195,03/02/2023 01:25:12,-9.48,,
196,03/02/2023 01:28:12,-10.08,,
197,03/02/2023 01:31:12,-10.08,,
198,03/02/2023 01:34:12,-10.21,,
199,03/02/2023 01:37:12,-10.34,,
200,03/02/2023 01:40:12,-10.51,,
201,03/02/2023 01:43:12,-11.20,,
202,03/02/2023 01:46:12,-11.97,,
203,03/02/2023 01:49:12,-12.14,,
204,03/02/2023 01:52:12,-11.80,,
205,03/02/2023 01:55:12,-11.93,,
206,03/02/2023 01:58:12,-11.80,,
207,03/02/2023 02:01:12,-11.67,,
208,03/02/2023 02:04:12,-11.89,,
209,03/02/2023 02:07:12,-12.14,,
210,03/02/2023 02:10:12,-12.40,,
211,03/02/2023 02:13:12,-12.23,,
212,03/02/2023 02:16:12,-12.66,,
213,03/02/2023 02:19:12,-12.62,,
214,03/02/2023 02:22:12,-12.66,,
215,03/02/2023 02:25:12,-12.23,,
216,03/02/2023 02:28:12,-12.49,,
217,03/02/2023 02:31:12,-12.36,,
218,03/02/2023 02:34:12,-12.36,,
219,03/02/2023 02:37:12,-12.53,,
220,03/02/2023 02:40:12,-13.39,,
221,03/02/2023 02:43:12,-12.92,,
222,03/02/2023 02:46:12,-12.79,,
223,03/02/2023 02:49:12,-12.32,,
224,03/02/2023 02:52:12,-13.47,,
225,03/02/2023 02:55:12,-13.95,,
226,03/02/2023 02:58:12,-13.69,,
227,03/02/2023 03:01:12,-13.65,,
228,03/02/2023 03:04:12,-14.59,,
229,03/02/2023 03:07:12,-14.25,,
230,03/02/2023 03:10:12,-13.90,,
231,03/02/2023 03:13:12,-14.16,,
232,03/02/2023 03:16:12,-13.95,,
233,03/02/2023 03:19:12,-14.37,,
234,03/02/2023 03:22:12,-13.47,,
235,03/02/2023 03:25:12,-13.04,,
236,03/02/2023 03:28:12,-12.19,,
237,03/02/2023 03:31:12,-12.66,,
238,03/02/2023 03:34:12,-13.30,,
239,03/02/2023 03:37:12,-13.65,,
240,03/02/2023 03:40:12,-13.47,,
241,03/02/2023 03:43:12,-13.26,,
242,03/02/2023 03:46:12,-13.34,,
243,03/02/2023 03:49:12,-13.30,,
244,03/02/2023 03:52:12,-13.73,,
245,03/02/2023 03:55:12,-13.99,,
246,03/02/2023 03:58:12,-13.90,,
247,03/02/2023 04:01:12,-13.56,,
248,03/02/2023 04:04:12,-13.22,,
249,03/02/2023 04:07:12,-13.30,,
250,03/02/2023 04:10:12,-13.30,,
251,03/02/2023 04:13:12,-13.77,,
252,03/02/2023 04:16:12,-14.29,,
253,03/02/2023 04:19:12,-14.85,,
254,03/02/2023 04:22:12,-15.10,,
255,03/02/2023 04:25:12,-15.62,,
256,03/02/2023 04:28:12,-15.19,,
257,03/02/2023 04:31:12,-14.80,,
258,03/02/2023 04:34:12,-14.89,,
259,03/02/2023 04:37:12,-14.12,,
260,03/02/2023 04:40:12,-14.63,,
261,03/02/2023 04:43:12,-14.93,,
262,03/02/2023 04:46:12,-15.02,,
263,03/02/2023 04:49:12,-15.88,,
264,03/02/2023 04:52:12,-16.61,,
265,03/02/2023 04:55:12,-17.08,,
266,03/02/2023 04:58:12,-16.99,,
267,03/02/2023 05:01:12,-16.95,,
268,03/02/2023 05:04:12,-17.51,,
269,03/02/2023 05:07:12,-17.25,,
270,03/02/2023 05:10:12,-17.59,,
271,03/02/2023 05:13:12,-17.72,,
272,03/02/2023 05:16:12,-16.78,,
273,03/02/2023 05:19:12,-16.73,,
274,03/02/2023 05:22:12,-16.13,,
275,03/02/2023 05:25:12,-15.75,,
276,03/02/2023 05:28:12,-16.00,,
277,03/02/2023 05:31:12,-16.52,,
278,03/02/2023 05:34:12,-17.08,,
279,03/02/2023 05:37:12,-17.21,,
280,03/02/2023 05:40:12,-17.63,,
281,03/02/2023 05:43:12,-18.02,,
282,03/02/2023 05:46:12,-17.89,,
283,03/02/2023 05:49:12,-18.58,,
284,03/02/2023 05:52:12,-18.75,,
285,03/02/2023 05:55:12,-18.54,,
286,03/02/2023 05:58:12,-18.88,,
287,03/02/2023 06:01:12,-19.14,,
288,03/02/2023 06:04:12,-19.05,,
289,03/02/2023 06:07:12,-18.66,,
290,03/02/2023 06:10:12,-18.58,,
291,03/02/2023 06:13:12,-18.02,,
292,03/02/2023 06:16:12,-17.59,,
293,03/02/2023 06:19:12,-17.08,,
294,03/02/2023 06:22:12,-16.69,,
295,03/02/2023 06:25:12,-16.35,,
296,03/02/2023 06:28:12,-16.39,,
297,03/02/2023 06:31:12,-16.18,,
298,03/02/2023 06:34:12,-16.05,,
299,03/02/2023 06:37:12,-15.83,,
300,03/02/2023 06:40:12,-15.62,,
301,03/02/2023 06:43:12,-15.40,,
302,03/02/2023 06:46:12,-15.10,,
303,03/02/2023 06:49:12,-14.59,,
304,03/02/2023 06:52:12,-14.20,,
305,03/02/2023 06:55:12,-13.86,,
306,03/02/2023 06:58:12,-13.47,,
307,03/02/2023 07:01:12,-13.30,,
308,03/02/2023 07:04:12,-13.26,,
309,03/02/2023 07:07:12,-13.09,,
310,03/02/2023 07:10:12,-13.00,,
311,03/02/2023 07:13:12,-12.83,,
312,03/02/2023 07:16:12,-12.70,,
313,03/02/2023 07:19:12,-12.36,,
314,03/02/2023 07:22:12,-11.93,,
315,03/02/2023 07:25:12,-11.67,,
316,03/02/2023 07:28:12,-11.29,,
317,03/02/2023 07:31:12,-11.07,,
