#,Date-Time (MDT),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
1,06/16/2023 10:01:09,,Logged,,
2,06/16/2023 10:01:30,,Logged,,
3,06/16/2023 10:01:40,13.38,,,
4,06/16/2023 10:02:32,,,Logged,
5,06/16/2023 10:04:40,12.82,,,
6,06/16/2023 10:07:40,12.95,,,
7,06/16/2023 10:10:40,12.74,,,
8,06/16/2023 10:13:40,13.38,,,
9,06/16/2023 10:16:40,14.84,,,
10,06/16/2023 10:19:40,15.61,,,
11,06/16/2023 10:22:40,15.36,,,
12,06/16/2023 10:25:40,15.91,,,
13,06/16/2023 10:28:40,15.01,,,
14,06/16/2023 10:31:40,15.23,,,
15,06/16/2023 10:34:40,16.30,,,
16,06/16/2023 10:37:40,15.48,,,
17,06/16/2023 10:40:40,15.06,,,
18,06/16/2023 10:43:40,15.01,,,
19,06/16/2023 10:46:40,16.47,,,
20,06/16/2023 10:49:40,16.00,,,
21,06/16/2023 10:52:40,14.54,,,
22,06/16/2023 10:55:40,14.71,,,
23,06/16/2023 10:58:40,14.88,,,
24,06/16/2023 11:01:40,13.98,,,
25,06/16/2023 11:04:40,13.98,,,
26,06/16/2023 11:07:40,14.63,,,
27,06/16/2023 11:10:40,14.41,,,
28,06/16/2023 11:13:40,13.94,,,
29,06/16/2023 11:16:40,14.37,,,
30,06/16/2023 11:19:40,14.33,,,
31,06/16/2023 11:22:40,14.33,,,
32,06/16/2023 11:25:40,14.58,,,
33,06/16/2023 11:28:40,14.58,,,
34,06/16/2023 11:31:40,14.50,,,
35,06/16/2023 11:34:40,14.71,,,
36,06/16/2023 11:37:40,14.84,,,
37,06/16/2023 11:40:40,15.91,,,
38,06/16/2023 11:43:40,15.23,,,
39,06/16/2023 11:46:40,14.63,,,
40,06/16/2023 11:49:40,15.23,,,
41,06/16/2023 11:52:40,15.70,,,
42,06/16/2023 11:55:40,15.10,,,
43,06/16/2023 11:58:40,14.80,,,
44,06/16/2023 12:01:40,14.97,,,
45,06/16/2023 12:04:40,15.36,,,
46,06/16/2023 12:07:40,15.44,,,
47,06/16/2023 12:10:40,16.43,,,
48,06/16/2023 12:13:40,16.51,,,
49,06/16/2023 12:16:40,16.26,,,
50,06/16/2023 12:19:40,17.59,,,
51,06/16/2023 12:22:40,17.80,,,
52,06/16/2023 12:25:40,17.93,,,
53,06/16/2023 12:28:40,16.64,,,
54,06/16/2023 12:31:40,16.60,,,
55,06/16/2023 12:34:40,17.41,,,
56,06/16/2023 12:37:40,18.23,,,
57,06/16/2023 12:40:40,17.80,,,
58,06/16/2023 12:43:40,17.03,,,
59,06/16/2023 12:46:40,16.51,,,
60,06/16/2023 12:49:40,16.60,,,
61,06/16/2023 12:52:40,16.99,,,
62,06/16/2023 12:55:40,16.86,,,
63,06/16/2023 12:58:40,17.03,,,
