#,Date-Time (MDT),Ch:1 - Temperature   (°C),Host Connected,End of File
1,04/15/2023 08:18:56,-3.35,,
2,04/15/2023 08:21:56,-2.96,,
3,04/15/2023 08:24:56,-3.18,,
4,04/15/2023 08:27:56,-3.31,,
5,04/15/2023 08:30:56,-3.43,,
6,04/15/2023 08:33:56,-2.66,,
7,04/15/2023 08:36:56,-3.22,,
8,04/15/2023 08:39:56,-2.79,,
9,04/15/2023 08:42:56,-3.05,,
10,04/15/2023 08:45:56,-3.13,,
11,04/15/2023 08:48:56,-3.13,,
12,04/15/2023 08:51:56,-3.18,,
13,04/15/2023 08:54:56,-2.83,,
14,04/15/2023 08:57:56,-2.75,,
15,04/15/2023 09:00:56,-2.92,,
16,04/15/2023 09:03:56,-2.10,,
17,04/15/2023 09:06:56,-2.19,,
18,04/15/2023 09:09:56,-2.02,,
19,04/15/2023 09:12:56,-2.19,,
20,04/15/2023 09:15:56,-2.49,,
21,04/15/2023 09:18:56,-3.01,,
22,04/15/2023 09:21:56,-3.09,,
23,04/15/2023 09:24:56,-2.58,,
24,04/15/2023 09:27:56,-2.32,,
25,04/15/2023 09:30:56,-2.41,,
26,04/15/2023 09:33:56,-1.72,,
27,04/15/2023 09:36:56,-2.28,,
28,04/15/2023 09:39:56,-2.10,,
29,04/15/2023 09:42:56,-2.49,,
30,04/15/2023 09:45:56,-2.06,,
31,04/15/2023 09:48:56,-1.85,,
32,04/15/2023 09:51:56,-1.80,,
33,04/15/2023 09:54:56,-1.25,,
34,04/15/2023 09:57:56,-2.32,,
35,04/15/2023 10:00:56,-1.25,,
36,04/15/2023 10:03:56,-1.33,,
37,04/15/2023 10:06:56,-1.29,,
38,04/15/2023 10:09:56,-1.33,,
39,04/15/2023 10:12:56,-1.29,,
40,04/15/2023 10:15:56,-2.36,,
41,04/15/2023 10:18:56,-1.93,,
42,04/15/2023 10:21:56,-1.46,,
43,04/15/2023 10:24:56,-1.76,,
44,04/15/2023 10:27:56,-0.73,,
45,04/15/2023 10:30:56,-1.16,,
