#,Date-Time (MDT),Ch:1 - Temperature   (°C),Host Connected,End of File
1,04/17/2023 16:37:19,16.81,,
2,04/17/2023 16:40:19,15.91,,
3,04/17/2023 16:43:19,15.66,,
4,04/17/2023 16:46:19,16.21,,
5,04/17/2023 16:49:19,16.73,,
6,04/17/2023 16:52:19,16.77,,
7,04/17/2023 16:55:19,16.26,,
8,04/17/2023 16:58:19,16.60,,
9,04/17/2023 17:01:19,15.96,,
10,04/17/2023 17:04:19,15.91,,
11,04/17/2023 17:07:19,15.66,,
12,04/17/2023 17:10:19,16.17,,
13,04/17/2023 17:13:19,16.39,,
14,04/17/2023 17:16:19,16.69,,
15,04/17/2023 17:19:19,16.21,,
16,04/17/2023 17:22:19,16.43,,
17,04/17/2023 17:25:19,16.43,,
18,04/17/2023 17:28:19,15.83,,
19,04/17/2023 17:31:19,15.36,,
20,04/17/2023 17:34:19,15.70,,
21,04/17/2023 17:37:19,16.00,,
22,04/17/2023 17:40:19,15.23,,
23,04/17/2023 17:43:19,15.01,,
24,04/17/2023 17:46:19,15.18,,
25,04/17/2023 17:49:19,15.40,,
26,04/17/2023 17:52:19,14.93,,
27,04/17/2023 17:55:19,15.01,,
28,04/17/2023 17:58:19,14.97,,
29,04/17/2023 18:01:19,14.84,,
30,04/17/2023 18:04:19,14.88,,
31,04/17/2023 18:07:19,14.63,,
32,04/17/2023 18:10:19,14.37,,
33,04/17/2023 18:13:19,14.41,,
34,04/17/2023 18:16:19,14.58,,
35,04/17/2023 18:19:19,14.33,,
36,04/17/2023 18:22:19,14.07,,
37,04/17/2023 18:25:19,14.07,,
38,04/17/2023 18:28:19,14.07,,
39,04/17/2023 18:31:19,13.98,,
40,04/17/2023 18:34:19,13.98,,
41,04/17/2023 18:37:19,13.68,,
42,04/17/2023 18:40:19,13.77,,
43,04/17/2023 18:43:19,13.47,,
44,04/17/2023 18:46:19,13.51,,
45,04/17/2023 18:49:19,13.04,,
46,04/17/2023 18:52:19,13.12,,
47,04/17/2023 18:55:19,13.12,,
48,04/17/2023 18:58:19,13.08,,
49,04/17/2023 19:01:19,12.91,,
50,04/17/2023 19:04:19,12.74,,
51,04/17/2023 19:07:19,12.57,,
52,04/17/2023 19:10:19,12.44,,
53,04/17/2023 19:13:19,12.22,,
54,04/17/2023 19:16:19,12.48,,
55,04/17/2023 19:19:19,12.22,,
56,04/17/2023 19:22:19,12.27,,
57,04/17/2023 19:25:19,11.84,,
58,04/17/2023 19:28:19,11.79,,
