#,Date-Time (MDT),Ch:1 - Temperature   (°C),Host Connected,End of File
1,04/15/2023 08:24:45,-2.45,,
2,04/15/2023 08:27:45,-2.62,,
3,04/15/2023 08:30:45,-1.76,,
4,04/15/2023 08:33:45,-1.98,,
5,04/15/2023 08:36:45,-1.85,,
6,04/15/2023 08:39:45,-1.29,,
7,04/15/2023 08:42:45,-0.47,,
8,04/15/2023 08:45:45,-0.86,,
9,04/15/2023 08:48:45,-0.90,,
10,04/15/2023 08:51:45,-0.30,,
11,04/15/2023 08:54:45,-0.69,,
12,04/15/2023 08:57:45,-0.86,,
13,04/15/2023 09:00:45,-0.99,,
14,04/15/2023 09:03:45,-1.38,,
15,04/15/2023 09:06:45,-1.42,,
16,04/15/2023 09:09:45,-1.59,,
17,04/15/2023 09:12:45,-0.86,,
18,04/15/2023 09:15:45,-0.82,,
19,04/15/2023 09:18:45,-1.42,,
20,04/15/2023 09:21:45,-1.08,,
21,04/15/2023 09:24:45,-0.95,,
22,04/15/2023 09:27:45,-0.60,,
23,04/15/2023 09:30:45,-0.52,,
24,04/15/2023 09:33:45,-0.52,,
25,04/15/2023 09:36:45,-0.43,,
26,04/15/2023 09:39:45,-0.30,,
27,04/15/2023 09:42:45,0.00,,
28,04/15/2023 09:45:45,-0.05,,
29,04/15/2023 09:48:45,0.17,,
30,04/15/2023 09:51:45,-0.17,,
31,04/15/2023 09:54:45,0.00,,
32,04/15/2023 09:57:45,0.21,,
33,04/15/2023 10:00:45,0.34,,
34,04/15/2023 10:03:45,0.13,,
35,04/15/2023 10:06:45,0.21,,
36,04/15/2023 10:09:45,0.17,,
37,04/15/2023 10:12:45,0.47,,
38,04/15/2023 10:15:45,0.64,,
39,04/15/2023 10:18:45,0.68,,
40,04/15/2023 10:21:45,0.94,,
41,04/15/2023 10:24:45,1.33,,
42,04/15/2023 10:27:45,1.93,,
43,04/15/2023 10:30:45,1.28,,
44,04/15/2023 10:33:45,1.28,,
45,04/15/2023 10:36:45,1.41,,
46,04/15/2023 10:39:45,1.33,,
47,04/15/2023 10:42:45,1.50,,
48,04/15/2023 10:45:45,1.33,,
49,04/15/2023 10:48:45,1.37,,
50,04/15/2023 10:51:45,1.24,,
51,04/15/2023 10:54:45,1.11,,
52,04/15/2023 10:57:45,1.54,,
53,04/15/2023 11:00:45,1.07,,
54,04/15/2023 11:03:45,0.94,,
55,04/15/2023 11:06:45,1.46,,
56,04/15/2023 11:09:45,1.33,,
57,04/15/2023 11:12:45,1.20,,
58,04/15/2023 11:15:45,1.33,,
59,04/15/2023 11:18:45,1.67,,
60,04/15/2023 11:21:45,1.71,,
61,04/15/2023 11:24:45,0.86,,
62,04/15/2023 11:27:45,1.80,,
63,04/15/2023 11:30:45,1.93,,
64,04/15/2023 11:33:45,1.50,,
65,04/15/2023 11:36:45,2.49,,
66,04/15/2023 11:39:45,1.50,,
67,04/15/2023 11:42:45,1.93,,
68,04/15/2023 11:45:45,1.88,,
69,04/15/2023 11:48:45,1.84,,
70,04/15/2023 11:51:45,2.44,,
71,04/15/2023 11:54:45,3.34,,
72,04/15/2023 11:57:45,2.49,,
73,04/15/2023 12:00:45,2.70,,
74,04/15/2023 12:03:45,2.91,,
75,04/15/2023 12:06:45,3.04,,
76,04/15/2023 12:09:45,2.87,,
77,04/15/2023 12:12:45,3.09,,
78,04/15/2023 12:15:45,2.70,,
79,04/15/2023 12:18:45,2.83,,
80,04/15/2023 12:21:45,2.87,,
81,04/15/2023 12:24:45,2.91,,
82,04/15/2023 12:27:45,2.66,,
83,04/15/2023 12:30:45,3.13,,
84,04/15/2023 12:33:45,3.09,,
85,04/15/2023 12:36:45,3.13,,
86,04/15/2023 12:39:45,2.83,,
87,04/15/2023 12:42:45,3.60,,
88,04/15/2023 12:45:45,3.60,,
89,04/15/2023 12:48:45,2.96,,
90,04/15/2023 12:51:45,3.60,,
91,04/15/2023 12:54:45,3.21,,
92,04/15/2023 12:57:45,4.54,,
93,04/15/2023 13:00:45,5.10,,
94,04/15/2023 13:03:45,4.42,,
95,04/15/2023 13:06:45,3.21,,
96,04/15/2023 13:09:45,4.46,,
97,04/15/2023 13:12:45,4.80,,
98,04/15/2023 13:15:45,3.04,,
99,04/15/2023 13:18:45,3.52,,
100,04/15/2023 13:21:45,4.24,,
101,04/15/2023 13:24:45,3.94,,
102,04/15/2023 13:27:45,5.62,,
103,04/15/2023 13:30:45,5.40,,
104,04/15/2023 13:33:45,4.72,,
105,04/15/2023 13:36:45,4.63,,
106,04/15/2023 13:39:45,4.93,,
107,04/15/2023 13:42:45,4.59,,
108,04/15/2023 13:45:45,5.15,,
109,04/15/2023 13:48:45,4.03,,
110,04/15/2023 13:51:45,3.86,,
111,04/15/2023 13:54:45,4.12,,
112,04/15/2023 13:57:45,5.02,,
113,04/15/2023 14:00:45,5.57,,
114,04/15/2023 14:03:45,4.37,,
115,04/15/2023 14:06:45,4.29,,
116,04/15/2023 14:09:45,4.37,,
117,04/15/2023 14:12:45,3.99,,
118,04/15/2023 14:15:45,5.19,,
119,04/15/2023 14:18:45,6.30,,
120,04/15/2023 14:21:45,6.90,,
121,04/15/2023 14:24:45,6.48,,
122,04/15/2023 14:27:45,5.53,,
123,04/15/2023 14:30:45,5.96,,
124,04/15/2023 14:33:45,5.70,,
125,04/15/2023 14:36:45,4.59,,
126,04/15/2023 14:39:45,5.62,,
127,04/15/2023 14:42:45,5.45,,
128,04/15/2023 14:45:45,6.48,,
129,04/15/2023 14:48:45,6.60,,
130,04/15/2023 14:51:45,8.02,,
131,04/15/2023 14:54:45,7.55,,
132,04/15/2023 14:57:45,6.99,,
133,04/15/2023 15:00:45,6.69,,
134,04/15/2023 15:03:45,7.12,,
135,04/15/2023 15:06:45,4.67,,
136,04/15/2023 15:09:45,5.87,,
137,04/15/2023 15:12:45,6.56,,
138,04/15/2023 15:15:45,7.25,,
139,04/15/2023 15:18:45,7.12,,
140,04/15/2023 15:21:45,7.38,,
141,04/15/2023 15:24:45,5.92,,
142,04/15/2023 15:27:45,5.66,,
143,04/15/2023 15:30:45,7.89,,
144,04/15/2023 15:33:45,8.83,,
145,04/15/2023 15:36:45,7.12,,
146,04/15/2023 15:39:45,6.95,,
147,04/15/2023 15:42:45,5.66,,
148,04/15/2023 15:45:45,5.87,,
149,04/15/2023 15:48:45,6.35,,
150,04/15/2023 15:51:45,7.16,,
151,04/15/2023 15:54:45,6.17,,
152,04/15/2023 15:57:45,7.25,,
153,04/15/2023 16:00:45,6.17,,
154,04/15/2023 16:03:45,6.56,,
155,04/15/2023 16:06:45,5.32,,
156,04/15/2023 16:09:45,5.70,,
157,04/15/2023 16:12:45,5.57,,
158,04/15/2023 16:15:45,7.25,,
159,04/15/2023 16:18:45,6.17,,
160,04/15/2023 16:21:45,6.35,,
161,04/15/2023 16:24:45,6.60,,
162,04/15/2023 16:27:45,5.23,,
163,04/15/2023 16:30:45,5.66,,
164,04/15/2023 16:33:45,6.26,,
165,04/15/2023 16:36:45,6.09,,
166,04/15/2023 16:39:45,5.79,,
167,04/15/2023 16:42:45,5.53,,
168,04/15/2023 16:45:45,6.30,,
169,04/15/2023 16:48:45,5.87,,
170,04/15/2023 16:51:45,5.75,,
171,04/15/2023 16:54:45,5.70,,
172,04/15/2023 16:57:45,5.96,,
173,04/15/2023 17:00:45,5.62,,
174,04/15/2023 17:03:45,6.35,,
175,04/15/2023 17:06:45,6.22,,
176,04/15/2023 17:09:45,6.69,,
177,04/15/2023 17:12:45,7.46,,
178,04/15/2023 17:15:45,6.48,,
179,04/15/2023 17:18:45,6.00,,
180,04/15/2023 17:21:45,6.17,,
181,04/15/2023 17:24:45,5.75,,
182,04/15/2023 17:27:45,5.57,,
183,04/15/2023 17:30:45,5.23,,
184,04/15/2023 17:33:45,6.13,,
185,04/15/2023 17:36:45,6.99,,
186,04/15/2023 17:39:45,6.69,,
187,04/15/2023 17:42:45,5.40,,
188,04/15/2023 17:45:45,5.66,,
189,04/15/2023 17:48:45,4.84,,
190,04/15/2023 17:51:45,4.54,,
191,04/15/2023 17:54:45,4.50,,
192,04/15/2023 17:57:45,4.63,,
193,04/15/2023 18:00:45,4.50,,
194,04/15/2023 18:03:45,4.59,,
195,04/15/2023 18:06:45,5.06,,
196,04/15/2023 18:09:45,6.09,,
197,04/15/2023 18:12:45,6.17,,
198,04/15/2023 18:15:45,6.65,,
199,04/15/2023 18:18:45,6.69,,
