#,Date-Time (MDT),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
397,06/16/2023 10:32:18,13.04,,,
398,06/16/2023 10:35:18,12.27,,,
399,06/16/2023 10:38:18,12.01,,,
400,06/16/2023 10:41:18,12.57,,,
401,06/16/2023 10:44:18,13.98,,,
402,06/16/2023 10:47:18,13.38,,,
403,06/16/2023 10:50:18,12.48,,,
404,06/16/2023 10:53:18,12.31,,,
405,06/16/2023 10:56:18,12.65,,,
406,06/16/2023 10:59:18,12.44,,,
407,06/16/2023 11:02:18,12.78,,,
408,06/16/2023 11:05:18,13.21,,,
409,06/16/2023 11:08:18,13.6,,,
410,06/16/2023 11:11:18,14.45,,,
411,06/16/2023 11:14:18,14.97,,,
412,06/16/2023 11:17:18,14.2,,,
413,06/16/2023 11:20:18,14.93,,,
414,06/16/2023 11:23:18,15.27,,,
415,06/16/2023 11:26:18,14.88,,,
416,06/16/2023 11:29:18,13.9,,,
417,06/16/2023 11:32:18,13.34,,,
418,06/16/2023 11:35:18,13.51,,,
419,06/16/2023 11:38:18,13.73,,,
420,06/16/2023 11:41:18,13.43,,,
421,06/16/2023 11:44:18,13.38,,,
422,06/16/2023 11:47:18,13.51,,,
423,06/16/2023 11:50:18,13.55,,,
424,06/16/2023 11:53:18,13.51,,,
425,06/16/2023 11:56:18,13.73,,,
426,06/16/2023 11:59:18,13.98,,,
427,06/16/2023 12:02:18,14.33,,,
428,06/16/2023 12:05:18,14.45,,,
429,06/16/2023 12:08:18,14.71,,,
430,06/16/2023 12:11:18,15.1,,,
431,06/16/2023 12:14:18,15.78,,,
432,06/16/2023 12:17:18,16.43,,,
433,06/16/2023 12:20:18,17.37,,,
434,06/16/2023 12:23:18,17.89,,,
435,06/16/2023 12:26:18,16.39,,,
436,06/16/2023 12:29:18,15.14,,,
437,06/16/2023 12:32:18,15.91,,,
438,06/16/2023 12:35:18,16.47,,,
439,06/16/2023 12:38:18,15.57,,,
440,06/16/2023 12:41:18,15.83,,,
441,06/16/2023 12:44:18,16.51,,,
442,06/16/2023 12:47:18,16,,,
443,06/16/2023 12:50:18,16.17,,,
444,06/16/2023 12:53:18,15.78,,,
445,06/16/2023 12:56:18,16.3,,,
446,06/16/2023 12:59:18,15.83,,,
447,06/16/2023 13:02:18,15.53,,,
448,06/16/2023 13:05:18,16.9,,,
449,06/16/2023 13:08:18,15.74,,,
450,06/16/2023 13:11:18,15.06,,,
451,06/16/2023 13:14:18,15.57,,,
452,06/16/2023 13:17:18,15.66,,,
453,06/16/2023 13:20:18,14.63,,,
454,06/16/2023 13:23:18,14.84,,,
455,06/16/2023 13:26:18,15.27,,,
456,06/16/2023 13:29:18,15.53,,,
457,06/16/2023 13:32:18,15.44,,,
458,06/16/2023 13:35:18,14.33,,,
459,06/16/2023 13:38:18,14.07,,,
460,06/16/2023 13:41:18,14.07,,,
461,06/16/2023 13:44:18,13.85,,,
462,06/16/2023 13:47:18,13.43,,,
463,06/16/2023 13:50:18,13.17,,,
464,06/16/2023 13:53:18,12.82,,,
465,06/16/2023 13:56:18,13,,,
466,06/16/2023 13:59:18,13.12,,,
467,06/16/2023 14:02:18,13.12,,,
468,06/16/2023 14:05:18,12.78,,,
469,06/16/2023 14:08:18,12.87,,,
470,06/16/2023 14:11:18,12.87,,,
471,06/16/2023 14:14:18,12.91,,,
472,06/16/2023 14:17:18,13.04,,,
473,06/16/2023 14:20:18,12.87,,,
474,06/16/2023 14:23:18,12.74,,,
475,06/16/2023 14:26:18,12.61,,,
476,06/16/2023 14:29:18,12.74,,,
477,06/16/2023 14:32:18,12.44,,,
478,06/16/2023 14:35:18,12.05,,,
479,06/16/2023 14:38:18,11.97,,,
480,06/16/2023 14:41:18,11.92,,,
481,06/16/2023 14:44:18,11.88,,,
482,06/16/2023 14:47:18,12.31,,,
483,06/16/2023 14:50:18,11.92,,,
484,06/16/2023 14:53:18,11.62,,,
485,06/16/2023 14:56:18,11.41,,,
486,06/16/2023 14:59:18,10.34,,,
487,06/16/2023 15:02:18,10.21,,,
488,06/16/2023 15:05:18,9.18,,,
489,06/16/2023 15:08:18,8.36,,,
490,06/16/2023 15:11:18,8.15,,,
491,06/16/2023 15:14:18,8.28,,,
492,06/16/2023 15:17:18,8.11,,,
493,06/16/2023 15:20:18,8.23,,,
494,06/16/2023 15:23:18,8.49,,,
495,06/16/2023 15:26:18,8.83,,,
496,06/16/2023 15:29:18,9.22,,,
497,06/16/2023 15:32:18,9.35,,,
498,06/16/2023 15:35:18,9.44,,,
499,06/16/2023 15:38:18,9.09,,,
500,06/16/2023 15:41:18,9.09,,,
501,06/16/2023 15:44:18,9.01,,,
502,06/16/2023 15:47:18,8.66,,,
