#,Date-Time (MDT),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
1,09/13/2023 13:39:35,,Logged,,
2,09/13/2023 13:39:39,20.46,,,
3,09/13/2023 13:39:43,,,Logged,
4,09/13/2023 13:42:39,21.75,,,
5,09/13/2023 13:45:39,22.35,,,
6,09/13/2023 13:48:39,20.85,,,
7,09/13/2023 13:51:39,18.87,,,
8,09/13/2023 13:54:39,17.46,,,
9,09/13/2023 13:57:39,17.11,,,
10,09/13/2023 14:00:39,17.16,,,
11,09/13/2023 14:03:39,17.89,,,
12,09/13/2023 14:06:39,19.13,,,
13,09/13/2023 14:09:39,19.56,,,
14,09/13/2023 14:12:39,19.35,,,
15,09/13/2023 14:15:39,18.40,,,
16,09/13/2023 14:18:38,,,Logged,
17,09/13/2023 14:18:39,17.37,,,
18,09/13/2023 14:21:39,17.11,,,
19,09/13/2023 14:24:39,17.29,,,
20,09/13/2023 14:27:39,16.94,,,
21,09/13/2023 14:30:39,16.51,,,
22,09/13/2023 14:33:39,16.56,,,
23,09/13/2023 14:36:39,16.90,,,
24,09/13/2023 14:39:39,16.73,,,
25,09/13/2023 14:42:39,16.51,,,
26,09/13/2023 14:45:39,16.47,,,
27,09/13/2023 14:48:39,16.34,,,
28,09/13/2023 14:51:39,16.04,,,
29,09/13/2023 14:54:39,15.61,,,
30,09/13/2023 14:57:39,15.40,,,
31,09/13/2023 15:00:39,15.48,,,
32,09/13/2023 15:03:39,15.70,,,
33,09/13/2023 15:06:39,16.08,,,
34,09/13/2023 15:09:39,16.51,,,
35,09/13/2023 15:12:39,16.77,,,
36,09/13/2023 15:15:39,17.50,,,
37,09/13/2023 15:18:39,18.32,,,
38,09/13/2023 15:21:39,19.00,,,
39,09/13/2023 15:24:39,19.05,,,
40,09/13/2023 15:27:39,19.30,,,
41,09/13/2023 15:30:39,19.00,,,
42,09/13/2023 15:33:39,19.60,,,
43,09/13/2023 15:36:39,19.73,,,
44,09/13/2023 15:39:39,19.99,,,
45,09/13/2023 15:42:39,19.86,,,
46,09/13/2023 15:45:39,20.07,,,
47,09/13/2023 15:48:39,20.76,,,
48,09/13/2023 15:51:39,20.20,,,
49,09/13/2023 15:54:39,18.92,,,
50,09/13/2023 15:57:39,19.39,,,
51,09/13/2023 16:00:39,19.52,,,
52,09/13/2023 16:03:39,19.47,,,
53,09/13/2023 16:06:39,19.69,,,
54,09/13/2023 16:09:39,19.52,,,
55,09/13/2023 16:12:39,17.80,,,
56,09/13/2023 16:15:39,16.21,,,
57,09/13/2023 16:18:39,15.66,,,
58,09/13/2023 16:21:39,15.48,,,
59,09/13/2023 16:24:39,15.57,,,
60,09/13/2023 16:27:39,15.61,,,
61,09/13/2023 16:30:39,15.83,,,
62,09/13/2023 16:33:39,15.96,,,
63,09/13/2023 16:36:39,16.17,,,
64,09/13/2023 16:39:39,16.43,,,
65,09/13/2023 16:42:39,16.43,,,
66,09/13/2023 16:45:39,16.21,,,
67,09/13/2023 16:48:39,15.96,,,
68,09/13/2023 16:51:39,15.83,,,
69,09/13/2023 16:54:39,15.91,,,
70,09/13/2023 16:57:39,15.74,,,
71,09/13/2023 17:00:39,15.53,,,
72,09/13/2023 17:03:39,15.48,,,
73,09/13/2023 17:06:39,15.44,,,
74,09/13/2023 17:09:39,15.66,,,
75,09/13/2023 17:12:39,14.88,,,
76,09/13/2023 17:15:39,14.07,,,
77,09/13/2023 17:18:39,13.30,,,
78,09/13/2023 17:21:39,13.08,,,
79,09/13/2023 17:24:39,12.74,,,
80,09/13/2023 17:27:39,12.57,,,
81,09/13/2023 17:30:39,12.44,,,
82,09/13/2023 17:33:39,13.08,,,
83,09/13/2023 17:36:39,13.64,,,
84,09/13/2023 17:39:39,12.87,,,
85,09/13/2023 17:42:39,12.52,,,
86,09/13/2023 17:45:39,12.31,,,
87,09/13/2023 17:48:39,12.18,,,
88,09/13/2023 17:51:39,12.01,,,
89,09/13/2023 17:54:39,11.88,,,
90,09/13/2023 17:57:39,11.88,,,
91,09/13/2023 18:00:39,11.84,,,
92,09/13/2023 18:03:39,11.97,,,
93,09/13/2023 18:06:39,12.14,,,
94,09/13/2023 18:09:39,12.10,,,
95,09/13/2023 18:12:39,12.01,,,
96,09/13/2023 18:15:39,12.01,,,
97,09/13/2023 18:18:39,12.05,,,
98,09/13/2023 18:21:39,11.97,,,
99,09/13/2023 18:24:39,11.75,,,
100,09/13/2023 18:27:39,11.54,,,
101,09/13/2023 18:30:39,11.67,,,
102,09/13/2023 18:33:39,11.71,,,
103,09/13/2023 18:36:39,11.58,,,
104,09/13/2023 18:39:39,11.41,,,
105,09/13/2023 18:42:39,11.15,,,
106,09/13/2023 18:45:39,10.85,,,
107,09/13/2023 18:48:39,10.77,,,
108,09/13/2023 18:51:39,10.55,,,
109,09/13/2023 18:54:39,10.42,,,
110,09/13/2023 18:57:39,10.42,,,
111,09/13/2023 19:00:39,10.42,,,
112,09/13/2023 19:03:39,10.46,,,
113,09/13/2023 19:06:39,10.55,,,
114,09/13/2023 19:09:39,10.59,,,
115,09/13/2023 19:12:39,10.55,,,
116,09/13/2023 19:15:39,10.55,,,
117,09/13/2023 19:18:39,10.59,,,
118,09/13/2023 19:21:39,10.72,,,
119,09/13/2023 19:24:39,10.94,,,
120,09/13/2023 19:27:39,10.94,,,
121,09/13/2023 19:30:39,10.85,,,
122,09/13/2023 19:33:39,10.98,,,
123,09/13/2023 19:36:39,10.81,,,
124,09/13/2023 19:39:39,10.68,,,
125,09/13/2023 19:42:39,10.55,,,
126,09/13/2023 19:45:39,10.59,,,
127,09/13/2023 19:48:39,10.59,,,
128,09/13/2023 19:51:39,10.72,,,
129,09/13/2023 19:54:39,10.68,,,
130,09/13/2023 19:57:39,10.68,,,
131,09/13/2023 20:00:39,10.89,,,
132,09/13/2023 20:03:39,10.89,,,
133,09/13/2023 20:06:39,10.94,,,
134,09/13/2023 20:09:39,10.98,,,
135,09/13/2023 20:12:39,10.85,,,
136,09/13/2023 20:15:39,10.72,,,
137,09/13/2023 20:18:39,10.72,,,
138,09/13/2023 20:21:39,10.64,,,
139,09/13/2023 20:24:39,10.64,,,
140,09/13/2023 20:27:39,10.64,,,
141,09/13/2023 20:30:39,10.55,,,
142,09/13/2023 20:33:39,10.42,,,
143,09/13/2023 20:36:39,10.46,,,
144,09/13/2023 20:39:39,10.34,,,
145,09/13/2023 20:42:39,10.08,,,
146,09/13/2023 20:45:39,9.91,,,
147,09/13/2023 20:48:39,9.74,,,
148,09/13/2023 20:51:39,9.52,,,
149,09/13/2023 20:54:39,9.26,,,
150,09/13/2023 20:57:39,9.05,,,
151,09/13/2023 21:00:39,8.96,,,
152,09/13/2023 21:03:39,9.09,,,
153,09/13/2023 21:06:39,9.26,,,
154,09/13/2023 21:09:39,9.26,,,
155,09/13/2023 21:12:39,9.31,,,
156,09/13/2023 21:15:39,9.22,,,
157,09/13/2023 21:18:39,9.18,,,
158,09/13/2023 21:21:39,9.18,,,
159,09/13/2023 21:24:39,9.22,,,
160,09/13/2023 21:27:39,9.22,,,
161,09/13/2023 21:30:39,9.26,,,
162,09/13/2023 21:33:39,9.22,,,
163,09/13/2023 21:36:39,9.14,,,
164,09/13/2023 21:39:39,9.01,,,
165,09/13/2023 21:42:39,8.83,,,
166,09/13/2023 21:45:39,8.83,,,
167,09/13/2023 21:48:39,8.71,,,
168,09/13/2023 21:51:39,8.66,,,
169,09/13/2023 21:54:39,8.66,,,
170,09/13/2023 21:57:39,8.66,,,
171,09/13/2023 22:00:39,8.53,,,
172,09/13/2023 22:03:39,8.53,,,
173,09/13/2023 22:06:39,8.49,,,
174,09/13/2023 22:09:39,8.49,,,
175,09/13/2023 22:12:39,8.49,,,
176,09/13/2023 22:15:39,8.36,,,
177,09/13/2023 22:18:39,8.15,,,
178,09/13/2023 22:21:39,7.89,,,
179,09/13/2023 22:24:39,7.72,,,
180,09/13/2023 22:27:39,7.42,,,
181,09/13/2023 22:30:39,7.20,,,
182,09/13/2023 22:33:39,7.08,,,
183,09/13/2023 22:36:39,6.95,,,
184,09/13/2023 22:39:39,6.90,,,
185,09/13/2023 22:42:39,6.78,,,
186,09/13/2023 22:45:39,6.69,,,
187,09/13/2023 22:48:39,6.48,,,
188,09/13/2023 22:51:39,6.35,,,
189,09/13/2023 22:54:39,6.22,,,
190,09/13/2023 22:57:39,6.09,,,
191,09/13/2023 23:00:39,5.96,,,
192,09/13/2023 23:03:39,5.83,,,
193,09/13/2023 23:06:39,5.83,,,
194,09/13/2023 23:09:39,6.00,,,
195,09/13/2023 23:12:39,6.30,,,
196,09/13/2023 23:15:39,6.22,,,
197,09/13/2023 23:18:39,6.00,,,
198,09/13/2023 23:21:39,5.87,,,
199,09/13/2023 23:24:39,5.83,,,
200,09/13/2023 23:27:39,5.83,,,
201,09/13/2023 23:30:39,5.70,,,
202,09/13/2023 23:33:39,5.23,,,
203,09/13/2023 23:36:39,4.97,,,
204,09/13/2023 23:39:39,5.02,,,
205,09/13/2023 23:42:39,4.97,,,
206,09/13/2023 23:45:39,4.89,,,
207,09/13/2023 23:48:39,4.67,,,
208,09/13/2023 23:51:39,4.42,,,
209,09/13/2023 23:54:39,4.12,,,
210,09/13/2023 23:57:39,3.99,,,
211,09/14/2023 00:00:39,3.82,,,
212,09/14/2023 00:03:39,3.39,,,
213,09/14/2023 00:06:39,3.34,,,
214,09/14/2023 00:09:39,3.34,,,
215,09/14/2023 00:12:39,3.47,,,
216,09/14/2023 00:15:39,3.39,,,
217,09/14/2023 00:18:39,3.56,,,
218,09/14/2023 00:21:39,3.47,,,
219,09/14/2023 00:24:39,3.73,,,
220,09/14/2023 00:27:39,3.69,,,
221,09/14/2023 00:30:39,3.30,,,
222,09/14/2023 00:33:39,2.79,,,
223,09/14/2023 00:36:39,2.61,,,
224,09/14/2023 00:39:39,2.57,,,
225,09/14/2023 00:42:39,2.61,,,
226,09/14/2023 00:45:39,2.61,,,
227,09/14/2023 00:48:39,2.49,,,
228,09/14/2023 00:51:39,2.87,,,
229,09/14/2023 00:54:39,3.17,,,
230,09/14/2023 00:57:39,3.30,,,
