#,Date-Time (MST/MDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C),Host Connected,Low Power Warning,Safe Shut down Low Battery,Stopped,End of File
1,09/22/2023 04:23:50,-0.60,84.58,-2.88,,,,,
2,09/22/2023 04:26:50,-0.75,85.21,-2.93,,,,,
3,09/22/2023 04:29:50,-0.84,85.93,-2.90,,,,,
4,09/22/2023 04:32:50,-0.99,85.82,-3.06,,,,,
5,09/22/2023 04:35:50,-1.24,86.88,-3.14,,,,,
6,09/22/2023 04:38:50,-1.26,87.16,-3.12,,,,,
7,09/22/2023 04:41:50,-1.43,88.54,-3.08,,,,,
8,09/22/2023 04:44:50,-1.39,88.03,-3.12,,,,,
9,09/22/2023 04:47:50,-1.46,88.17,-3.17,,,,,
10,09/22/2023 04:50:50,-1.30,87.88,-3.05,,,,,
11,09/22/2023 04:53:50,-1.20,86.99,-3.10,,,,,
12,09/22/2023 04:56:50,-1.11,86.73,-3.04,,,,,
13,09/22/2023 04:59:50,-1.10,86.51,-3.06,,,,,
14,09/22/2023 05:02:50,-1.15,86.47,-3.12,,,,,
15,09/22/2023 05:05:50,-1.23,85.92,-3.28,,,,,
16,09/22/2023 05:08:50,-1.28,86.92,-3.18,,,,,
17,09/22/2023 05:11:50,-1.41,88.53,-3.06,,,,,
18,09/22/2023 05:14:50,-1.43,88.89,-3.03,,,,,
19,09/22/2023 05:17:50,-1.60,88.33,-3.28,,,,,
20,09/22/2023 05:20:50,-1.63,88.25,-3.33,,,,,
21,09/22/2023 05:23:50,-1.55,87.64,-3.33,,,,,
22,09/22/2023 05:26:50,-1.14,86.00,-3.18,,,,,
23,09/22/2023 05:29:50,-1.33,86.10,-3.36,,,,,
24,09/22/2023 05:32:50,-1.70,88.12,-3.41,,,,,
25,09/22/2023 05:35:50,-1.70,87.41,-3.52,,,,,
26,09/22/2023 05:38:50,-1.62,87.63,-3.41,,,,,
27,09/22/2023 05:41:50,-1.69,87.37,-3.51,,,,,
28,09/22/2023 05:44:50,-1.83,88.19,-3.52,,,,,
29,09/22/2023 05:47:50,-1.74,88.17,-3.44,,,,,
