#,Date-Time (MST),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
1,12/16/2023 15:32:42,,Logged,,
2,12/16/2023 15:32:48,15.01,,,
3,12/16/2023 15:32:53,,,Logged,
4,12/16/2023 15:35:48,7.59,,,
5,12/16/2023 15:38:48,3.60,,,
6,12/16/2023 15:41:48,2.44,,,
7,12/16/2023 15:44:48,1.93,,,
8,12/16/2023 15:47:48,1.80,,,
9,12/16/2023 15:50:48,1.50,,,
10,12/16/2023 15:53:48,1.20,,,
11,12/16/2023 15:56:48,0.86,,,
12,12/16/2023 15:59:48,0.21,,,
13,12/16/2023 16:02:48,-0.17,,,
14,12/16/2023 16:05:48,-0.47,,,
15,12/16/2023 16:08:48,-0.69,,,
16,12/16/2023 16:11:48,-0.73,,,
17,12/16/2023 16:14:48,-1.03,,,
18,12/16/2023 16:17:48,-1.33,,,
19,12/16/2023 16:20:48,-1.85,,,
20,12/16/2023 16:23:48,-2.41,,,
21,12/16/2023 16:26:48,-2.45,,,
22,12/16/2023 16:29:48,-2.53,,,
23,12/16/2023 16:32:48,-2.83,,,
24,12/16/2023 16:35:48,-2.96,,,
25,12/16/2023 16:38:48,-3.13,,,
26,12/16/2023 16:41:48,-3.48,,,
27,12/16/2023 16:44:48,-3.74,,,
28,12/16/2023 16:47:48,-4.12,,,
29,12/16/2023 16:50:48,-4.21,,,
30,12/16/2023 16:53:48,-4.42,,,
31,12/16/2023 16:56:48,-4.64,,,
32,12/16/2023 16:59:48,-4.72,,,
33,12/16/2023 17:02:48,-4.68,,,
34,12/16/2023 17:05:48,-4.76,,,
35,12/16/2023 17:08:48,-5.24,,,
36,12/16/2023 17:11:48,-5.02,,,
37,12/16/2023 17:14:48,-4.85,,,
38,12/16/2023 17:17:48,-4.85,,,
39,12/16/2023 17:20:48,-4.98,,,
40,12/16/2023 17:23:48,-5.37,,,
41,12/16/2023 17:26:48,-5.97,,,
42,12/16/2023 17:29:48,-5.75,,,
43,12/16/2023 17:32:48,-5.75,,,
44,12/16/2023 17:35:48,-6.39,,,
45,12/16/2023 17:38:48,-6.65,,,
46,12/16/2023 17:41:48,-6.95,,,
47,12/16/2023 17:44:48,-7.00,,,
48,12/16/2023 17:47:48,-7.08,,,
49,12/16/2023 17:50:48,-7.17,,,
50,12/16/2023 17:53:48,-7.00,,,
51,12/16/2023 17:56:48,-7.04,,,
52,12/16/2023 17:59:48,-6.87,,,
53,12/16/2023 18:02:48,-7.00,,,
54,12/16/2023 18:05:48,-7.12,,,
55,12/16/2023 18:08:48,-7.30,,,
56,12/16/2023 18:11:48,-8.03,,,
57,12/16/2023 18:14:48,-7.94,,,
58,12/16/2023 18:17:48,-8.33,,,
59,12/16/2023 18:20:48,-8.24,,,
60,12/16/2023 18:23:48,-8.20,,,
61,12/16/2023 18:26:48,-8.41,,,
62,12/16/2023 18:29:48,-8.54,,,
63,12/16/2023 18:32:48,-8.45,,,
64,12/16/2023 18:35:48,-8.45,,,
65,12/16/2023 18:38:48,-8.45,,,
66,12/16/2023 18:41:48,-7.98,,,
67,12/16/2023 18:44:48,-7.98,,,
68,12/16/2023 18:47:48,-8.88,,,
69,12/16/2023 18:50:48,-9.61,,,
70,12/16/2023 18:53:48,-9.74,,,
71,12/16/2023 18:56:48,-9.74,,,
72,12/16/2023 18:59:48,-9.78,,,
73,12/16/2023 19:02:48,-9.74,,,
74,12/16/2023 19:05:48,-9.66,,,
75,12/16/2023 19:08:48,-9.91,,,
76,12/16/2023 19:11:48,-10.04,,,
77,12/16/2023 19:14:48,-9.87,,,
78,12/16/2023 19:17:48,-9.70,,,
79,12/16/2023 19:20:48,-9.78,,,
80,12/16/2023 19:23:48,-9.83,,,
81,12/16/2023 19:26:48,-10.13,,,
82,12/16/2023 19:29:48,-10.30,,,
83,12/16/2023 19:32:48,-10.26,,,
84,12/16/2023 19:35:48,-10.51,,,
85,12/16/2023 19:38:48,-10.51,,,
86,12/16/2023 19:41:48,-10.43,,,
87,12/16/2023 19:44:48,-10.47,,,
88,12/16/2023 19:47:48,-10.30,,,
89,12/16/2023 19:50:48,-10.17,,,
