#,Date-Time (MST),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
1,12/15/2023 12:54:08,,Logged,,
2,12/15/2023 12:54:13,20.93,,,
3,12/15/2023 12:57:13,13.12,,,
4,12/15/2023 13:00:13,3.21,,,
5,12/15/2023 13:01:16,,,Logged,
6,12/15/2023 13:03:13,2.74,,,
7,12/15/2023 13:06:13,1.24,,,
8,12/15/2023 13:09:13,1.11,,,
9,12/15/2023 13:12:13,1.20,,,
10,12/15/2023 13:15:13,2.01,,,
11,12/15/2023 13:18:13,2.91,,,
12,12/15/2023 13:21:13,3.77,,,
13,12/15/2023 13:24:13,3.99,,,
14,12/15/2023 13:27:13,3.90,,,
15,12/15/2023 13:30:13,3.99,,,
16,12/15/2023 13:33:13,5.36,,,
17,12/15/2023 13:36:13,5.45,,,
18,12/15/2023 13:39:13,3.86,,,
19,12/15/2023 13:42:13,1.54,,,
20,12/15/2023 13:45:13,2.23,,,
21,12/15/2023 13:48:13,4.24,,,
22,12/15/2023 13:51:13,5.83,,,
23,12/15/2023 13:54:13,6.05,,,
24,12/15/2023 13:57:13,5.32,,,
25,12/15/2023 14:00:13,4.29,,,
26,12/15/2023 14:03:13,4.80,,,
27,12/15/2023 14:06:13,3.13,,,
28,12/15/2023 14:09:13,4.33,,,
29,12/15/2023 14:12:13,4.37,,,
30,12/15/2023 14:15:13,2.23,,,
31,12/15/2023 14:18:13,3.64,,,
32,12/15/2023 14:21:13,3.90,,,
33,12/15/2023 14:24:13,4.07,,,
34,12/15/2023 14:27:13,4.16,,,
35,12/15/2023 14:30:13,3.94,,,
36,12/15/2023 14:33:13,3.77,,,
37,12/15/2023 14:36:13,3.82,,,
38,12/15/2023 14:39:13,3.77,,,
39,12/15/2023 14:42:13,3.77,,,
40,12/15/2023 14:45:13,3.69,,,
41,12/15/2023 14:48:13,3.82,,,
42,12/15/2023 14:51:13,3.77,,,
43,12/15/2023 14:54:13,3.82,,,
44,12/15/2023 14:57:13,3.64,,,
