#,Date-Time (MST),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
1,12/17/2023 11:31:40,,Logged,,
2,12/17/2023 11:31:45,0.73,,,
3,12/17/2023 11:34:45,2.79,,,
4,12/17/2023 11:37:45,1.16,,,
5,12/17/2023 11:40:45,-0.17,,,
6,12/17/2023 11:40:58,,,Logged,
7,12/17/2023 11:43:45,-0.95,,,
8,12/17/2023 11:46:45,-0.90,,,
9,12/17/2023 11:49:45,-0.22,,,
10,12/17/2023 11:52:45,0.04,,,
11,12/17/2023 11:55:45,0.90,,,
12,12/17/2023 11:58:45,1.28,,,
13,12/17/2023 12:01:45,1.63,,,
14,12/17/2023 12:04:45,1.63,,,
15,12/17/2023 12:07:45,1.33,,,
16,12/17/2023 12:10:45,2.31,,,
17,12/17/2023 12:13:45,1.54,,,
18,12/17/2023 12:16:45,1.37,,,
19,12/17/2023 12:19:45,1.07,,,
20,12/17/2023 12:22:45,1.63,,,
21,12/17/2023 12:25:45,1.71,,,
22,12/17/2023 12:28:45,1.28,,,
23,12/17/2023 12:31:45,1.80,,,
24,12/17/2023 12:34:45,0.86,,,
25,12/17/2023 12:37:45,1.16,,,
26,12/17/2023 12:40:45,1.46,,,
27,12/17/2023 12:43:45,1.20,,,
28,12/17/2023 12:46:45,1.97,,,
29,12/17/2023 12:49:45,2.49,,,
30,12/17/2023 12:52:45,2.36,,,
31,12/17/2023 12:55:45,1.76,,,
32,12/17/2023 12:58:45,2.06,,,
33,12/17/2023 13:01:45,1.88,,,
34,12/17/2023 13:04:45,1.76,,,
35,12/17/2023 13:07:45,1.80,,,
36,12/17/2023 13:10:45,1.71,,,
37,12/17/2023 13:13:45,2.57,,,
38,12/17/2023 13:16:45,2.61,,,
39,12/17/2023 13:19:45,2.91,,,
40,12/17/2023 13:22:45,3.56,,,
41,12/17/2023 13:25:45,2.91,,,
42,12/17/2023 13:28:45,2.83,,,
43,12/17/2023 13:31:45,2.53,,,
44,12/17/2023 13:34:45,2.57,,,
45,12/17/2023 13:37:45,3.00,,,
46,12/17/2023 13:40:45,3.21,,,
47,12/17/2023 13:43:45,3.73,,,
48,12/17/2023 13:46:45,2.79,,,
49,12/17/2023 13:49:45,2.96,,,
50,12/17/2023 13:52:45,3.26,,,
51,12/17/2023 13:55:45,3.21,,,
52,12/17/2023 13:58:45,3.64,,,
53,12/17/2023 14:01:45,3.26,,,
54,12/17/2023 14:04:45,3.04,,,
55,12/17/2023 14:07:45,3.73,,,
56,12/17/2023 14:10:45,3.39,,,
57,12/17/2023 14:13:45,3.34,,,
58,12/17/2023 14:16:45,3.56,,,
59,12/17/2023 14:19:45,3.60,,,
60,12/17/2023 14:22:45,3.90,,,
61,12/17/2023 14:25:45,3.64,,,
62,12/17/2023 14:28:45,3.56,,,
63,12/17/2023 14:31:45,3.52,,,
64,12/17/2023 14:34:45,3.60,,,
65,12/17/2023 14:37:45,3.04,,,
66,12/17/2023 14:40:45,3.30,,,
67,12/17/2023 14:43:45,3.17,,,
68,12/17/2023 14:46:45,2.96,,,
69,12/17/2023 14:49:45,2.79,,,
70,12/17/2023 14:52:45,2.87,,,
71,12/17/2023 14:55:45,2.70,,,
72,12/17/2023 14:58:45,2.83,,,
73,12/17/2023 15:01:45,2.83,,,
74,12/17/2023 15:04:45,3.26,,,
75,12/17/2023 15:07:45,3.09,,,
76,12/17/2023 15:10:45,3.21,,,
