#,Date-Time (MST),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
1,12/16/2023 11:59:44,,Logged,,
2,12/16/2023 11:59:50,10.89,,,
3,12/16/2023 12:02:50,5.32,,,
4,12/16/2023 12:03:48,,,Logged,
5,12/16/2023 12:05:50,4.80,,,
6,12/16/2023 12:08:50,1.07,,,
7,12/16/2023 12:11:50,0.08,,,
8,12/16/2023 12:14:50,-0.26,,,
9,12/16/2023 12:17:50,0.51,,,
10,12/16/2023 12:20:50,0.60,,,
11,12/16/2023 12:23:50,0.68,,,
12,12/16/2023 12:26:50,0.68,,,
13,12/16/2023 12:29:50,0.86,,,
14,12/16/2023 12:32:50,1.16,,,
15,12/16/2023 12:35:50,1.97,,,
16,12/16/2023 12:38:50,1.16,,,
17,12/16/2023 12:41:50,2.19,,,
18,12/16/2023 12:44:50,3.34,,,
19,12/16/2023 12:47:50,4.80,,,
20,12/16/2023 12:50:50,3.21,,,
21,12/16/2023 12:53:50,1.37,,,
22,12/16/2023 12:56:50,2.01,,,
23,12/16/2023 12:59:50,3.21,,,
24,12/16/2023 13:02:50,3.86,,,
25,12/16/2023 13:05:50,4.63,,,
26,12/16/2023 13:08:50,4.03,,,
27,12/16/2023 13:11:50,3.69,,,
28,12/16/2023 13:14:50,2.74,,,
29,12/16/2023 13:17:50,3.26,,,
30,12/16/2023 13:20:50,3.52,,,
31,12/16/2023 13:23:50,4.84,,,
32,12/16/2023 13:26:50,4.93,,,
33,12/16/2023 13:29:50,5.06,,,
34,12/16/2023 13:32:50,5.83,,,
35,12/16/2023 13:35:50,4.93,,,
36,12/16/2023 13:38:50,5.40,,,
37,12/16/2023 13:41:50,5.75,,,
38,12/16/2023 13:44:50,5.62,,,
39,12/16/2023 13:47:50,5.27,,,
40,12/16/2023 13:50:50,5.62,,,
41,12/16/2023 13:53:50,5.96,,,
42,12/16/2023 13:56:50,4.54,,,
43,12/16/2023 13:59:50,3.13,,,
44,12/16/2023 14:02:50,2.70,,,
45,12/16/2023 14:05:50,3.69,,,
46,12/16/2023 14:08:50,4.37,,,
47,12/16/2023 14:11:50,3.69,,,
48,12/16/2023 14:14:50,3.56,,,
49,12/16/2023 14:17:50,2.36,,,
50,12/16/2023 14:20:50,3.21,,,
51,12/16/2023 14:23:50,3.00,,,
52,12/16/2023 14:26:50,3.26,,,
53,12/16/2023 14:29:50,3.43,,,
54,12/16/2023 14:32:50,3.90,,,
55,12/16/2023 14:35:50,3.52,,,
56,12/16/2023 14:38:50,3.13,,,
57,12/16/2023 14:41:50,3.34,,,
58,12/16/2023 14:44:50,3.00,,,
59,12/16/2023 14:47:50,3.04,,,
60,12/16/2023 14:50:50,3.30,,,
61,12/16/2023 14:53:50,4.07,,,
62,12/16/2023 14:56:50,4.24,,,
63,12/16/2023 14:59:50,2.79,,,
64,12/16/2023 15:02:50,1.80,,,
65,12/16/2023 15:05:50,1.63,,,
66,12/16/2023 15:08:50,1.54,,,
67,12/16/2023 15:11:50,1.41,,,
68,12/16/2023 15:14:50,1.50,,,
69,12/16/2023 15:17:50,1.54,,,
70,12/16/2023 15:20:50,1.37,,,
71,12/16/2023 15:23:50,1.50,,,
72,12/16/2023 15:26:50,1.54,,,
73,12/16/2023 15:29:50,1.50,,,
74,12/16/2023 15:32:50,1.50,,,
75,12/16/2023 15:35:50,1.54,,,
76,12/16/2023 15:38:50,1.54,,,
77,12/16/2023 15:41:50,1.41,,,
78,12/16/2023 15:44:50,1.33,,,
79,12/16/2023 15:47:50,1.33,,,
80,12/16/2023 15:50:50,1.16,,,
81,12/16/2023 15:53:50,0.90,,,
82,12/16/2023 15:56:50,0.68,,,
83,12/16/2023 15:59:50,0.47,,,
84,12/16/2023 16:02:50,0.34,,,
85,12/16/2023 16:05:50,0.13,,,
86,12/16/2023 16:08:50,-0.22,,,
87,12/16/2023 16:11:50,-0.30,,,
88,12/16/2023 16:14:50,-0.43,,,
89,12/16/2023 16:17:50,-0.65,,,
90,12/16/2023 16:20:50,-0.99,,,
91,12/16/2023 16:23:50,-1.25,,,
92,12/16/2023 16:26:50,-1.63,,,
93,12/16/2023 16:29:50,-2.06,,,
94,12/16/2023 16:32:50,-2.28,,,
95,12/16/2023 16:35:50,-2.41,,,
96,12/16/2023 16:38:50,-2.53,,,
97,12/16/2023 16:41:50,-2.62,,,
98,12/16/2023 16:44:50,-2.92,,,
99,12/16/2023 16:47:50,-3.13,,,
100,12/16/2023 16:50:50,-3.35,,,
101,12/16/2023 16:53:50,-3.48,,,
102,12/16/2023 16:56:50,-3.65,,,
103,12/16/2023 16:59:50,-3.69,,,
104,12/16/2023 17:02:50,-3.69,,,
105,12/16/2023 17:05:50,-3.82,,,
106,12/16/2023 17:08:50,-4.12,,,
107,12/16/2023 17:11:50,-4.29,,,
108,12/16/2023 17:14:50,-4.51,,,
109,12/16/2023 17:17:50,-4.68,,,
110,12/16/2023 17:20:50,-4.76,,,
111,12/16/2023 17:23:50,-4.72,,,
112,12/16/2023 17:26:50,-4.59,,,
113,12/16/2023 17:29:50,-4.68,,,
114,12/16/2023 17:32:50,-4.76,,,
115,12/16/2023 17:35:50,-4.59,,,
116,12/16/2023 17:38:50,-4.85,,,
117,12/16/2023 17:41:50,-5.15,,,
118,12/16/2023 17:44:50,-5.19,,,
119,12/16/2023 17:47:50,-5.37,,,
120,12/16/2023 17:50:50,-5.67,,,
121,12/16/2023 17:53:50,-5.79,,,
122,12/16/2023 17:56:50,-5.92,,,
123,12/16/2023 17:59:50,-6.09,,,
124,12/16/2023 18:02:50,-6.35,,,
125,12/16/2023 18:05:50,-6.48,,,
126,12/16/2023 18:08:50,-6.57,,,
127,12/16/2023 18:11:50,-6.22,,,
128,12/16/2023 18:14:50,-6.39,,,
129,12/16/2023 18:17:50,-6.70,,,
130,12/16/2023 18:20:50,-6.82,,,
131,12/16/2023 18:23:50,-6.95,,,
132,12/16/2023 18:26:50,-7.17,,,
133,12/16/2023 18:29:50,-7.21,,,
134,12/16/2023 18:32:50,-7.42,,,
135,12/16/2023 18:35:50,-7.38,,,
136,12/16/2023 18:38:50,-7.42,,,
137,12/16/2023 18:41:50,-7.47,,,
138,12/16/2023 18:44:50,-7.64,,,
