#,Date-Time (MST),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C),Button Down,Host Connected,End of File
1,12/15/2023 11:37:01,,,,Logged,,
2,12/15/2023 11:37:06,8.30,42.38,-3.73,,,
3,12/15/2023 11:40:06,6.83,42.54,-5.01,,,
4,12/15/2023 11:43:06,3.80,48.97,-5.93,,,
5,12/15/2023 11:46:06,2.95,51.66,-6.02,,,
6,12/15/2023 11:49:06,2.61,54.67,-5.59,,,
7,12/15/2023 11:52:06,2.81,52.60,-5.92,,,
8,12/15/2023 11:55:06,2.37,52.93,-6.24,,,
9,12/15/2023 11:58:06,2.53,53.03,-6.07,,,
10,12/15/2023 12:01:06,2.75,52.00,-6.12,,,
11,12/15/2023 12:04:06,2.89,51.58,-6.09,,,
12,12/15/2023 12:07:06,2.58,51.85,-6.31,,,
13,12/15/2023 12:10:06,3.13,52.07,-5.75,,,
14,12/15/2023 12:13:06,2.76,52.78,-5.91,,,
15,12/15/2023 12:16:06,3.01,50.46,-6.27,,,
16,12/15/2023 12:19:06,2.66,51.77,-6.27,,,
17,12/15/2023 12:22:06,3.27,49.82,-6.20,,,
18,12/15/2023 12:25:06,3.28,50.07,-6.12,,,
19,12/15/2023 12:28:06,3.15,50.27,-6.19,,,
20,12/15/2023 12:31:06,3.73,50.94,-5.48,,,
21,12/15/2023 12:34:06,4.54,46.39,-5.96,,,
22,12/15/2023 12:37:06,4.92,46.76,-5.51,,,
23,12/15/2023 12:40:06,5.10,45.88,-5.59,,,
24,12/15/2023 12:43:06,3.98,48.27,-5.96,,,
25,12/15/2023 12:46:06,3.75,50.09,-5.68,,,
26,12/15/2023 12:49:06,3.57,48.48,-6.28,,,
27,12/15/2023 12:52:06,3.72,47.69,-6.36,,,
28,12/15/2023 12:55:06,4.17,49.03,-5.58,,,
29,12/15/2023 12:58:06,4.71,47.02,-5.63,,,
30,12/15/2023 13:01:06,4.27,47.83,-5.81,,,
31,12/15/2023 13:04:06,4.67,47.63,-5.49,,,
32,12/15/2023 13:07:06,4.54,46.49,-5.93,,,
33,12/15/2023 13:10:06,5.02,45.39,-5.81,,,
34,12/15/2023 13:13:06,5.45,43.99,-5.83,,,
35,12/15/2023 13:16:06,6.04,44.77,-5.06,,,
36,12/15/2023 13:19:06,6.23,41.95,-5.74,,,
37,12/15/2023 13:22:06,6.11,41.86,-5.88,,,
38,12/15/2023 13:25:06,6.02,41.85,-5.96,,,
39,12/15/2023 13:28:06,6.30,43.04,-5.34,,,
40,12/15/2023 13:31:06,4.75,46.24,-5.81,,,
41,12/15/2023 13:34:06,5.16,46.29,-5.42,,,
42,12/15/2023 13:37:06,5.60,44.58,-5.52,,,
43,12/15/2023 13:40:06,6.45,42.05,-5.51,,,
44,12/15/2023 13:43:06,6.23,42.36,-5.61,,,
45,12/15/2023 13:46:06,6.13,41.70,-5.91,,,
46,12/15/2023 13:49:06,5.95,43.00,-5.67,,,
47,12/15/2023 13:52:06,6.39,41.92,-5.61,,,
48,12/15/2023 13:55:06,6.50,41.69,-5.58,,,
49,12/15/2023 13:58:06,6.68,40.32,-5.85,,,
50,12/15/2023 14:01:06,6.84,39.70,-5.91,,,
51,12/15/2023 14:04:06,6.88,39.89,-5.81,,,
52,12/15/2023 14:07:06,7.18,39.13,-5.79,,,
53,12/15/2023 14:10:06,6.96,38.67,-6.15,,,
54,12/15/2023 14:13:06,7.17,37.99,-6.19,,,
55,12/15/2023 14:16:06,7.24,36.93,-6.50,,,
56,12/15/2023 14:19:06,7.02,37.63,-6.44,,,
57,12/15/2023 14:22:06,7.52,37.28,-6.13,,,
58,12/15/2023 14:25:06,7.20,36.71,-6.61,,,
59,12/15/2023 14:28:06,6.98,39.15,-5.97,,,
60,12/15/2023 14:31:06,7.20,39.88,-5.52,,,
61,12/15/2023 14:34:06,6.72,41.48,-5.44,,,
62,12/15/2023 14:37:06,6.14,42.33,-5.70,,,
63,12/15/2023 14:40:06,6.66,41.90,-5.37,,,
64,12/15/2023 14:43:06,6.49,42.00,-5.49,,,
65,12/15/2023 14:46:06,7.13,40.04,-5.54,,,
66,12/15/2023 14:49:06,6.81,39.49,-6.01,,,
67,12/15/2023 14:52:06,6.87,39.48,-5.95,,,
68,12/15/2023 14:55:06,7.65,37.63,-5.88,,,
69,12/15/2023 14:58:06,7.63,37.30,-6.02,,,
70,12/15/2023 15:01:06,8.22,38.06,-5.22,,,
71,12/15/2023 15:04:06,7.86,37.50,-5.74,,,
72,12/15/2023 15:07:06,7.05,38.97,-5.96,,,
73,12/15/2023 15:10:06,7.32,38.07,-6.03,,,
74,12/15/2023 15:13:06,7.79,37.63,-5.75,,,
75,12/15/2023 15:16:06,7.65,36.93,-6.13,,,
76,12/15/2023 15:19:06,7.84,37.05,-5.92,,,
77,12/15/2023 15:22:06,7.47,37.39,-6.13,,,
78,12/15/2023 15:25:06,7.11,37.95,-6.26,,,
79,12/15/2023 15:28:06,7.33,38.24,-5.96,,,
80,12/15/2023 15:31:06,7.52,35.90,-6.62,,,
81,12/15/2023 15:34:06,7.42,36.77,-6.39,,,
82,12/15/2023 15:37:06,7.78,36.87,-6.03,,,
83,12/15/2023 15:40:06,7.58,38.37,-5.69,,,
84,12/15/2023 15:43:06,7.11,37.19,-6.52,,,
85,12/15/2023 15:46:06,7.12,36.52,-6.75,,,
86,12/15/2023 15:49:06,7.56,37.16,-6.13,,,
87,12/15/2023 15:52:06,7.50,36.93,-6.26,,,
88,12/15/2023 15:55:06,6.78,37.64,-6.66,,,
89,12/15/2023 15:58:06,6.61,38.96,-6.36,,,
90,12/15/2023 16:01:06,6.81,39.05,-6.15,,,
91,12/15/2023 16:04:06,6.09,39.52,-6.64,,,
92,12/15/2023 16:07:06,6.25,39.31,-6.57,,,
93,12/15/2023 16:10:06,6.22,39.58,-6.51,,,
94,12/15/2023 16:13:06,6.27,39.08,-6.63,,,
95,12/15/2023 16:16:06,6.19,38.87,-6.77,,,
96,12/15/2023 16:19:06,5.95,39.88,-6.65,,,
97,12/15/2023 16:22:06,5.28,40.94,-6.91,,,
98,12/15/2023 16:25:06,4.38,43.29,-7.01,,,
99,12/15/2023 16:28:06,3.53,45.72,-7.08,,,
100,12/15/2023 16:31:06,2.57,49.81,-6.85,,,
101,12/15/2023 16:34:06,1.73,52.33,-6.98,,,
102,12/15/2023 16:37:06,0.95,57.82,-6.42,,,
103,12/15/2023 16:40:06,0.45,57.86,-6.88,,,
104,12/15/2023 16:43:06,0.04,59.81,-6.84,,,
105,12/15/2023 16:46:06,-0.60,66.21,-6.12,,,
106,12/15/2023 16:49:06,-1.15,66.42,-6.61,,,
107,12/15/2023 16:52:06,-1.63,67.04,-6.95,,,
108,12/15/2023 16:55:06,-1.83,65.88,-7.36,,,
109,12/15/2023 16:58:06,-2.15,66.97,-7.45,,,
110,12/15/2023 17:01:06,-2.48,70.32,-7.14,,,
111,12/15/2023 17:04:06,-2.60,70.12,-7.29,,,
112,12/15/2023 17:07:06,-2.67,70.69,-7.26,,,
113,12/15/2023 17:10:06,-2.52,69.92,-7.26,,,
114,12/15/2023 17:13:06,-2.41,68.13,-7.48,,,
115,12/15/2023 17:16:06,-1.94,66.51,-7.35,,,
116,12/15/2023 17:19:06,-1.72,66.46,-7.14,,,
117,12/15/2023 17:22:06,-2.06,67.61,-7.25,,,
118,12/15/2023 17:25:06,-2.57,69.21,-7.43,,,
119,12/15/2023 17:28:06,-3.08,69.90,-7.80,,,
120,12/15/2023 17:31:06,-3.51,71.38,-7.94,,,
121,12/15/2023 17:34:06,-3.86,70.75,-8.39,,,
122,12/15/2023 17:37:06,-4.01,71.41,-8.42,,,
123,12/15/2023 17:40:06,-4.11,74.22,-8.02,,,
124,12/15/2023 17:43:06,-4.30,74.14,-8.22,,,
125,12/15/2023 17:46:06,-4.21,73.60,-8.22,,,
126,12/15/2023 17:49:06,-4.23,73.36,-8.28,,,
127,12/15/2023 17:52:06,-4.31,73.33,-8.37,,,
128,12/15/2023 17:55:06,-4.31,72.56,-8.51,,,
129,12/15/2023 17:58:06,-4.23,72.45,-8.44,,,
130,12/15/2023 18:01:06,-4.14,71.62,-8.51,,,
131,12/15/2023 18:04:06,-4.17,73.21,-8.26,,,
132,12/15/2023 18:07:06,-4.35,74.70,-8.16,,,
133,12/15/2023 18:10:06,-4.58,74.32,-8.46,,,
134,12/15/2023 18:13:06,-4.76,75.18,-8.49,,,
135,12/15/2023 18:16:06,-4.88,75.01,-8.63,,,
136,12/15/2023 18:19:06,-4.72,74.98,-8.48,,,
137,12/15/2023 18:22:06,-4.19,71.53,-8.56,,,
138,12/15/2023 18:25:06,-4.34,73.59,-8.35,,,
139,12/15/2023 18:28:06,-4.63,76.17,-8.18,,,
140,12/15/2023 18:31:06,-5.04,74.95,-8.80,,,
141,12/15/2023 18:34:06,-5.42,76.41,-8.92,,,
142,12/15/2023 18:37:06,-5.57,78.34,-8.74,,,
143,12/15/2023 18:40:06,-5.59,78.23,-8.78,,,
144,12/15/2023 18:43:06,-5.84,79.52,-8.81,,,
145,12/15/2023 18:46:06,-6.00,82.45,-8.51,,,
146,12/15/2023 18:49:06,-6.12,82.18,-8.67,,,
147,12/15/2023 18:52:06,-6.21,83.01,-8.63,,,
148,12/15/2023 18:55:06,-6.51,82.47,-9.01,,,
149,12/15/2023 18:58:06,-6.71,83.34,-9.07,,,
150,12/15/2023 19:01:06,-6.83,84.40,-9.03,,,
151,12/15/2023 19:04:06,-6.90,83.59,-9.22,,,
152,12/15/2023 19:07:06,-6.95,83.91,-9.22,,,
153,12/15/2023 19:10:06,-6.81,82.69,-9.27,,,
154,12/15/2023 19:13:06,-6.83,82.39,-9.34,,,
155,12/15/2023 19:16:06,-6.72,82.96,-9.13,,,
156,12/15/2023 19:19:06,-6.70,83.31,-9.06,,,
157,12/15/2023 19:22:06,-6.81,83.32,-9.17,,,
158,12/15/2023 19:25:06,-7.01,83.77,-9.30,,,
159,12/15/2023 19:28:06,-7.11,81.66,-9.72,,,
160,12/15/2023 19:31:06,-7.17,80.20,-10.00,,,
161,12/15/2023 19:34:06,-7.32,80.69,-10.07,,,
162,12/15/2023 19:37:06,-7.36,81.01,-10.07,,,
163,12/15/2023 19:40:06,-7.38,80.84,-10.11,,,
164,12/15/2023 19:43:06,-7.61,81.52,-10.23,,,
165,12/15/2023 19:46:06,-7.84,84.64,-9.99,,,
166,12/15/2023 19:49:06,-8.08,85.47,-10.10,,,
167,12/15/2023 19:52:06,-8.15,86.41,-10.03,,,
168,12/15/2023 19:55:06,-8.25,85.60,-10.24,,,
169,12/15/2023 19:58:06,-8.33,84.15,-10.53,,,
170,12/15/2023 20:01:06,-8.46,85.25,-10.51,,,
171,12/15/2023 20:04:06,-8.46,85.40,-10.49,,,
172,12/15/2023 20:07:06,-8.41,85.75,-10.38,,,
173,12/15/2023 20:10:06,-8.48,85.43,-10.49,,,
174,12/15/2023 20:13:06,-8.36,87.78,-10.03,,,
175,12/15/2023 20:16:06,-8.15,85.05,-10.23,,,
176,12/15/2023 20:19:06,-8.29,84.77,-10.41,,,
177,12/15/2023 20:22:06,-8.45,87.38,-10.19,,,
178,12/15/2023 20:25:06,-8.55,87.37,-10.28,,,
179,12/15/2023 20:28:06,-8.57,86.19,-10.48,,,
180,12/15/2023 20:31:06,-8.56,84.74,-10.68,,,
181,12/15/2023 20:34:06,-8.31,84.57,-10.46,,,
182,12/15/2023 20:37:06,-8.12,82.68,-10.56,,,
183,12/15/2023 20:40:06,-8.15,82.69,-10.59,,,
184,12/15/2023 20:43:06,-8.11,82.00,-10.65,,,
185,12/15/2023 20:46:06,-7.77,80.23,-10.59,,,
186,12/15/2023 20:49:06,-7.29,78.94,-10.32,,,
187,12/15/2023 20:52:06,-6.94,77.41,-10.23,,,
188,12/15/2023 20:55:06,-6.65,76.21,-10.15,,,
189,12/15/2023 20:58:06,-6.52,75.21,-10.19,,,
190,12/15/2023 21:01:06,-6.49,75.40,-10.13,,,
191,12/15/2023 21:04:06,-6.04,73.66,-9.98,,,
192,12/15/2023 21:07:06,-5.78,72.74,-9.89,,,
193,12/15/2023 21:10:06,-6.09,74.01,-9.98,,,
194,12/15/2023 21:13:06,-6.31,74.04,-10.18,,,
195,12/15/2023 21:16:06,-6.35,74.21,-10.19,,,
196,12/15/2023 21:19:06,-6.39,73.84,-10.30,,,
197,12/15/2023 21:22:06,-6.52,74.11,-10.37,,,
198,12/15/2023 21:25:06,-6.57,74.44,-10.36,,,
199,12/15/2023 21:28:06,-6.76,75.27,-10.41,,,
200,12/15/2023 21:31:06,-7.05,76.67,-10.46,,,
201,12/15/2023 21:34:06,-7.42,79.15,-10.42,,,
202,12/15/2023 21:37:06,-7.72,79.93,-10.59,,,
203,12/15/2023 21:40:06,-8.12,83.49,-10.43,,,
204,12/15/2023 21:43:06,-8.31,84.34,-10.49,,,
205,12/15/2023 21:46:06,-8.52,82.83,-10.92,,,
206,12/15/2023 21:49:06,-8.79,84.51,-10.93,,,
207,12/15/2023 21:52:06,-9.08,84.81,-11.17,,,
208,12/15/2023 21:55:06,-9.51,83.65,-11.77,,,
209,12/15/2023 21:58:06,-9.87,85.57,-11.84,,,
210,12/15/2023 22:01:06,-10.11,89.24,-11.55,,,
211,12/15/2023 22:04:06,-10.12,90.63,-11.37,,,
212,12/15/2023 22:07:06,-10.25,90.21,-11.56,,,
213,12/15/2023 22:10:06,-10.31,90.67,-11.56,,,
214,12/15/2023 22:13:06,-10.31,89.00,-11.79,,,
215,12/15/2023 22:16:06,-10.48,88.27,-12.06,,,
216,12/15/2023 22:19:06,-10.32,91.42,-11.47,,,
217,12/15/2023 22:22:06,-10.18,91.39,-11.33,,,
218,12/15/2023 22:25:06,-9.52,88.00,-11.15,,,
219,12/15/2023 22:28:06,-8.93,82.62,-11.35,,,
220,12/15/2023 22:31:06,-8.95,84.50,-11.09,,,
221,12/15/2023 22:34:06,-9.05,85.03,-11.12,,,
222,12/15/2023 22:37:06,-9.28,85.02,-11.34,,,
223,12/15/2023 22:40:06,-9.49,86.75,-11.30,,,
224,12/15/2023 22:43:06,-9.41,84.59,-11.53,,,
225,12/15/2023 22:46:06,-9.54,87.36,-11.26,,,
226,12/15/2023 22:49:06,-9.82,86.76,-11.62,,,
