#,Date-Time (MST),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
1,12/15/2023 13:50:23,,Logged,,
2,12/15/2023 13:50:28,17.67,,,
3,12/15/2023 13:53:28,10.55,,,
4,12/15/2023 13:55:35,,,Logged,
5,12/15/2023 13:56:28,4.20,,,
6,12/15/2023 13:59:28,2.19,,,
7,12/15/2023 14:02:28,2.49,,,
8,12/15/2023 14:05:28,2.10,,,
9,12/15/2023 14:08:28,2.44,,,
10,12/15/2023 14:11:28,3.04,,,
11,12/15/2023 14:14:28,3.56,,,
12,12/15/2023 14:17:28,3.56,,,
13,12/15/2023 14:20:28,4.37,,,
14,12/15/2023 14:23:28,3.77,,,
15,12/15/2023 14:26:28,4.89,,,
16,12/15/2023 14:29:28,4.46,,,
17,12/15/2023 14:32:28,4.37,,,
18,12/15/2023 14:35:28,4.72,,,
19,12/15/2023 14:38:28,4.37,,,
20,12/15/2023 14:41:28,3.90,,,
21,12/15/2023 14:44:28,3.64,,,
22,12/15/2023 14:47:28,3.56,,,
23,12/15/2023 14:50:28,3.99,,,
24,12/15/2023 14:53:28,3.69,,,
25,12/15/2023 14:56:28,3.73,,,
26,12/15/2023 14:59:28,3.47,,,
27,12/15/2023 15:02:28,3.73,,,
28,12/15/2023 15:05:28,3.82,,,
29,12/15/2023 15:08:28,3.69,,,
30,12/15/2023 15:11:28,3.64,,,
31,12/15/2023 15:14:28,3.60,,,
32,12/15/2023 15:17:28,3.34,,,
33,12/15/2023 15:20:28,3.09,,,
34,12/15/2023 15:23:28,3.30,,,
35,12/15/2023 15:26:28,2.83,,,
36,12/15/2023 15:29:28,2.66,,,
37,12/15/2023 15:32:28,2.91,,,
38,12/15/2023 15:35:28,3.13,,,
39,12/15/2023 15:38:28,2.53,,,
40,12/15/2023 15:41:28,2.27,,,
41,12/15/2023 15:44:28,2.61,,,
42,12/15/2023 15:47:28,2.53,,,
43,12/15/2023 15:50:28,2.36,,,
44,12/15/2023 15:53:28,2.27,,,
45,12/15/2023 15:56:28,2.19,,,
46,12/15/2023 15:59:28,1.93,,,
47,12/15/2023 16:02:28,2.14,,,
48,12/15/2023 16:05:28,2.14,,,
49,12/15/2023 16:08:28,1.76,,,
50,12/15/2023 16:11:28,1.07,,,
51,12/15/2023 16:14:28,0.68,,,
52,12/15/2023 16:17:28,0.43,,,
53,12/15/2023 16:20:28,0.21,,,
54,12/15/2023 16:23:28,0.21,,,
55,12/15/2023 16:26:28,0.47,,,
