#,Date-Time (MST),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
1,12/15/2023 14:11:53,,Logged,,
2,12/15/2023 14:11:58,14.71,,,
3,12/15/2023 14:14:58,13.38,,,
4,12/15/2023 14:15:31,,,Logged,
5,12/15/2023 14:17:58,4.63,,,
6,12/15/2023 14:20:58,4.42,,,
7,12/15/2023 14:23:58,3.99,,,
8,12/15/2023 14:26:58,3.52,,,
9,12/15/2023 14:29:58,3.04,,,
10,12/15/2023 14:32:58,2.96,,,
11,12/15/2023 14:35:58,2.87,,,
12,12/15/2023 14:38:58,2.96,,,
13,12/15/2023 14:41:58,3.09,,,
14,12/15/2023 14:44:58,2.70,,,
15,12/15/2023 14:47:58,2.74,,,
16,12/15/2023 14:50:58,2.83,,,
17,12/15/2023 14:53:58,2.70,,,
18,12/15/2023 14:56:58,2.79,,,
19,12/15/2023 14:59:58,2.83,,,
20,12/15/2023 15:02:58,2.53,,,
21,12/15/2023 15:05:58,2.53,,,
22,12/15/2023 15:08:58,2.53,,,
23,12/15/2023 15:11:58,2.40,,,
24,12/15/2023 15:14:58,2.19,,,
25,12/15/2023 15:17:58,2.31,,,
26,12/15/2023 15:20:58,1.97,,,
27,12/15/2023 15:23:58,2.10,,,
28,12/15/2023 15:26:58,1.97,,,
29,12/15/2023 15:29:58,2.06,,,
30,12/15/2023 15:32:58,2.57,,,
31,12/15/2023 15:35:58,2.19,,,
32,12/15/2023 15:38:58,2.01,,,
33,12/15/2023 15:41:58,2.06,,,
34,12/15/2023 15:44:58,1.80,,,
35,12/15/2023 15:47:58,1.58,,,
36,12/15/2023 15:50:58,1.37,,,
37,12/15/2023 15:53:58,0.73,,,
38,12/15/2023 15:56:58,0.25,,,
39,12/15/2023 15:59:58,0.13,,,
40,12/15/2023 16:02:58,-0.65,,,
41,12/15/2023 16:05:58,-0.86,,,
42,12/15/2023 16:08:58,-0.52,,,
43,12/15/2023 16:11:58,-0.30,,,
44,12/15/2023 16:14:58,-0.09,,,
45,12/15/2023 16:17:58,0.08,,,
46,12/15/2023 16:20:58,0.00,,,
47,12/15/2023 16:23:58,-0.26,,,
48,12/15/2023 16:26:58,0.21,,,
49,12/15/2023 16:29:58,0.08,,,
50,12/15/2023 16:32:58,-0.39,,,
51,12/15/2023 16:35:58,-0.52,,,
52,12/15/2023 16:38:58,-0.26,,,
53,12/15/2023 16:41:58,-0.56,,,
54,12/15/2023 16:44:58,0.04,,,
55,12/15/2023 16:47:58,0.04,,,
56,12/15/2023 16:50:58,-0.35,,,
57,12/15/2023 16:53:58,-0.22,,,
58,12/15/2023 16:56:58,-0.77,,,
59,12/15/2023 16:59:58,-0.90,,,
60,12/15/2023 17:02:58,-0.69,,,
61,12/15/2023 17:05:58,-0.69,,,
62,12/15/2023 17:08:58,-1.12,,,
63,12/15/2023 17:11:58,-1.63,,,
64,12/15/2023 17:14:58,-1.29,,,
65,12/15/2023 17:17:58,-1.93,,,
66,12/15/2023 17:20:58,-2.45,,,
67,12/15/2023 17:23:58,-2.96,,,
68,12/15/2023 17:26:58,-2.75,,,
69,12/15/2023 17:29:58,-3.22,,,
70,12/15/2023 17:32:58,-4.21,,,
71,12/15/2023 17:35:58,-3.69,,,
72,12/15/2023 17:38:58,-3.26,,,
73,12/15/2023 17:41:58,-3.65,,,
74,12/15/2023 17:44:58,-3.78,,,
75,12/15/2023 17:47:58,-3.91,,,
76,12/15/2023 17:50:58,-4.76,,,
77,12/15/2023 17:53:58,-5.02,,,
78,12/15/2023 17:56:58,-4.38,,,
79,12/15/2023 17:59:58,-5.24,,,
80,12/15/2023 18:02:58,-5.07,,,
81,12/15/2023 18:05:58,-5.11,,,
82,12/15/2023 18:08:58,-3.99,,,
83,12/15/2023 18:11:58,-3.78,,,
84,12/15/2023 18:14:58,-3.26,,,
85,12/15/2023 18:17:58,-4.04,,,
86,12/15/2023 18:20:58,-5.37,,,
87,12/15/2023 18:23:58,-5.84,,,
88,12/15/2023 18:26:58,-6.74,,,
89,12/15/2023 18:29:58,-6.74,,,
90,12/15/2023 18:32:58,-6.09,,,
91,12/15/2023 18:35:58,-6.87,,,
