#,Date-Time (MST),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
1,12/15/2023 16:42:17,,Logged,,
2,12/15/2023 16:42:18,,Logged,,
3,12/15/2023 16:42:23,12.14,,,
4,12/15/2023 16:45:23,4.76,,,
5,12/15/2023 16:47:22,,,Logged,
6,12/15/2023 16:48:23,2.44,,,
7,12/15/2023 16:51:23,0.81,,,
8,12/15/2023 16:54:23,0.77,,,
9,12/15/2023 16:57:23,0.38,,,
10,12/15/2023 17:00:23,0.21,,,
11,12/15/2023 17:03:23,-0.13,,,
12,12/15/2023 17:06:23,-0.05,,,
13,12/15/2023 17:09:23,-0.43,,,
14,12/15/2023 17:12:23,-1.08,,,
15,12/15/2023 17:15:23,-0.22,,,
16,12/15/2023 17:18:23,0.51,,,
17,12/15/2023 17:21:23,-1.68,,,
18,12/15/2023 17:24:23,-2.53,,,
19,12/15/2023 17:27:23,-2.53,,,
20,12/15/2023 17:30:23,-1.89,,,
21,12/15/2023 17:33:23,-1.46,,,
22,12/15/2023 17:36:23,-1.59,,,
23,12/15/2023 17:39:23,-1.20,,,
24,12/15/2023 17:42:23,-2.45,,,
25,12/15/2023 17:45:23,-3.13,,,
26,12/15/2023 17:48:23,-2.79,,,
27,12/15/2023 17:51:23,-2.53,,,
28,12/15/2023 17:54:23,-3.31,,,
29,12/15/2023 17:57:23,-3.43,,,
30,12/15/2023 18:00:23,-2.79,,,
31,12/15/2023 18:03:23,-1.98,,,
32,12/15/2023 18:06:23,-2.02,,,
33,12/15/2023 18:09:23,-2.75,,,
34,12/15/2023 18:12:23,-2.92,,,
35,12/15/2023 18:15:23,-2.96,,,
36,12/15/2023 18:18:23,-2.88,,,
37,12/15/2023 18:21:23,-2.53,,,
38,12/15/2023 18:24:23,-3.31,,,
39,12/15/2023 18:27:23,-3.65,,,
40,12/15/2023 18:30:23,-3.65,,,
41,12/15/2023 18:33:23,-3.95,,,
42,12/15/2023 18:36:23,-3.39,,,
43,12/15/2023 18:39:23,-3.95,,,
44,12/15/2023 18:42:23,-3.69,,,
45,12/15/2023 18:45:23,-3.52,,,
46,12/15/2023 18:48:23,-5.02,,,
47,12/15/2023 18:51:23,-5.45,,,
48,12/15/2023 18:54:23,-5.32,,,
49,12/15/2023 18:57:23,-6.35,,,
50,12/15/2023 19:00:23,-6.18,,,
51,12/15/2023 19:03:23,-5.92,,,
52,12/15/2023 19:06:23,-6.57,,,
53,12/15/2023 19:09:23,-6.65,,,
54,12/15/2023 19:12:23,-6.70,,,
55,12/15/2023 19:15:23,-5.62,,,
56,12/15/2023 19:18:23,-5.41,,,
57,12/15/2023 19:21:23,-5.79,,,
58,12/15/2023 19:24:23,-6.22,,,
59,12/15/2023 19:27:23,-6.65,,,
60,12/15/2023 19:30:23,-6.05,,,
61,12/15/2023 19:33:23,-6.74,,,
62,12/15/2023 19:36:23,-6.52,,,
