#,Date-Time (MST),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
1,12/16/2023 13:25:11,,Logged,,
2,12/16/2023 13:25:16,18.66,,,
3,12/16/2023 13:28:16,8.53,,,
4,12/16/2023 13:30:19,,,Logged,
5,12/16/2023 13:31:16,2.44,,,
6,12/16/2023 13:34:16,1.07,,,
7,12/16/2023 13:37:16,0.21,,,
8,12/16/2023 13:40:16,0.51,,,
9,12/16/2023 13:43:16,0.73,,,
10,12/16/2023 13:46:16,0.55,,,
11,12/16/2023 13:49:16,0.60,,,
12,12/16/2023 13:52:16,1.28,,,
13,12/16/2023 13:55:16,0.64,,,
14,12/16/2023 13:58:16,0.98,,,
15,12/16/2023 14:01:16,1.80,,,
16,12/16/2023 14:04:16,1.71,,,
17,12/16/2023 14:07:16,1.71,,,
18,12/16/2023 14:10:16,1.88,,,
19,12/16/2023 14:13:16,1.67,,,
20,12/16/2023 14:16:16,1.20,,,
21,12/16/2023 14:19:16,1.41,,,
22,12/16/2023 14:22:16,2.19,,,
23,12/16/2023 14:25:16,1.97,,,
24,12/16/2023 14:28:16,2.14,,,
25,12/16/2023 14:31:16,1.84,,,
26,12/16/2023 14:34:16,1.76,,,
27,12/16/2023 14:37:16,1.46,,,
28,12/16/2023 14:40:16,2.01,,,
29,12/16/2023 14:43:16,2.23,,,
30,12/16/2023 14:46:16,3.43,,,
31,12/16/2023 14:49:16,3.30,,,
32,12/16/2023 14:52:16,3.43,,,
33,12/16/2023 14:55:16,4.63,,,
34,12/16/2023 14:58:16,3.13,,,
35,12/16/2023 15:01:16,3.09,,,
36,12/16/2023 15:04:16,3.17,,,
37,12/16/2023 15:07:16,3.00,,,
38,12/16/2023 15:10:16,3.73,,,
39,12/16/2023 15:13:16,2.57,,,
40,12/16/2023 15:16:16,2.10,,,
41,12/16/2023 15:19:16,2.70,,,
42,12/16/2023 15:22:16,2.91,,,
43,12/16/2023 15:25:16,2.87,,,
44,12/16/2023 15:28:16,2.31,,,
45,12/16/2023 15:31:16,2.06,,,
46,12/16/2023 15:34:16,2.06,,,
47,12/16/2023 15:37:16,2.23,,,
48,12/16/2023 15:40:16,1.88,,,
49,12/16/2023 15:43:16,1.58,,,
50,12/16/2023 15:46:16,1.46,,,
51,12/16/2023 15:49:16,1.46,,,
52,12/16/2023 15:52:16,1.28,,,
53,12/16/2023 15:55:16,1.20,,,
54,12/16/2023 15:58:16,0.90,,,
55,12/16/2023 16:01:16,0.94,,,
56,12/16/2023 16:04:16,0.55,,,
57,12/16/2023 16:07:16,0.34,,,
58,12/16/2023 16:10:16,0.04,,,
59,12/16/2023 16:13:16,-0.17,,,
60,12/16/2023 16:16:16,-0.35,,,
61,12/16/2023 16:19:16,-0.52,,,
62,12/16/2023 16:22:16,-0.60,,,
63,12/16/2023 16:25:16,-0.60,,,
64,12/16/2023 16:28:16,-0.65,,,
65,12/16/2023 16:31:16,-0.99,,,
66,12/16/2023 16:34:16,-1.03,,,
67,12/16/2023 16:37:16,-1.33,,,
68,12/16/2023 16:40:16,-1.76,,,
69,12/16/2023 16:43:16,-2.53,,,
70,12/16/2023 16:46:16,-2.71,,,
71,12/16/2023 16:49:16,-2.83,,,
72,12/16/2023 16:52:16,-3.05,,,
73,12/16/2023 16:55:16,-3.13,,,
74,12/16/2023 16:58:16,-2.79,,,
75,12/16/2023 17:01:16,-3.13,,,
76,12/16/2023 17:04:16,-3.39,,,
77,12/16/2023 17:07:16,-3.48,,,
78,12/16/2023 17:10:16,-3.56,,,
79,12/16/2023 17:13:16,-3.56,,,
80,12/16/2023 17:16:16,-3.61,,,
81,12/16/2023 17:19:16,-3.52,,,
82,12/16/2023 17:22:16,-3.35,,,
83,12/16/2023 17:25:16,-3.35,,,
84,12/16/2023 17:28:16,-3.48,,,
85,12/16/2023 17:31:16,-3.52,,,
86,12/16/2023 17:34:16,-3.48,,,
87,12/16/2023 17:37:16,-3.56,,,
88,12/16/2023 17:40:16,-3.61,,,
89,12/16/2023 17:43:16,-3.86,,,
90,12/16/2023 17:46:16,-4.08,,,
91,12/16/2023 17:49:16,-4.12,,,
92,12/16/2023 17:52:16,-4.21,,,
93,12/16/2023 17:55:16,-4.25,,,
94,12/16/2023 17:58:16,-4.12,,,
95,12/16/2023 18:01:16,-4.12,,,
96,12/16/2023 18:04:16,-4.21,,,
97,12/16/2023 18:07:16,-4.12,,,
98,12/16/2023 18:10:16,-4.42,,,
99,12/16/2023 18:13:16,-4.51,,,
100,12/16/2023 18:16:16,-4.51,,,
101,12/16/2023 18:19:16,-4.72,,,
102,12/16/2023 18:22:16,-4.76,,,
103,12/16/2023 18:25:16,-4.94,,,
104,12/16/2023 18:28:16,-5.02,,,
105,12/16/2023 18:31:16,-4.89,,,
106,12/16/2023 18:34:16,-4.76,,,
107,12/16/2023 18:37:16,-4.76,,,
108,12/16/2023 18:40:16,-4.94,,,
109,12/16/2023 18:43:16,-5.02,,,
110,12/16/2023 18:46:16,-5.11,,,
111,12/16/2023 18:49:16,-5.02,,,
112,12/16/2023 18:52:16,-5.11,,,
113,12/16/2023 18:55:16,-5.28,,,
114,12/16/2023 18:58:16,-5.15,,,
115,12/16/2023 19:01:16,-4.94,,,
116,12/16/2023 19:04:16,-5.28,,,
117,12/16/2023 19:07:16,-5.67,,,
118,12/16/2023 19:10:16,-5.88,,,
119,12/16/2023 19:13:16,-6.14,,,
120,12/16/2023 19:16:16,-6.18,,,
121,12/16/2023 19:19:16,-6.31,,,
122,12/16/2023 19:22:16,-6.52,,,
123,12/16/2023 19:25:16,-6.70,,,
124,12/16/2023 19:28:16,-6.82,,,
125,12/16/2023 19:31:16,-6.95,,,
126,12/16/2023 19:34:16,-7.08,,,
127,12/16/2023 19:37:16,-7.04,,,
128,12/16/2023 19:40:16,-6.70,,,
129,12/16/2023 19:43:16,-6.52,,,
130,12/16/2023 19:46:16,-6.35,,,
131,12/16/2023 19:49:16,-6.31,,,
132,12/16/2023 19:52:16,-6.31,,,
133,12/16/2023 19:55:16,-6.44,,,
134,12/16/2023 19:58:16,-6.52,,,
135,12/16/2023 20:01:16,-6.57,,,
136,12/16/2023 20:04:16,-6.74,,,
137,12/16/2023 20:07:16,-6.82,,,
138,12/16/2023 20:10:16,-7.00,,,
139,12/16/2023 20:13:16,-7.04,,,
140,12/16/2023 20:16:16,-6.91,,,
141,12/16/2023 20:19:16,-7.30,,,
142,12/16/2023 20:22:16,-7.64,,,
143,12/16/2023 20:25:16,-7.42,,,
144,12/16/2023 20:28:16,-7.42,,,
145,12/16/2023 20:31:16,-7.25,,,
146,12/16/2023 20:34:16,-7.17,,,
147,12/16/2023 20:37:16,-7.04,,,
148,12/16/2023 20:40:16,-6.95,,,
149,12/16/2023 20:43:16,-6.91,,,
150,12/16/2023 20:46:16,-7.00,,,
151,12/16/2023 20:49:16,-7.12,,,
152,12/16/2023 20:52:16,-7.38,,,
153,12/16/2023 20:55:16,-7.47,,,
154,12/16/2023 20:58:16,-7.42,,,
155,12/16/2023 21:01:16,-7.30,,,
156,12/16/2023 21:04:16,-7.17,,,
157,12/16/2023 21:07:16,-7.21,,,
158,12/16/2023 21:10:16,-7.34,,,
159,12/16/2023 21:13:16,-7.21,,,
160,12/16/2023 21:16:16,-7.12,,,
161,12/16/2023 21:19:16,-7.00,,,
162,12/16/2023 21:22:16,-7.38,,,
163,12/16/2023 21:25:16,-7.85,,,
164,12/16/2023 21:28:16,-8.24,,,
165,12/16/2023 21:31:16,-8.54,,,
166,12/16/2023 21:34:16,-8.58,,,
167,12/16/2023 21:37:16,-8.58,,,
168,12/16/2023 21:40:16,-8.63,,,
169,12/16/2023 21:43:16,-8.84,,,
170,12/16/2023 21:46:16,-8.71,,,
171,12/16/2023 21:49:16,-8.63,,,
172,12/16/2023 21:52:16,-8.50,,,
173,12/16/2023 21:55:16,-8.33,,,
174,12/16/2023 21:58:16,-8.33,,,
175,12/16/2023 22:01:16,-8.24,,,
176,12/16/2023 22:04:16,-8.28,,,
177,12/16/2023 22:07:16,-8.58,,,
178,12/16/2023 22:10:16,-8.58,,,
179,12/16/2023 22:13:16,-8.63,,,
180,12/16/2023 22:16:16,-8.71,,,
181,12/16/2023 22:19:16,-8.84,,,
182,12/16/2023 22:22:16,-8.93,,,
183,12/16/2023 22:25:16,-9.10,,,
184,12/16/2023 22:28:16,-8.93,,,
185,12/16/2023 22:31:16,-8.41,,,
186,12/16/2023 22:34:16,-8.28,,,
187,12/16/2023 22:37:16,-8.33,,,
188,12/16/2023 22:40:16,-8.28,,,
189,12/16/2023 22:43:16,-8.37,,,
190,12/16/2023 22:46:16,-8.54,,,
191,12/16/2023 22:49:16,-8.93,,,
192,12/16/2023 22:52:16,-9.10,,,
193,12/16/2023 22:55:16,-9.18,,,
194,12/16/2023 22:58:16,-9.27,,,
195,12/16/2023 23:01:16,-9.40,,,
