#,Date-Time (MST),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
1,12/16/2023 12:26:47,,Logged,,
2,12/16/2023 12:26:52,12.91,,,
3,12/16/2023 12:29:52,4.50,,,
4,12/16/2023 12:31:53,,,Logged,
5,12/16/2023 12:32:52,0.90,,,
6,12/16/2023 12:35:52,-0.47,,,
7,12/16/2023 12:38:52,-0.82,,,
8,12/16/2023 12:41:52,-1.12,,,
9,12/16/2023 12:44:52,-0.90,,,
10,12/16/2023 12:47:52,-0.95,,,
11,12/16/2023 12:50:52,-1.03,,,
12,12/16/2023 12:53:52,-0.95,,,
13,12/16/2023 12:56:52,-0.73,,,
14,12/16/2023 12:59:52,-0.35,,,
15,12/16/2023 13:02:52,-0.35,,,
16,12/16/2023 13:05:52,-0.13,,,
17,12/16/2023 13:08:52,-0.35,,,
18,12/16/2023 13:11:52,-0.65,,,
19,12/16/2023 13:14:52,-0.56,,,
20,12/16/2023 13:17:52,-0.47,,,
21,12/16/2023 13:20:52,-0.47,,,
22,12/16/2023 13:23:52,-0.13,,,
23,12/16/2023 13:26:52,0.13,,,
24,12/16/2023 13:29:52,0.43,,,
25,12/16/2023 13:32:52,0.55,,,
26,12/16/2023 13:35:52,0.81,,,
27,12/16/2023 13:38:52,0.77,,,
28,12/16/2023 13:41:52,0.43,,,
29,12/16/2023 13:44:52,0.73,,,
30,12/16/2023 13:47:52,1.07,,,
31,12/16/2023 13:50:52,1.28,,,
32,12/16/2023 13:53:52,1.46,,,
33,12/16/2023 13:56:52,1.80,,,
34,12/16/2023 13:59:52,1.80,,,
35,12/16/2023 14:02:52,1.97,,,
36,12/16/2023 14:05:52,1.88,,,
37,12/16/2023 14:08:52,1.41,,,
38,12/16/2023 14:11:52,1.80,,,
39,12/16/2023 14:14:52,1.37,,,
40,12/16/2023 14:17:52,1.20,,,
41,12/16/2023 14:20:52,1.63,,,
42,12/16/2023 14:23:52,2.27,,,
43,12/16/2023 14:26:52,2.66,,,
44,12/16/2023 14:29:52,2.61,,,
45,12/16/2023 14:32:52,2.53,,,
46,12/16/2023 14:35:52,2.53,,,
47,12/16/2023 14:38:52,2.74,,,
48,12/16/2023 14:41:52,2.14,,,
49,12/16/2023 14:44:52,2.01,,,
50,12/16/2023 14:47:52,1.88,,,
51,12/16/2023 14:50:52,1.93,,,
52,12/16/2023 14:53:52,2.27,,,
53,12/16/2023 14:56:52,2.44,,,
54,12/16/2023 14:59:52,2.06,,,
55,12/16/2023 15:02:52,2.53,,,
56,12/16/2023 15:05:52,2.61,,,
57,12/16/2023 15:08:52,2.31,,,
58,12/16/2023 15:11:52,2.14,,,
59,12/16/2023 15:14:52,2.44,,,
60,12/16/2023 15:17:52,2.57,,,
61,12/16/2023 15:20:52,2.49,,,
62,12/16/2023 15:23:52,2.31,,,
63,12/16/2023 15:26:52,2.10,,,
64,12/16/2023 15:29:52,1.88,,,
65,12/16/2023 15:32:52,1.84,,,
66,12/16/2023 15:35:52,1.76,,,
67,12/16/2023 15:38:52,1.71,,,
68,12/16/2023 15:41:52,1.33,,,
69,12/16/2023 15:44:52,0.86,,,
70,12/16/2023 15:47:52,0.51,,,
71,12/16/2023 15:50:52,0.38,,,
72,12/16/2023 15:53:52,0.08,,,
73,12/16/2023 15:56:52,-0.17,,,
74,12/16/2023 15:59:52,-0.35,,,
75,12/16/2023 16:02:52,-0.52,,,
76,12/16/2023 16:05:52,-0.69,,,
77,12/16/2023 16:08:52,-0.86,,,
78,12/16/2023 16:11:52,-1.12,,,
79,12/16/2023 16:14:52,-1.16,,,
80,12/16/2023 16:17:52,-1.25,,,
81,12/16/2023 16:20:52,-1.33,,,
82,12/16/2023 16:23:52,-1.50,,,
83,12/16/2023 16:26:52,-1.63,,,
84,12/16/2023 16:29:52,-1.68,,,
85,12/16/2023 16:32:52,-1.76,,,
86,12/16/2023 16:35:52,-1.85,,,
87,12/16/2023 16:38:52,-1.93,,,
88,12/16/2023 16:41:52,-1.98,,,
89,12/16/2023 16:44:52,-1.98,,,
90,12/16/2023 16:47:52,-2.10,,,
91,12/16/2023 16:50:52,-2.23,,,
92,12/16/2023 16:53:52,-2.32,,,
93,12/16/2023 16:56:52,-2.41,,,
94,12/16/2023 16:59:52,-2.49,,,
95,12/16/2023 17:02:52,-2.62,,,
96,12/16/2023 17:05:52,-2.75,,,
97,12/16/2023 17:08:52,-2.92,,,
98,12/16/2023 17:11:52,-2.96,,,
99,12/16/2023 17:14:52,-3.05,,,
100,12/16/2023 17:17:52,-3.05,,,
