#,Date-Time (MST),Ch:1 - Temperature   (°C),Button Down,Host Connected,End of File
1,12/16/2023 13:40:05,,Logged,,
2,12/16/2023 13:40:10,13.34,,,
3,12/16/2023 13:40:34,,,Logged,
4,12/16/2023 13:43:10,8.75,,,
5,12/16/2023 13:45:48,,,Logged,
6,12/16/2023 13:46:10,4.72,,,
7,12/16/2023 13:49:10,3.64,,,
8,12/16/2023 13:52:10,3.86,,,
9,12/16/2023 13:55:10,3.99,,,
10,12/16/2023 13:58:10,3.04,,,
11,12/16/2023 14:01:10,4.20,,,
12,12/16/2023 14:04:10,3.39,,,
13,12/16/2023 14:07:10,4.20,,,
14,12/16/2023 14:10:10,3.26,,,
15,12/16/2023 14:13:10,4.33,,,
16,12/16/2023 14:16:10,3.17,,,
17,12/16/2023 14:19:10,3.64,,,
18,12/16/2023 14:22:10,4.42,,,
19,12/16/2023 14:25:10,4.07,,,
20,12/16/2023 14:28:10,4.33,,,
21,12/16/2023 14:31:10,4.16,,,
22,12/16/2023 14:34:10,3.43,,,
23,12/16/2023 14:37:10,4.63,,,
24,12/16/2023 14:40:10,5.66,,,
25,12/16/2023 14:43:10,4.12,,,
26,12/16/2023 14:46:10,5.45,,,
27,12/16/2023 14:49:10,3.86,,,
28,12/16/2023 14:52:10,3.99,,,
29,12/16/2023 14:55:10,3.56,,,
30,12/16/2023 14:58:10,3.90,,,
31,12/16/2023 15:01:10,3.00,,,
32,12/16/2023 15:04:10,3.34,,,
33,12/16/2023 15:07:10,3.60,,,
34,12/16/2023 15:10:10,3.30,,,
35,12/16/2023 15:13:10,2.87,,,
36,12/16/2023 15:16:10,2.70,,,
37,12/16/2023 15:19:10,3.00,,,
38,12/16/2023 15:22:10,2.91,,,
39,12/16/2023 15:25:10,2.70,,,
40,12/16/2023 15:28:10,2.91,,,
41,12/16/2023 15:31:10,2.91,,,
42,12/16/2023 15:34:10,3.00,,,
43,12/16/2023 15:37:10,2.96,,,
44,12/16/2023 15:40:10,3.09,,,
45,12/16/2023 15:43:10,3.21,,,
46,12/16/2023 15:46:10,3.52,,,
47,12/16/2023 15:49:10,4.80,,,
48,12/16/2023 15:52:10,5.32,,,
49,12/16/2023 15:55:10,4.50,,,
50,12/16/2023 15:58:10,3.82,,,
51,12/16/2023 16:01:10,1.67,,,
52,12/16/2023 16:04:10,0.13,,,
53,12/16/2023 16:07:10,-0.86,,,
54,12/16/2023 16:10:10,-1.38,,,
55,12/16/2023 16:13:10,-1.98,,,
56,12/16/2023 16:16:10,-2.10,,,
57,12/16/2023 16:19:10,-2.23,,,
58,12/16/2023 16:22:10,-2.36,,,
59,12/16/2023 16:25:10,-2.32,,,
60,12/16/2023 16:28:10,-2.32,,,
61,12/16/2023 16:31:10,-2.36,,,
62,12/16/2023 16:34:10,-2.62,,,
63,12/16/2023 16:37:10,-2.79,,,
64,12/16/2023 16:40:10,-3.05,,,
65,12/16/2023 16:43:10,-3.35,,,
66,12/16/2023 16:46:10,-3.69,,,
67,12/16/2023 16:49:10,-4.16,,,
68,12/16/2023 16:52:10,-4.25,,,
69,12/16/2023 16:55:10,-4.21,,,
70,12/16/2023 16:58:10,-4.16,,,
71,12/16/2023 17:01:10,-4.12,,,
72,12/16/2023 17:04:10,-4.04,,,
73,12/16/2023 17:07:10,-4.12,,,
74,12/16/2023 17:10:10,-4.12,,,
75,12/16/2023 17:13:10,-4.08,,,
76,12/16/2023 17:16:10,-4.12,,,
77,12/16/2023 17:19:10,-4.29,,,
