#,Date-Time (MST/MDT),Ch:1 - Temperature   (°C),Button Down,Started Offset,Host Connected,End of File
1,12/17/2023 11:00:31,,Logged,,,
2,12/17/2023 11:00:32,,Logged,Logged,,
3,12/17/2023 11:00:37,2.83,,,,
4,12/17/2023 11:03:37,4.84,,,,
5,12/17/2023 11:06:20,,,,Logged,
6,12/17/2023 11:06:37,0.43,,,,
7,12/17/2023 11:09:37,-0.35,,,,
8,12/17/2023 11:12:37,-0.86,,,,
9,12/17/2023 11:15:37,-1.55,,,,
10,12/17/2023 11:18:37,-1.50,,,,
11,12/17/2023 11:21:37,-1.50,,,,
12,12/17/2023 11:24:37,-2.23,,,,
13,12/17/2023 11:27:37,-2.45,,,,
14,12/17/2023 11:30:37,-2.32,,,,
15,12/17/2023 11:33:37,-2.19,,,,
16,12/17/2023 11:36:37,-2.15,,,,
17,12/17/2023 11:39:37,-1.98,,,,
18,12/17/2023 11:42:37,-1.72,,,,
19,12/17/2023 11:45:37,-1.50,,,,
20,12/17/2023 11:48:37,-1.25,,,,
21,12/17/2023 11:51:37,-1.20,,,,
22,12/17/2023 11:54:37,-0.43,,,,
23,12/17/2023 11:57:37,0.60,,,,
24,12/17/2023 12:00:37,1.20,,,,
25,12/17/2023 12:03:37,0.43,,,,
26,12/17/2023 12:06:37,-0.39,,,,
27,12/17/2023 12:09:37,0.60,,,,
28,12/17/2023 12:12:37,0.94,,,,
29,12/17/2023 12:15:37,0.81,,,,
30,12/17/2023 12:18:37,0.73,,,,
31,12/17/2023 12:21:37,0.73,,,,
32,12/17/2023 12:24:37,1.41,,,,
33,12/17/2023 12:27:37,1.58,,,,
34,12/17/2023 12:30:37,2.36,,,,
35,12/17/2023 12:33:37,2.31,,,,
36,12/17/2023 12:36:37,2.53,,,,
37,12/17/2023 12:39:37,2.23,,,,
38,12/17/2023 12:42:37,2.74,,,,
39,12/17/2023 12:45:37,2.74,,,,
40,12/17/2023 12:48:37,2.36,,,,
41,12/17/2023 12:51:37,2.44,,,,
42,12/17/2023 12:54:37,3.34,,,,
43,12/17/2023 12:57:37,3.60,,,,
44,12/17/2023 13:00:37,3.77,,,,
45,12/17/2023 13:03:37,3.21,,,,
46,12/17/2023 13:06:37,3.04,,,,
47,12/17/2023 13:09:37,2.70,,,,
48,12/17/2023 13:12:37,3.09,,,,
49,12/17/2023 13:15:37,2.91,,,,
50,12/17/2023 13:18:37,3.00,,,,
51,12/17/2023 13:21:37,2.61,,,,
52,12/17/2023 13:24:37,2.96,,,,
53,12/17/2023 13:27:37,3.43,,,,
54,12/17/2023 13:30:37,4.07,,,,
55,12/17/2023 13:33:37,3.90,,,,
56,12/17/2023 13:36:37,4.20,,,,
57,12/17/2023 13:39:37,3.82,,,,
58,12/17/2023 13:42:37,3.77,,,,
59,12/17/2023 13:45:37,3.39,,,,
60,12/17/2023 13:48:37,4.20,,,,
61,12/17/2023 13:51:37,3.73,,,,
62,12/17/2023 13:54:37,3.43,,,,
63,12/17/2023 13:57:37,3.69,,,,
64,12/17/2023 14:00:37,3.30,,,,
65,12/17/2023 14:03:37,3.39,,,,
66,12/17/2023 14:06:37,3.00,,,,
67,12/17/2023 14:09:37,3.00,,,,
68,12/17/2023 14:12:37,3.09,,,,
69,12/17/2023 14:15:37,2.83,,,,
70,12/17/2023 14:18:37,2.53,,,,
71,12/17/2023 14:21:37,2.74,,,,
72,12/17/2023 14:24:37,2.79,,,,
73,12/17/2023 14:27:37,2.87,,,,
74,12/17/2023 14:30:37,2.87,,,,
75,12/17/2023 14:33:37,3.00,,,,
76,12/17/2023 14:36:37,3.09,,,,
77,12/17/2023 14:39:37,3.00,,,,
78,12/17/2023 14:42:37,3.39,,,,
79,12/17/2023 14:45:37,3.43,,,,
80,12/17/2023 14:48:37,3.26,,,,
81,12/17/2023 14:51:37,2.96,,,,
82,12/17/2023 14:54:37,2.87,,,,
83,12/17/2023 14:57:37,2.79,,,,
84,12/17/2023 15:00:37,2.61,,,,
85,12/17/2023 15:03:37,2.57,,,,
86,12/17/2023 15:06:37,2.61,,,,
87,12/17/2023 15:09:37,2.66,,,,
88,12/17/2023 15:12:37,2.66,,,,
89,12/17/2023 15:15:37,2.70,,,,
90,12/17/2023 15:18:37,2.66,,,,
91,12/17/2023 15:21:37,2.70,,,,
92,12/17/2023 15:24:37,2.74,,,,
93,12/17/2023 15:27:37,2.87,,,,
94,12/17/2023 15:30:37,2.74,,,,
95,12/17/2023 15:33:37,2.79,,,,
96,12/17/2023 15:36:37,2.66,,,,
97,12/17/2023 15:39:37,2.74,,,,
98,12/17/2023 15:42:37,2.66,,,,
99,12/17/2023 15:45:37,2.61,,,,
100,12/17/2023 15:48:37,2.53,,,,
101,12/17/2023 15:51:37,2.49,,,,
102,12/17/2023 15:54:37,2.53,,,,
103,12/17/2023 15:57:37,2.36,,,,
104,12/17/2023 16:00:37,2.23,,,,
105,12/17/2023 16:03:37,2.14,,,,
106,12/17/2023 16:06:37,2.19,,,,
107,12/17/2023 16:09:37,2.14,,,,
108,12/17/2023 16:12:37,1.97,,,,
109,12/17/2023 16:15:37,1.41,,,,
110,12/17/2023 16:18:37,1.16,,,,
111,12/17/2023 16:21:37,0.81,,,,
112,12/17/2023 16:24:37,0.25,,,,
113,12/17/2023 16:27:37,-0.09,,,,
114,12/17/2023 16:30:37,-0.26,,,,
115,12/17/2023 16:33:37,-0.56,,,,
116,12/17/2023 16:36:37,-0.90,,,,
117,12/17/2023 16:39:37,-1.12,,,,
118,12/17/2023 16:42:37,-1.50,,,,
119,12/17/2023 16:45:37,-1.63,,,,
120,12/17/2023 16:48:37,-1.85,,,,
121,12/17/2023 16:51:37,-2.10,,,,
122,12/17/2023 16:54:37,-2.32,,,,
123,12/17/2023 16:57:37,-2.58,,,,
124,12/17/2023 17:00:37,-2.79,,,,
125,12/17/2023 17:03:37,-3.01,,,,
126,12/17/2023 17:06:37,-3.18,,,,
127,12/17/2023 17:09:37,-3.31,,,,
128,12/17/2023 17:12:37,-3.56,,,,
129,12/17/2023 17:15:37,-3.74,,,,
130,12/17/2023 17:18:37,-3.74,,,,
131,12/17/2023 17:21:37,-3.91,,,,
132,12/17/2023 17:24:37,-4.12,,,,
133,12/17/2023 17:27:37,-4.21,,,,
134,12/17/2023 17:30:37,-4.25,,,,
135,12/17/2023 17:33:37,-4.51,,,,
136,12/17/2023 17:36:37,-4.81,,,,
137,12/17/2023 17:39:37,-4.85,,,,
138,12/17/2023 17:42:37,-5.11,,,,
139,12/17/2023 17:45:37,-5.28,,,,
140,12/17/2023 17:48:37,-5.37,,,,
