#,Date-Time (MST/MDT),Ch:1 - Temperature   (°C),Button Down,Started Offset,Host Connected,End of File
1,12/15/2023 13:24:00,,Logged,Logged,,
2,12/15/2023 13:24:05,16.43,,,,
3,12/15/2023 13:27:05,9.31,,,,
4,12/15/2023 13:29:25,,,,Logged,
5,12/15/2023 13:30:05,4.42,,,,
6,12/15/2023 13:33:05,4.29,,,,
7,12/15/2023 13:36:05,3.21,,,,
8,12/15/2023 13:39:05,4.42,,,,
9,12/15/2023 13:42:05,3.64,,,,
10,12/15/2023 13:45:05,3.73,,,,
11,12/15/2023 13:48:05,4.12,,,,
12,12/15/2023 13:51:05,4.46,,,,
13,12/15/2023 13:54:05,5.02,,,,
14,12/15/2023 13:57:05,5.36,,,,
15,12/15/2023 14:00:05,6.00,,,,
16,12/15/2023 14:03:05,4.59,,,,
17,12/15/2023 14:06:05,5.49,,,,
18,12/15/2023 14:09:05,5.96,,,,
19,12/15/2023 14:12:05,6.00,,,,
20,12/15/2023 14:15:05,6.09,,,,
21,12/15/2023 14:18:05,5.27,,,,
22,12/15/2023 14:21:05,4.80,,,,
23,12/15/2023 14:24:05,3.94,,,,
24,12/15/2023 14:27:05,4.54,,,,
25,12/15/2023 14:30:05,3.90,,,,
26,12/15/2023 14:33:05,4.59,,,,
27,12/15/2023 14:36:05,4.42,,,,
28,12/15/2023 14:39:05,4.20,,,,
29,12/15/2023 14:42:05,3.99,,,,
30,12/15/2023 14:45:05,4.12,,,,
31,12/15/2023 14:48:05,4.03,,,,
32,12/15/2023 14:51:05,4.12,,,,
33,12/15/2023 14:54:05,4.07,,,,
34,12/15/2023 14:57:05,3.94,,,,
35,12/15/2023 15:00:05,3.82,,,,
36,12/15/2023 15:03:05,3.52,,,,
37,12/15/2023 15:06:05,3.64,,,,
38,12/15/2023 15:09:05,3.52,,,,
39,12/15/2023 15:12:05,3.47,,,,
40,12/15/2023 15:15:05,3.34,,,,
41,12/15/2023 15:18:05,3.26,,,,
42,12/15/2023 15:21:05,3.26,,,,
43,12/15/2023 15:24:05,3.39,,,,
44,12/15/2023 15:27:05,3.26,,,,
45,12/15/2023 15:30:05,3.34,,,,
46,12/15/2023 15:33:05,3.26,,,,
47,12/15/2023 15:36:05,3.30,,,,
