#,Date-Time (MST/MDT),Ch:1 - Temperature   (°C),Button Down,Started Offset,Host Connected,End of File
1,12/15/2023 12:30:05,,Logged,,,
2,12/15/2023 12:30:23,,Logged,Logged,,
3,12/15/2023 12:30:28,0.81,,,,
4,12/15/2023 12:33:28,-0.65,,,,
5,12/15/2023 12:36:28,-0.52,,,,
6,12/15/2023 12:39:28,-0.30,,,,
7,12/15/2023 12:42:28,-0.17,,,,
8,12/15/2023 12:45:28,-0.09,,,,
9,12/15/2023 12:48:28,0.00,,,,
10,12/15/2023 12:51:28,0.00,,,,
11,12/15/2023 12:54:28,0.08,,,,
12,12/15/2023 12:57:28,0.55,,,,
13,12/15/2023 13:00:28,0.64,,,,
14,12/15/2023 13:03:28,0.51,,,,
15,12/15/2023 13:06:28,0.47,,,,
16,12/15/2023 13:09:24,,,,Logged,
17,12/15/2023 13:09:28,0.77,,,,
18,12/15/2023 13:12:28,1.20,,,,
19,12/15/2023 13:15:28,1.63,,,,
20,12/15/2023 13:18:28,1.33,,,,
21,12/15/2023 13:21:28,1.33,,,,
22,12/15/2023 13:24:28,1.28,,,,
23,12/15/2023 13:27:28,1.03,,,,
24,12/15/2023 13:30:28,1.84,,,,
25,12/15/2023 13:33:28,2.14,,,,
26,12/15/2023 13:36:28,3.04,,,,
27,12/15/2023 13:39:28,2.01,,,,
28,12/15/2023 13:42:28,2.83,,,,
29,12/15/2023 13:45:28,3.30,,,,
30,12/15/2023 13:48:28,3.39,,,,
31,12/15/2023 13:51:28,3.43,,,,
32,12/15/2023 13:54:28,2.74,,,,
33,12/15/2023 13:57:28,3.43,,,,
34,12/15/2023 14:00:28,4.29,,,,
35,12/15/2023 14:03:28,3.90,,,,
36,12/15/2023 14:06:28,4.20,,,,
37,12/15/2023 14:09:28,4.16,,,,
38,12/15/2023 14:12:28,4.20,,,,
39,12/15/2023 14:15:28,3.60,,,,
40,12/15/2023 14:18:28,3.34,,,,
41,12/15/2023 14:21:28,2.66,,,,
42,12/15/2023 14:24:28,1.80,,,,
43,12/15/2023 14:27:28,1.46,,,,
44,12/15/2023 14:30:28,1.20,,,,
45,12/15/2023 14:33:28,1.24,,,,
46,12/15/2023 14:36:28,1.50,,,,
47,12/15/2023 14:39:28,1.24,,,,
48,12/15/2023 14:42:28,1.63,,,,
49,12/15/2023 14:45:28,1.76,,,,
50,12/15/2023 14:48:28,2.36,,,,
51,12/15/2023 14:51:28,2.91,,,,
52,12/15/2023 14:54:28,3.04,,,,
53,12/15/2023 14:57:28,3.09,,,,
54,12/15/2023 15:00:28,3.26,,,,
55,12/15/2023 15:03:28,3.30,,,,
56,12/15/2023 15:06:28,3.26,,,,
57,12/15/2023 15:09:28,3.26,,,,
58,12/15/2023 15:12:28,3.00,,,,
59,12/15/2023 15:15:28,3.13,,,,
60,12/15/2023 15:18:28,3.09,,,,
61,12/15/2023 15:21:28,2.87,,,,
62,12/15/2023 15:24:28,2.91,,,,
63,12/15/2023 15:27:28,3.00,,,,
64,12/15/2023 15:30:28,2.83,,,,
65,12/15/2023 15:33:28,2.87,,,,
66,12/15/2023 15:36:28,2.61,,,,
67,12/15/2023 15:39:28,2.01,,,,
68,12/15/2023 15:42:28,1.88,,,,
69,12/15/2023 15:45:28,1.03,,,,
70,12/15/2023 15:48:28,1.76,,,,
71,12/15/2023 15:51:28,1.58,,,,
72,12/15/2023 15:54:28,1.20,,,,
73,12/15/2023 15:57:28,0.60,,,,
74,12/15/2023 16:00:28,0.47,,,,
75,12/15/2023 16:03:28,-0.09,,,,
76,12/15/2023 16:06:28,-0.65,,,,
77,12/15/2023 16:09:28,-0.90,,,,
78,12/15/2023 16:12:28,-1.08,,,,
79,12/15/2023 16:15:28,-0.86,,,,
80,12/15/2023 16:18:28,-1.12,,,,
81,12/15/2023 16:21:28,-0.95,,,,
82,12/15/2023 16:24:28,-1.33,,,,
83,12/15/2023 16:27:28,-1.50,,,,
84,12/15/2023 16:30:28,-1.55,,,,
85,12/15/2023 16:33:28,-1.68,,,,
86,12/15/2023 16:36:28,-1.85,,,,
87,12/15/2023 16:39:28,-1.46,,,,
88,12/15/2023 16:42:28,-1.55,,,,
89,12/15/2023 16:45:28,-2.06,,,,
90,12/15/2023 16:48:28,-1.63,,,,
91,12/15/2023 16:51:28,-1.80,,,,
92,12/15/2023 16:54:28,-2.41,,,,
93,12/15/2023 16:57:28,-2.62,,,,
94,12/15/2023 17:00:28,-2.36,,,,
95,12/15/2023 17:03:28,-2.15,,,,
96,12/15/2023 17:06:28,-2.71,,,,
97,12/15/2023 17:09:28,-2.28,,,,
98,12/15/2023 17:12:28,-2.45,,,,
99,12/15/2023 17:15:28,-2.15,,,,
100,12/15/2023 17:18:28,-1.98,,,,
101,12/15/2023 17:21:28,-2.19,,,,
102,12/15/2023 17:24:28,-2.66,,,,
103,12/15/2023 17:27:28,-2.79,,,,
104,12/15/2023 17:30:28,-2.62,,,,
105,12/15/2023 17:33:28,-2.88,,,,
106,12/15/2023 17:36:28,-3.35,,,,
107,12/15/2023 17:39:28,-3.18,,,,
108,12/15/2023 17:42:28,-2.83,,,,
109,12/15/2023 17:45:28,-2.45,,,,
110,12/15/2023 17:48:28,-2.66,,,,
111,12/15/2023 17:51:28,-4.16,,,,
112,12/15/2023 17:54:28,-3.99,,,,
113,12/15/2023 17:57:28,-4.68,,,,
114,12/15/2023 18:00:28,-4.89,,,,
115,12/15/2023 18:03:28,-5.32,,,,
116,12/15/2023 18:06:28,-5.19,,,,
117,12/15/2023 18:09:28,-4.42,,,,
118,12/15/2023 18:12:28,-4.34,,,,
119,12/15/2023 18:15:28,-5.84,,,,
120,12/15/2023 18:18:28,-6.48,,,,
121,12/15/2023 18:21:28,-5.28,,,,
122,12/15/2023 18:24:28,-5.84,,,,
123,12/15/2023 18:27:28,-6.31,,,,
124,12/15/2023 18:30:28,-6.27,,,,
125,12/15/2023 18:33:28,-6.31,,,,
126,12/15/2023 18:36:28,-6.65,,,,
127,12/15/2023 18:39:28,-6.74,,,,
128,12/15/2023 18:42:28,-7.12,,,,
129,12/15/2023 18:45:28,-6.78,,,,
130,12/15/2023 18:48:28,-7.81,,,,
131,12/15/2023 18:51:28,-7.90,,,,
132,12/15/2023 18:54:28,-7.94,,,,
133,12/15/2023 18:57:28,-8.11,,,,
134,12/15/2023 19:00:28,-7.94,,,,
135,12/15/2023 19:03:28,-7.60,,,,
136,12/15/2023 19:06:28,-7.51,,,,
137,12/15/2023 19:09:28,-7.90,,,,
138,12/15/2023 19:12:28,-7.85,,,,
139,12/15/2023 19:15:28,-8.20,,,,
140,12/15/2023 19:18:28,-8.24,,,,
141,12/15/2023 19:21:28,-8.41,,,,
142,12/15/2023 19:24:28,-9.44,,,,
143,12/15/2023 19:27:28,-9.05,,,,
144,12/15/2023 19:30:28,-9.27,,,,
145,12/15/2023 19:33:28,-9.78,,,,
146,12/15/2023 19:36:28,-9.91,,,,
147,12/15/2023 19:39:28,-10.21,,,,
148,12/15/2023 19:42:28,-10.21,,,,
149,12/15/2023 19:45:28,-10.94,,,,
150,12/15/2023 19:48:28,-10.68,,,,
151,12/15/2023 19:51:28,-9.87,,,,
152,12/15/2023 19:54:28,-10.68,,,,
153,12/15/2023 19:57:28,-11.41,,,,
154,12/15/2023 20:00:28,-11.07,,,,
155,12/15/2023 20:03:28,-11.29,,,,
156,12/15/2023 20:06:28,-11.63,,,,
157,12/15/2023 20:09:28,-12.10,,,,
158,12/15/2023 20:12:28,-12.06,,,,
159,12/15/2023 20:15:28,-12.57,,,,
160,12/15/2023 20:18:28,-12.87,,,,
161,12/15/2023 20:21:28,-12.96,,,,
162,12/15/2023 20:24:28,-12.57,,,,
