#,Date-Time (MST/MDT),Ch:1 - Temperature   (°C),Button Down,Started Offset,Host Connected,End of File
1,12/16/2023 14:27:21,,Logged,Logged,,
2,12/16/2023 14:27:26,16.56,,,,
3,12/16/2023 14:27:33,,,,Logged,
4,12/16/2023 14:30:26,9.05,,,,
5,12/16/2023 14:33:19,,,,Logged,
6,12/16/2023 14:33:26,9.22,,,,
7,12/16/2023 14:36:26,5.40,,,,
8,12/16/2023 14:39:26,4.42,,,,
9,12/16/2023 14:42:26,3.56,,,,
10,12/16/2023 14:45:26,4.07,,,,
11,12/16/2023 14:48:26,3.21,,,,
12,12/16/2023 14:51:26,2.19,,,,
13,12/16/2023 14:54:26,2.23,,,,
14,12/16/2023 14:57:26,2.57,,,,
15,12/16/2023 15:00:26,2.66,,,,
16,12/16/2023 15:03:26,2.06,,,,
17,12/16/2023 15:06:26,1.58,,,,
18,12/16/2023 15:09:26,1.11,,,,
19,12/16/2023 15:12:26,0.98,,,,
20,12/16/2023 15:15:26,0.64,,,,
21,12/16/2023 15:18:26,0.13,,,,
22,12/16/2023 15:21:26,-0.05,,,,
23,12/16/2023 15:24:26,-0.05,,,,
24,12/16/2023 15:27:26,-0.09,,,,
25,12/16/2023 15:30:26,-0.17,,,,
26,12/16/2023 15:33:26,-0.47,,,,
27,12/16/2023 15:36:26,-0.60,,,,
28,12/16/2023 15:39:26,-0.82,,,,
29,12/16/2023 15:42:26,-1.20,,,,
30,12/16/2023 15:45:26,-1.42,,,,
31,12/16/2023 15:48:26,-1.59,,,,
32,12/16/2023 15:51:26,-1.63,,,,
33,12/16/2023 15:54:26,-1.85,,,,
34,12/16/2023 15:57:26,-1.93,,,,
35,12/16/2023 16:00:26,-2.02,,,,
36,12/16/2023 16:03:26,-2.06,,,,
37,12/16/2023 16:06:26,-2.19,,,,
38,12/16/2023 16:09:26,-2.28,,,,
39,12/16/2023 16:12:26,-2.32,,,,
40,12/16/2023 16:15:26,-2.45,,,,
41,12/16/2023 16:18:26,-2.62,,,,
42,12/16/2023 16:21:26,-2.71,,,,
43,12/16/2023 16:24:26,-2.83,,,,
44,12/16/2023 16:27:26,-2.96,,,,
45,12/16/2023 16:30:26,-3.09,,,,
46,12/16/2023 16:33:26,-3.26,,,,
47,12/16/2023 16:36:26,-3.43,,,,
48,12/16/2023 16:39:26,-3.61,,,,
49,12/16/2023 16:42:26,-3.78,,,,
50,12/16/2023 16:45:26,-3.86,,,,
51,12/16/2023 16:48:26,-3.99,,,,
52,12/16/2023 16:51:26,-4.12,,,,
53,12/16/2023 16:54:26,-4.21,,,,
54,12/16/2023 16:57:26,-4.38,,,,
55,12/16/2023 17:00:26,-4.59,,,,
56,12/16/2023 17:03:26,-4.59,,,,
57,12/16/2023 17:06:26,-4.81,,,,
58,12/16/2023 17:09:26,-4.89,,,,
59,12/16/2023 17:12:26,-5.02,,,,
60,12/16/2023 17:15:26,-5.24,,,,
61,12/16/2023 17:18:26,-5.41,,,,
62,12/16/2023 17:21:26,-5.49,,,,
63,12/16/2023 17:24:26,-5.62,,,,
64,12/16/2023 17:27:26,-5.79,,,,
65,12/16/2023 17:30:26,-5.75,,,,
66,12/16/2023 17:33:26,-5.92,,,,
67,12/16/2023 17:36:26,-6.01,,,,
68,12/16/2023 17:39:26,-6.01,,,,
69,12/16/2023 17:42:26,-5.88,,,,
70,12/16/2023 17:45:26,-5.84,,,,
71,12/16/2023 17:48:26,-6.18,,,,
72,12/16/2023 17:51:26,-6.27,,,,
73,12/16/2023 17:54:26,-6.44,,,,
74,12/16/2023 17:57:26,-6.57,,,,
75,12/16/2023 18:00:26,-6.57,,,,
76,12/16/2023 18:03:26,-6.61,,,,
77,12/16/2023 18:06:26,-6.74,,,,
78,12/16/2023 18:09:26,-6.70,,,,
79,12/16/2023 18:12:26,-6.78,,,,
80,12/16/2023 18:15:26,-7.04,,,,
81,12/16/2023 18:18:26,-7.21,,,,
82,12/16/2023 18:21:26,-7.38,,,,
83,12/16/2023 18:24:26,-7.47,,,,
84,12/16/2023 18:27:26,-7.55,,,,
85,12/16/2023 18:30:26,-7.77,,,,
86,12/16/2023 18:33:26,-7.85,,,,
87,12/16/2023 18:36:26,-8.11,,,,
88,12/16/2023 18:39:26,-8.24,,,,
89,12/16/2023 18:42:26,-8.20,,,,
90,12/16/2023 18:45:26,-8.33,,,,
91,12/16/2023 18:48:26,-8.33,,,,
92,12/16/2023 18:51:26,-8.41,,,,
93,12/16/2023 18:54:26,-8.58,,,,
94,12/16/2023 18:57:26,-8.58,,,,
95,12/16/2023 19:00:26,-8.71,,,,
96,12/16/2023 19:03:26,-8.67,,,,
97,12/16/2023 19:06:26,-8.54,,,,
98,12/16/2023 19:09:26,-8.24,,,,
99,12/16/2023 19:12:26,-8.41,,,,
100,12/16/2023 19:15:26,-8.63,,,,
101,12/16/2023 19:18:26,-8.63,,,,
102,12/16/2023 19:21:26,-8.71,,,,
103,12/16/2023 19:24:26,-8.71,,,,
104,12/16/2023 19:27:26,-8.93,,,,
105,12/16/2023 19:30:26,-9.01,,,,
106,12/16/2023 19:33:26,-9.10,,,,
107,12/16/2023 19:36:26,-9.10,,,,
108,12/16/2023 19:39:26,-9.18,,,,
109,12/16/2023 19:42:26,-9.48,,,,
110,12/16/2023 19:45:26,-9.44,,,,
111,12/16/2023 19:48:26,-9.14,,,,
112,12/16/2023 19:51:26,-9.31,,,,
113,12/16/2023 19:54:26,-9.44,,,,
114,12/16/2023 19:57:26,-9.61,,,,
115,12/16/2023 20:00:26,-9.74,,,,
116,12/16/2023 20:03:26,-9.78,,,,
117,12/16/2023 20:06:26,-9.83,,,,
118,12/16/2023 20:09:26,-9.96,,,,
119,12/16/2023 20:12:26,-10.04,,,,
120,12/16/2023 20:15:26,-10.00,,,,
121,12/16/2023 20:18:26,-9.74,,,,
122,12/16/2023 20:21:26,-9.91,,,,
123,12/16/2023 20:24:26,-10.08,,,,
124,12/16/2023 20:27:26,-10.17,,,,
125,12/16/2023 20:30:26,-10.13,,,,
126,12/16/2023 20:33:26,-9.96,,,,
127,12/16/2023 20:36:26,-9.87,,,,
128,12/16/2023 20:39:26,-10.17,,,,
129,12/16/2023 20:42:26,-9.96,,,,
130,12/16/2023 20:45:26,-10.00,,,,
131,12/16/2023 20:48:26,-10.08,,,,
132,12/16/2023 20:51:26,-10.30,,,,
133,12/16/2023 20:54:26,-10.17,,,,
134,12/16/2023 20:57:26,-10.30,,,,
135,12/16/2023 21:00:26,-10.30,,,,
136,12/16/2023 21:03:26,-10.43,,,,
137,12/16/2023 21:06:26,-10.60,,,,
138,12/16/2023 21:09:26,-10.60,,,,
139,12/16/2023 21:12:26,-10.77,,,,
140,12/16/2023 21:15:26,-10.90,,,,
141,12/16/2023 21:18:26,-10.99,,,,
142,12/16/2023 21:21:26,-10.99,,,,
143,12/16/2023 21:24:26,-11.07,,,,
144,12/16/2023 21:27:26,-11.24,,,,
145,12/16/2023 21:30:26,-11.29,,,,
146,12/16/2023 21:33:26,-11.29,,,,
147,12/16/2023 21:36:26,-11.37,,,,
148,12/16/2023 21:39:26,-11.46,,,,
149,12/16/2023 21:42:26,-11.54,,,,
150,12/16/2023 21:45:26,-11.33,,,,
151,12/16/2023 21:48:26,-11.29,,,,
152,12/16/2023 21:51:26,-11.41,,,,
153,12/16/2023 21:54:26,-11.50,,,,
154,12/16/2023 21:57:26,-11.67,,,,
155,12/16/2023 22:00:26,-11.76,,,,
156,12/16/2023 22:03:26,-11.63,,,,
157,12/16/2023 22:06:26,-11.76,,,,
158,12/16/2023 22:09:26,-11.80,,,,
159,12/16/2023 22:12:26,-11.84,,,,
160,12/16/2023 22:15:26,-11.84,,,,
161,12/16/2023 22:18:26,-11.97,,,,
162,12/16/2023 22:21:26,-12.10,,,,
163,12/16/2023 22:24:26,-12.23,,,,
164,12/16/2023 22:27:26,-12.32,,,,
165,12/16/2023 22:30:26,-12.44,,,,
166,12/16/2023 22:33:26,-12.27,,,,
167,12/16/2023 22:36:26,-12.36,,,,
168,12/16/2023 22:39:26,-12.40,,,,
169,12/16/2023 22:42:26,-12.40,,,,
170,12/16/2023 22:45:26,-12.53,,,,
171,12/16/2023 22:48:26,-12.57,,,,
172,12/16/2023 22:51:26,-12.57,,,,
173,12/16/2023 22:54:26,-12.74,,,,
174,12/16/2023 22:57:26,-12.74,,,,
175,12/16/2023 23:00:26,-12.79,,,,
176,12/16/2023 23:03:26,-12.92,,,,
177,12/16/2023 23:06:26,-12.96,,,,
178,12/16/2023 23:09:26,-12.96,,,,
179,12/16/2023 23:12:26,-13.00,,,,
180,12/16/2023 23:15:26,-13.09,,,,
181,12/16/2023 23:18:26,-13.17,,,,
182,12/16/2023 23:21:26,-13.22,,,,
183,12/16/2023 23:24:26,-13.39,,,,
184,12/16/2023 23:27:26,-13.39,,,,
185,12/16/2023 23:30:26,-13.22,,,,
186,12/16/2023 23:33:26,-13.22,,,,
187,12/16/2023 23:36:26,-13.04,,,,
188,12/16/2023 23:39:26,-13.13,,,,
189,12/16/2023 23:42:26,-13.30,,,,
190,12/16/2023 23:45:26,-13.43,,,,
191,12/16/2023 23:48:26,-13.47,,,,
192,12/16/2023 23:51:26,-13.52,,,,
193,12/16/2023 23:54:26,-13.52,,,,
194,12/16/2023 23:57:26,-13.43,,,,
195,12/17/2023 00:00:26,-13.47,,,,
196,12/17/2023 00:03:26,-13.77,,,,
197,12/17/2023 00:06:26,-13.73,,,,
198,12/17/2023 00:09:26,-13.86,,,,
199,12/17/2023 00:12:26,-13.86,,,,
200,12/17/2023 00:15:26,-13.99,,,,
201,12/17/2023 00:18:26,-13.95,,,,
202,12/17/2023 00:21:26,-13.90,,,,
203,12/17/2023 00:24:26,-13.90,,,,
204,12/17/2023 00:27:26,-13.99,,,,
205,12/17/2023 00:30:26,-14.20,,,,
206,12/17/2023 00:33:26,-14.29,,,,
207,12/17/2023 00:36:26,-14.29,,,,
208,12/17/2023 00:39:26,-14.20,,,,
209,12/17/2023 00:42:26,-14.29,,,,
210,12/17/2023 00:45:26,-14.46,,,,
211,12/17/2023 00:48:26,-14.42,,,,
212,12/17/2023 00:51:26,-14.29,,,,
213,12/17/2023 00:54:26,-14.20,,,,
214,12/17/2023 00:57:26,-14.37,,,,
215,12/17/2023 01:00:26,-14.16,,,,
216,12/17/2023 01:03:26,-14.20,,,,
217,12/17/2023 01:06:26,-14.37,,,,
218,12/17/2023 01:09:26,-14.55,,,,
219,12/17/2023 01:12:26,-14.76,,,,
220,12/17/2023 01:15:26,-14.93,,,,
221,12/17/2023 01:18:26,-14.85,,,,
222,12/17/2023 01:21:26,-14.76,,,,
223,12/17/2023 01:24:26,-14.67,,,,
224,12/17/2023 01:27:26,-14.63,,,,
225,12/17/2023 01:30:26,-14.67,,,,
226,12/17/2023 01:33:26,-14.63,,,,
227,12/17/2023 01:36:26,-14.76,,,,
228,12/17/2023 01:39:26,-14.80,,,,
229,12/17/2023 01:42:26,-14.85,,,,
230,12/17/2023 01:45:26,-15.23,,,,
231,12/17/2023 01:48:26,-15.02,,,,
232,12/17/2023 01:51:26,-15.02,,,,
233,12/17/2023 01:54:26,-15.06,,,,
234,12/17/2023 01:57:26,-15.28,,,,
235,12/17/2023 02:00:26,-15.15,,,,
236,12/17/2023 02:03:26,-15.10,,,,
237,12/17/2023 02:06:26,-15.23,,,,
238,12/17/2023 02:09:26,-15.15,,,,
239,12/17/2023 02:12:26,-15.28,,,,
240,12/17/2023 02:15:26,-15.28,,,,
241,12/17/2023 02:18:26,-15.32,,,,
242,12/17/2023 02:21:26,-15.23,,,,
243,12/17/2023 02:24:26,-15.45,,,,
244,12/17/2023 02:27:26,-15.36,,,,
245,12/17/2023 02:30:26,-15.53,,,,
246,12/17/2023 02:33:26,-15.45,,,,
